Ch1 Amplitude,Ch2 Amplitude,Cluster
1588.39587,1785.88147,1
2409.998,2350.87231,1
2688.95483,2315.902,1
3232.68823,2583.671,1
3688.352,2860.55273,1
3702.24731,2884.00732,1
3715.80444,2968.49976,1
3718.19531,2834.21533,1
3719.46777,2854.677,1
3723.13867,2954.04517,1
3740.15552,2980.906,1
3744.85181,2930.45337,1
3749.562,2972.51855,1
3749.66284,2985.527,1
3751.56934,3432.26855,1
3752.05347,2972.38354,1
3754.33423,2920.651,1
3771.13745,2943.372,1
3772.24683,2974.44873,1
3773.73047,2771.952,1
3773.86719,2992.667,1
3775.89746,2876.70386,1
3776.46045,2997.39063,1
3776.85938,3028.91675,1
3777.19824,2814.19971,1
3778.707,2912.48877,1
3783.727,2997.14185,1
3786.59326,2920.24243,1
3787.4458,2964.56152,1
3789.00439,2949.58862,1
3789.71338,3075.83325,1
3790.61963,3019.13843,1
3791.05347,2890.383,1
3791.225,2990.84888,1
3792.44043,3015.40112,1
3792.7937,2970.18921,1
3793.79834,2932.18066,1
3794.20752,2918.915,1
3794.23755,3001.0105,1
3795.19385,2914.10156,1
3795.40552,3044.067,1
3796.10962,2933.054,1
3797.11377,3262.27026,1
3797.77051,2934.20923,1
3798.31226,3056.7417,1
3798.64087,3022.59033,1
3800.22046,2910.39,1
3800.92456,2901.06958,1
3802.80273,2988.36548,1
3803.22925,2936.66479,1
3803.621,2741.82935,1
3803.80273,2975.57178,1
3803.80322,2930.05615,1
3803.98975,2940.726,1
3804.19116,2900.53174,1
3805.676,3060.76367,1
3805.785,3075.57983,1
3805.88574,3163.34668,1
3806.84253,2998.01563,1
3807.88062,3075.05566,1
3807.968,2987.31763,1
3808.83154,2998.797,1
3808.88281,3027.0498,1
3808.997,2986.41162,1
3809.45215,2881.04053,1
3809.812,3035.505,1
3810.59766,3035.72583,1
3810.628,2899.25562,1
3812.2793,2876.0188,1
3812.75244,2950.24951,1
3813.964,3102.94824,1
3814.66577,3007.49658,1
3814.796,3011.62,1
3815.31543,2929.83252,1
3816.38867,2896.39746,1
