Ch1 Amplitude,Ch2 Amplitude,Cluster
1372.77087,1925.48474,1
2069.255,2211.081,1
3282.67627,2883.15576,1
3295.11035,2722.42285,1
3299.37573,2767.56079,1
3300.77271,2701.89771,1
3300.9353,2738.50342,1
3301.84668,2736.05444,1
3301.92578,2759.906,1
3304.99854,2879.03882,1
3305.142,2856.718,1
3306.704,2800.53638,1
3310.94531,2814.60645,1
3315.34424,2743.33472,1
3315.87036,2660.55737,1
3319.31372,2760.97852,1
3321.49,2816.95972,1
3321.49048,2826.34814,1
3325.41675,2772.68237,1
3328.10986,2776.22144,1
3330.17676,2708.50049,1
3331.807,2784.58643,1
3334.22949,2773.23218,1
3337.15039,2852.49634,1
3337.85181,2805.97021,1
3339.47461,2771.828,1
3341.174,2712.847,1
3342.4375,2851.56348,1
3343.75415,2818.35059,1
3347.11719,2760.14648,1
3347.38452,2911.879,1
3349.77,2829.486,1
3349.78735,2762.8938,1
3350.75024,2861.29785,1
3351.19336,2751.34058,1
3351.27539,2826.96924,1
3351.39819,2794.96436,1
3351.44165,2833.81348,1
3352.104,2811.08276,1
3352.56885,2902.3396,1
3352.683,2814.69678,1
3353.094,2774.56665,1
3353.64282,2823.09741,1
3355.99976,2789.316,1
3356.52466,2789.85083,1
3357.0332,2862.32422,1
3357.21533,2818.57324,1
3358.13428,2826.36426,1
3359.00122,2757.59448,1
3359.2832,2763.79639,1
3360.771,2865.86279,1
3361.035,2743.6958,1
3361.09814,2888.36328,1
3362.69287,2790.083,1
3363.22461,2808.5,1
3363.51758,2959.98584,1
3363.58838,2820.641,1
3364.58936,2847.85474,1
3366.01636,2765.171,1
3366.23315,2768.56226,1
3367.42676,2803.01172,1
3369.03,2735.24585,1
3369.257,2795.888,1
3369.819,2705.94141,1
3370.07056,2848.25073,1
3372.26147,2850.42358,1
3373.4707,2813.26221,1
3374.47485,2722.52124,1
3374.521,2817.06836,1
3374.857,2680.5813,1
3375.50781,2899.865,1
3377.05029,2850.60278,1
3377.123,2700.44482,1
3377.20532,2779.94824,1
3378.4104,2722.00342,1
3379.58252,2773.51147,1
3379.72656,2731.7793,1
3379.746,2854.01514,1
3380.434,2903.59937,1
3380.903,2751.56,1
3381.14673,2708.74219,1
3382.69043,2800.847,1
3383.14233,2913.86279,1
3383.406,2909.843,1
3383.71826,2766.90845,1
3383.7312,2647.47,1
3384.09375,2725.48071,1
3384.15723,2864.36719,1
3384.48535,2833.50513,1
3384.76025,2803.96143,1
3385.83862,2905.5625,1
3386.70728,2686.177,1
3386.93652,2866.52051,1
3387.33179,2816.17114,1
3388.694,2814.799,1
3388.94922,2888.67383,1
3389.23169,2891.05127,1
3389.60156,2808.04541,1
3390.29321,2786.15015,1
3390.646,2824.83813,1
3390.86621,2850.22974,1
3390.99268,2834.88232,1
3393.00635,2785.15625,1
3394.35229,2862.933,1
3395.237,2818.36,1
3395.57056,2735.851,1
3395.713,2739.69238,1
3396.20313,2664.41357,1
3396.215,2685.37,1
3396.60278,2956.921,1
3396.83276,2796.10962,1
3397.01758,2734.14478,1
3397.14258,2662.90454,1
3397.19531,2870.98438,1
3397.21069,2689.45581,1
3397.51221,2844.49951,1
3398.37061,2780.94385,1
3398.61963,2801.2417,1
3398.89966,3041.924,1
3399.00586,2785.371,1
3399.119,2869.49072,1
3399.187,2727.12915,1
3400.0625,2989.42969,1
3400.08887,2718.831,1
3400.3667,2923.188,1
3400.5874,2808.72827,1
3400.80347,2786.4104,1
3400.948,2751.24951,1
3400.974,2715.825,1
3401.736,2874.62646,1
3402.13965,2702.16528,1
3402.15283,2718.771,1
3402.86353,2739.31567,1
3403.137,2856.68433,1
3403.67871,2746.73779,1
3403.92554,2823.43872,1
3403.94629,2805.66382,1
3404.05884,2897.74658,1
3404.22241,2820.25073,1
3404.38013,2770.823,1
3404.92871,2783.51172,1
3405.349,2800.15625,1
3405.52441,2794.364,1
3405.629,2733.46265,1
3405.64966,2719.7688,1
3405.90381,2974.01685,1
3406.15479,2803.11377,1
3406.23022,2855.78076,1
3406.37427,2883.25537,1
3406.73218,2790.568,1
3406.95581,2748.79565,1
3407.14746,2782.34985,1
3407.52612,2791.01147,1
3407.731,2692.65137,1
3408.17383,2717.86182,1
3408.29028,2741.772,1
3408.34619,2853.14746,1
3408.471,2819.09741,1
3408.75317,2802.168,1
3408.95386,2794.456,1
3409.45679,2767.98975,1
3410.761,2804.88721,1
3411.38843,2754.36914,1
3411.72168,2823.00464,1
3412.12671,2893.92627,1
3413.21924,2685.486,1
3413.40259,2782.64258,1
3414.25415,2747.59375,1
3414.461,2795.60718,1
3414.46265,2777.21069,1
3414.48975,2670.003,1
3415.07227,2739.20557,1
3415.20313,2737.39917,1
3415.34839,2720.43237,1
3415.62549,2852.29932,1
3415.77954,2687.51123,1
3415.79639,3011.92285,1
3416.26953,2669.15039,1
3416.52612,2767.17651,1
3416.54541,2737.55859,1
3416.69849,2860.14575,1
3416.7356,2863.617,1
3416.965,2755.773,1
3417.10132,2878.69556,1
3417.10156,2907.92578,1
3417.302,2724.20923,1
3417.78467,2805.547,1
3418.58423,2696.10083,1
3418.83643,2832.74121,1
3418.94458,2792.95435,1
3419.16455,2833.87061,1
3419.549,2856.348,1
3419.549,3002.143,1
3420.86133,2804.782,1
3421.35254,2867.54053,1
3421.362,2754.714,1
3421.6123,2873.686,1
3421.75073,2851.015,1
3421.8335,2788.453,1
3422.03662,3138.647,1
3422.10278,2889.704,1
3422.22729,2692.56348,1
3422.59424,2838.57666,1
3422.7998,2870.07739,1
3422.86133,2875.50073,1
3423.06079,2840.05615,1
3423.13379,2804.00342,1
3423.24438,2720.317,1
3423.37329,2805.46167,1
3423.458,2867.49976,1
3423.53662,2883.708,1
3423.83838,2784.314,1
3424.15356,2827.404,1
3424.28638,2846.28882,1
3424.32153,2915.09,1
3424.38,2725.59619,1
3424.433,2824.463,1
3424.80054,2797.692,1
3424.8645,2804.186,1
3424.90674,2858.77856,1
3425.15234,2805.0105,1
3425.63477,2837.40283,1
3425.89771,2787.6106,1
3426.07666,2724.73486,1
3426.189,2907.20239,1
3426.25952,2703.07227,1
3426.50244,2925.75049,1
3426.943,2786.56714,1
3426.99365,2822.13428,1
3426.996,2725.039,1
3427.0564,2958.04956,1
3427.19141,2774.77148,1
3427.32324,2809.41919,1
3427.42,2865.50269,1
3427.544,2822.37964,1
3427.6687,2772.12769,1
3427.89331,2959.58252,1
3427.9668,2836.00537,1
3428.03955,2736.93555,1
3428.42651,2839.66113,1
3428.72,2665.78955,1
3429.142,2956.92188,1
3429.31665,2860.847,1
3429.361,2922.841,1
3429.62573,2855.61353,1
3429.65479,2762.03857,1
3429.72363,2730.29932,1
3429.91846,2699.401,1
3430.22168,2938.377,1
3430.2876,2761.11255,1
3430.58765,2894.47925,1
3430.69165,2821.6377,1
3431.65869,2809.22168,1
3431.689,2709.56152,1
3431.75244,2800.20264,1
3431.939,2706.12231,1
3432.0376,2939.3418,1
3432.09814,2958.04224,1
3432.34131,2795.51563,1
3432.47925,2856.446,1
3432.79614,2739.02,1
3433.387,2946.48779,1
3433.3894,2937.91821,1
3433.53955,2958.60034,1
3433.66724,2984.48022,1
3433.70947,2841.60376,1
3433.76416,2736.781,1
3434.06226,2829.00342,1
3434.12939,2947.00049,1
3434.20044,2769.27661,1
3434.6,2864.386,1
3434.9187,2760.49219,1
3435.01245,2865.36548,1
3435.27515,2807.94336,1
3435.27661,2784.19165,1
3435.34277,2739.398,1
3435.385,2763.26514,1
3435.929,2840.16968,1
3436.11865,2920.65454,1
3436.153,2876.27271,1
3436.772,2676.02368,1
3437.11572,2769.174,1
3437.17358,2876.139,1
3437.3645,2763.33984,1
3437.40234,2644.94067,1
3437.71558,2799.16235,1
3437.76563,2873.51733,1
3438.10767,2775.0564,1
3438.12329,2791.79346,1
3438.20313,2709.56226,1
3438.322,2798.19873,1
3438.34717,2775.219,1
3438.43237,2848.93164,1
3438.48364,2875.197,1
3438.492,2827.429,1
3438.52075,2706.47388,1
3438.652,2842.23853,1
3438.774,2820.67554,1
3438.84741,2789.63623,1
3439.193,2776.51929,1
3439.49219,2746.797,1
3439.56836,2794.30444,1
3439.65771,2710.33716,1
3439.70654,2770.58276,1
3439.70728,2742.928,1
3440.41138,2758.50635,1
3440.483,3022.82251,1
3440.5105,2841.31055,1
3440.556,2802.53735,1
3440.67,2727.49756,1
3440.9126,2692.69238,1
3441.04,2836.75757,1
3441.05737,2671.57983,1
3441.14941,2833.69482,1
3441.354,2791.74927,1
3441.46655,2793.632,1
3441.58423,2772.9812,1
3441.62524,2784.16016,1
3442.04883,2969.58154,1
3442.0752,2871.06079,1
3442.20728,2789.674,1
3442.376,2791.271,1
3442.51367,2805.45044,1
3442.55737,2823.744,1
3442.616,2860.67334,1
3442.63965,2721.7356,1
3442.723,2837.701,1
3442.8103,2874.74,1
3442.93164,3122.84058,1
3443.08862,2863.07764,1
3443.13062,2823.74463,1
3443.28052,2849.018,1
3443.38086,2663.78857,1
3443.49683,2795.69751,1
3443.52222,2750.63477,1
3443.54468,2776.82422,1
3443.63354,2861.11475,1
3443.707,2883.535,1
3443.77954,2934.472,1
3444.42017,2795.97241,1
3444.679,2947.6958,1
3444.86523,2820.121,1
3444.87646,2802.4585,1
3444.95264,2762.3623,1
3445.01465,2768.44824,1
3445.169,2894.461,1
3445.303,2704.67871,1
3445.52759,2674.72,1
3445.66528,2828.46851,1
3445.73145,2839.40625,1
3445.79663,2801.35522,1
3445.8042,2775.652,1
3446.01367,2794.63159,1
3446.047,2931.18042,1
3446.08252,2904.192,1
3446.216,2846.365,1
3446.571,2714.6958,1
3446.588,2897.55884,1
3446.64233,2844.94751,1
3446.712,2800.61768,1
3446.71313,2802.74731,1
3447.77612,2862.28027,1
3447.89673,2875.95264,1
3448.12915,2714.84644,1
3448.139,2847.34131,1
3448.15332,2882.142,1
3448.46533,2758.99951,1
3448.59473,2792.07983,1
3448.73315,2880.36523,1
3448.95776,2811.69019,1
3449.10547,2781.74634,1
3449.20386,2875.043,1
3449.31885,2852.564,1
3449.36865,2791.29346,1
3449.529,2852.098,1
3449.664,2697.58179,1
3449.74658,2842.53271,1
3449.84717,2712.3335,1
3450.01221,2726.98853,1
3450.17334,2766.07544,1
3450.28271,2907.48633,1
3450.32666,2986.10229,1
3450.47461,2912.677,1
3450.59351,2955.1687,1
3450.76025,2843.84814,1
3450.89355,2806.29175,1
3451.18237,2840.988,1
3451.217,2902.63672,1
3451.337,2938.104,1
3451.41,2829.75342,1
3451.52441,3009.125,1
3451.57617,2818.822,1
3451.6228,2898.42749,1
3451.64844,2871.378,1
3452.02539,2842.07251,1
3452.0542,2877.67,1
3452.17944,2929.23462,1
3452.40015,2759.75024,1
3452.65747,2707.48145,1
3452.708,2766.67163,1
3452.977,2917.15869,1
3453.055,2794.53369,1
3453.14966,2883.517,1
3453.56738,2778.70142,1
3453.71,2743.18384,1
3453.71484,2825.85034,1
3454.23535,2834.17041,1
3454.62231,2735.75439,1
3454.92871,2819.03076,1
3455.11133,2841.80933,1
3455.23242,2796.03149,1
3455.36,2717.52734,1
3455.37427,2928.15845,1
3455.41553,2716.3667,1
3455.619,2837.27539,1
3455.638,2906.382,1
3455.72144,2752.96973,1
3455.79565,2866.69824,1
3455.8186,2930.221,1
3455.9668,2832.344,1
3456.106,2902.09668,1
3456.13037,2866.30884,1
3456.301,2920.8374,1
3456.69019,2931.325,1
3456.85718,2934.8374,1
3457.07837,2727.864,1
3457.5354,2935.68945,1
3457.55957,2897.40356,1
3457.58716,2870.72974,1
3457.806,2794.17822,1
3457.8623,2955.9436,1
3457.90479,2771.274,1
3457.97314,2876.53833,1
3458.002,2825.96948,1
3458.02271,2845.30859,1
3458.12158,2780.78638,1
3458.2876,2815.64331,1
3458.28857,2906.753,1
3458.39966,2871.3064,1
3458.49219,2928.7854,1
3458.52246,2934.43726,1
3458.7085,2777.27686,1
