Ch1 Amplitude,Ch2 Amplitude,Cluster
2512.12524,2036.16064,1
2624.79272,2369.72144,1
2722.55542,2441.05249,1
2725.988,2494.831,1
2729.31519,2446.61572,1
2739.47925,2511.681,1
2744.03247,2463.93579,1
2756.82935,2491.28857,1
2758.85278,2449.10132,1
2760.23486,2604.9165,1
2764.4563,2466.51,1
2764.95825,2447.09,1
2767.01172,2515.55884,1
2767.967,2544.92285,1
2767.98218,2528.49243,1
2773.41846,2558.59521,1
2775.29785,2435.78687,1
2777.37451,2510.8645,1
2781.05615,2559.14136,1
2781.47241,2461.77271,1
2782.035,2559.40771,1
2782.17,2499.12085,1
2782.30518,2455.20825,1
2782.56421,2497.45947,1
2783.996,2496.20972,1
2785.87622,2551.47754,1
2787.384,2517.48364,1
2787.592,2454.86865,1
2791.082,2362.64648,1
2791.09375,2439.30957,1
2791.37866,2328.07129,1
2791.51929,2494.25024,1
2791.8418,2522.43164,1
2794.018,2486.41943,1
2794.38477,2550.9353,1
2795.2146,2562.57446,1
2797.02417,2472.32666,1
2798.36279,2530.35522,1
2798.5083,2459.65,1
2799.154,2440.0144,1
2799.31055,2454.57886,1
2800.75366,2357.384,1
2801.21875,2559.82,1
2801.519,2638.55029,1
2802.359,2470.68579,1
2802.41284,2381.87427,1
2802.44971,2620.39966,1
2802.71045,2603.17871,1
2802.86621,2535.22754,1
2807.07349,2568.147,1
2807.53955,2428.45239,1
2807.6228,2508.77954,1
2808.31836,2473.01318,1
2808.60425,2696.28027,1
2808.86328,2474.31567,1
2809.03418,2314.22144,1
2809.186,2486.534,1
2809.82544,2490.52954,1
2811.165,2462.07935,1
2811.959,2483.2168,1
2812.94019,2461.41187,1
2813.483,2552.897,1
2813.53076,2521.7998,1
2814.134,2487.173,1
2814.31958,2400.899,1
2814.723,2522.11938,1
2814.725,2533.851,1
2814.954,2456.99878,1
2815.90454,2468.98438,1
2816.32837,2549.533,1
2816.77075,2529.68,1
2816.90356,2626.89478,1
2817.2002,2421.02,1
2817.59155,2578.76245,1
2817.68652,2562.15,1
2817.808,2384.64917,1
2817.90527,2550.771,1
2817.94653,2387.8313,1
2818.621,2580.75635,1
2818.85376,2518.69873,1
2819.22876,2672.7688,1
2819.32886,2519.13354,1
2820.2373,2492.97778,1
2820.39819,2471.69678,1
2821.0105,2458.88,1
2821.162,2440.54321,1
2821.33423,2508.26221,1
2822.0083,2473.30444,1
2822.04517,2509.73169,1
2822.371,2556.97681,1
2822.59814,2526.13428,1
2822.7312,2410.37354,1
2823.3042,2432.417,1
2823.38525,2376.24561,1
2823.424,2446.2207,1
2823.607,2430.494,1
2823.753,2437.64819,1
2823.78369,2433.61377,1
2823.85156,2369.98828,1
2824.032,2488.352,1
2824.0354,2432.67773,1
2824.395,2723.01563,1
2824.42871,2490.7312,1
2825.02466,2512.373,1
2825.33765,2502.84668,1
2825.69043,2559.25464,1
2826.11621,2439.6792,1
2826.1377,2536.39087,1
2826.35034,2534.104,1
2826.61865,2565.32813,1
2826.6604,2404.37476,1
2826.75122,2429.4563,1
2826.96826,2468.84619,1
2826.9707,2406.29028,1
2827.555,2453.81958,1
2827.939,2522.67139,1
2829.01685,2585.91138,1
2829.1106,2456.32983,1
2829.322,2560.54639,1
2829.64624,2535.21436,1
2829.649,2491.36426,1
2829.9165,2589.473,1
2830.02148,2559.11621,1
2830.047,2575.49951,1
2830.09229,2501.91138,1
2830.14746,2442.524,1
2830.47363,2394.21,1
2830.721,2465.09814,1
2830.79761,2602.40479,1
2831.10376,2506.50342,1
2831.263,2488.484,1
2831.61328,2420.47046,1
2831.61743,2449.961,1
2831.67725,2395.33032,1
2832.28564,2450.18823,1
2832.30737,2536.52441,1
2832.33276,2478.50781,1
2832.44971,2529.099,1
2832.46924,2470.934,1
2833.328,2514.24854,1
2833.49463,2436.55176,1
2833.51685,2427.92163,1
2833.51831,2440.71216,1
2833.86426,2337.352,1
2834.12939,2581.6,1
2834.19824,2486.24927,1
2834.26416,2514.26587,1
2835.47729,2553.12036,1
2835.88281,2455.322,1
2835.97559,2478.59448,1
2836.83423,2539.63574,1
2837.143,2399.421,1
2837.20215,2579.25049,1
2837.2356,2332.70728,1
2837.28369,2447.00439,1
2837.4314,2616.965,1
2837.968,2478.96655,1
2838.04346,2534.94946,1
2838.12769,2441.306,1
2839.182,2414.4165,1
2839.76147,2604.82886,1
2839.80762,2499.52881,1
2839.89453,2533.52124,1
2840.009,2549.73413,1
2840.142,2451.525,1
2840.14233,2569.55713,1
2840.18677,2465.259,1
2840.44531,2413.35,1
2840.63672,2552.98047,1
2840.69678,2553.25122,1
2840.927,2419.50366,1
2840.94458,2553.06274,1
2841.07178,2610.24878,1
2841.71924,2449.6062,1
2841.89063,2569.748,1
2841.897,2405.89282,1
2841.92285,2522.645,1
2842.28516,2510.681,1
2842.41846,2475.06323,1
2842.486,2597.753,1
2843.14331,2486.275,1
2843.26636,2507.03638,1
2843.28149,2482.55127,1
2843.59521,2444.86572,1
2843.6897,2523.75928,1
2843.69946,2545.10425,1
2843.71875,2465.15161,1
2844.03882,2506.544,1
2844.79565,2500.82227,1
2845.52344,2593.99878,1
2845.6272,2511.672,1
2845.78418,2542.75073,1
2845.858,2345.48584,1
2846.15259,2487.77124,1
2846.19482,2570.353,1
2846.38257,2520.071,1
2846.46167,2569.647,1
2846.494,2579.28052,1
2846.587,2500.12036,1
2846.68213,2402.57324,1
2846.68774,2540.22974,1
2846.68774,2461.09814,1
2846.7168,2481.30225,1
2847.16162,2501.22681,1
2847.27148,2480.17065,1
