Ch1 Amplitude,Ch2 Amplitude,Cluster
2578.642,2195.52222,1
2693.67822,2347.689,1
2933.714,2510.56714,1
2962.031,2760.10278,1
2965.50171,2661.36841,1
2972.81274,2712.30371,1
2974.90869,2788.91333,1
2982.874,2704.01123,1
2984.773,2714.39575,1
2986.91968,2747.21,1
2987.181,2643.81177,1
2993.052,2601.81885,1
2993.65576,2796.74658,1
2994.9187,2702.21021,1
3005.04028,2633.11182,1
3005.98413,2793.11133,1
3006.77344,2824.07764,1
3007.051,2746.741,1
3008.41943,2639.919,1
3008.99854,2583.8313,1
3011.49731,2663.09619,1
3014.59082,2738.47949,1
3016.12231,2793.49634,1
3017.43384,2795.09033,1
3018.05249,2718.62769,1
3020.985,2774.0354,1
3021.915,2742.46362,1
3023.684,2675.65747,1
3024.40356,2760.775,1
3026.22925,2628.34839,1
3027.25854,2767.20557,1
3028.068,2628.77515,1
3029.01685,2730.29858,1
3030.79688,2763.701,1
3030.91675,2512.46851,1
3031.28271,2713.516,1
3032.23535,2698.98486,1
3032.62744,2644.94873,1
3033.634,2782.34131,1
3035.78784,2717.098,1
3036.03149,2762.106,1
3036.50854,2870.18066,1
3037.79224,2751.526,1
3037.90283,2651.19067,1
3037.91626,2646.11987,1
3039.92334,2558.64917,1
3040.00781,2532.44751,1
3040.28076,2588.28638,1
3040.55,2734.6582,1
3040.60132,2751.70972,1
3040.63062,2635.87451,1
3041.16187,2684.287,1
3041.806,2727.92871,1
3042.402,2704.806,1
3042.944,2720.064,1
3043.29761,2604.48853,1
3043.35376,2785.163,1
3043.40967,2651.62378,1
3044.04932,2689.82861,1
3044.251,2718.71973,1
3044.4104,2667.49121,1
3044.476,2760.172,1
3044.81836,2647.938,1
3044.89063,2783.83276,1
3046.56543,2659.09424,1
3046.74316,2758.227,1
3048.062,2738.281,1
3048.72437,2698.40137,1
3050.01636,2787.949,1
3050.7417,2757.13135,1
3051.30786,2618.532,1
3051.34424,2780.846,1
3052.27222,2715.16943,1
3052.58716,2856.364,1
3053.10474,2698.91479,1
3053.65527,2570.18018,1
3053.66553,2638.65918,1
3054.03125,2735.19482,1
3054.10327,2722.73169,1
3054.13721,2849.595,1
3054.43726,2777.473,1
3054.54883,2746.59375,1
3054.99414,2669.95752,1
3055.122,2745.31055,1
3055.53418,2660.56934,1
3055.979,2614.471,1
3055.98877,2658.60718,1
3056.62231,2777.99756,1
3056.67114,2823.354,1
3056.685,2744.50757,1
3057.69653,2655.17969,1
3058.085,2829.988,1
3058.20068,2704.67578,1
3058.231,2760.48315,1
3058.82373,2673.95972,1
3059.22681,2655.08545,1
3060.30981,2740.57153,1
3060.45166,2658.03174,1
3060.54346,2832.39917,1
3060.81958,2761.157,1
3060.957,2593.34644,1
3061.02344,2779.601,1
3061.123,2810.88745,1
3061.47754,2707.0083,1
3061.87,2895.18384,1
3062.5542,2769.25586,1
3062.873,2665.47778,1
3063.059,2714.69751,1
3063.32642,2657.98364,1
3064.47485,2876.76221,1
3064.66821,2691.86353,1
3065.009,2720.76343,1
3065.42188,2784.14331,1
3065.719,2654.805,1
3065.75928,2766.75171,1
3065.763,2649.02173,1
3066.16675,2742.304,1
3066.47876,2708.11377,1
3066.5708,2739.03516,1
3066.625,2788.67627,1
3067.02368,2654.64941,1
3067.06152,2646.55029,1
3067.11938,2534.90771,1
3067.5437,2758.43,1
3067.60449,2772.759,1
3067.75659,2643.07275,1
3067.7688,2688.09131,1
3067.89087,2764.52368,1
3068.148,2747.46655,1
3068.24463,2680.97314,1
3068.30566,2770.0874,1
3068.34766,2639.41821,1
3068.566,2727.36621,1
3068.68774,2725.22681,1
3068.93823,2753.658,1
3069.00366,2744.62622,1
3069.488,2810.54956,1
3070.69849,2667.36865,1
3071.18115,2771.04736,1
3071.26929,2820.221,1
3071.4314,2663.22583,1
3071.44873,2665.47485,1
3071.59277,2754.816,1
3071.91553,2661.44263,1
3071.9873,2814.79614,1
3072.07,2626.17285,1
3072.614,2670.75122,1
3072.631,2671.87183,1
3072.64624,2678.9165,1
3072.70313,2660.05884,1
3072.96533,2675.17847,1
3073.17676,2696.93262,1
3073.36646,2791.53076,1
3074.39868,2717.96021,1
3074.41821,2701.63281,1
3074.51978,2582.70581,1
3074.562,2571.02954,1
3074.85278,2696.84741,1
3075.16,2706.98022,1
3075.859,2830.08813,1
3075.89819,2784.252,1
3075.97046,2701.379,1
3076.54688,2692.13135,1
3076.78833,2826.5647,1
3077.0752,2760.43921,1
3077.34644,2795.86157,1
3077.80078,2754.773,1
3078.96362,2710.1748,1
3078.984,2826.052,1
3079.31055,2861.42041,1
3079.45923,2721.55176,1
3079.499,2795.14136,1
3079.65723,2717.43066,1
3079.71045,2781.55029,1
3079.78516,2682.7854,1
3079.86743,2881.603,1
3079.87329,2777.72925,1
3080.17163,2709.32642,1
3080.21216,2805.52832,1
3080.46655,2705.5686,1
