Ch1 Amplitude,Ch2 Amplitude,Cluster
2809.76,2821.09082,1
2818.08472,2728.56226,1
2828.10083,2532.979,1
2842.34863,2691.49878,1
2843.07568,2589.38184,1
2848.64917,2601.09668,1
2850.6084,2674.01733,1
2862.136,2674.215,1
2865.10913,2724.61646,1
2865.128,2659.39136,1
2867.11914,2635.83521,1
2873.76563,2627.796,1
2875.52979,2665.55054,1
2879.43921,2641.946,1
2879.493,2725.93262,1
2882.03955,2769.44556,1
2883.05151,2590.71582,1
2883.6272,2653.74365,1
2883.6665,2707.50244,1
2887.96,2739.89722,1
2893.19775,2682.227,1
2893.594,2635.85864,1
2898.324,2600.124,1
2898.918,2628.952,1
2899.522,2633.56348,1
2902.62915,2687.01,1
2902.81,2716.604,1
2902.91724,2669.31641,1
2904.69922,2536.22241,1
2905.24756,2608.74,1
2905.37769,2654.62549,1
2905.45166,2729.43481,1
2905.468,2652.064,1
2907.55957,2697.14941,1
2908.244,2668.117,1
2908.591,2723.195,1
2910.69385,2602.27,1
2910.99976,2803.323,1
2912.96826,2668.77515,1
2914.92627,2799.88135,1
2915.57568,2753.07837,1
2916.77466,2866.14819,1
2917.43286,2620.83276,1
2917.61621,2818.51465,1
2919.11865,2769.84277,1
2919.5896,2618.25977,1
2919.82813,2709.54834,1
2921.28149,2647.43677,1
2921.722,2602.38013,1
2921.75317,2722.82568,1
2921.96387,2681.14331,1
2922.60742,2725.727,1
2923.48169,2681.988,1
2924.739,2671.27051,1
2925.17529,2707.56836,1
2926.288,2758.168,1
2926.52466,2707.20581,1
2927.41772,2982.2627,1
2927.77954,2638.189,1
2928.31323,2726.432,1
2930.177,2634.4248,1
2930.34741,2695.516,1
2930.597,2604.22583,1
2931.09351,2641.8457,1
2931.53882,2744.18115,1
2931.60449,2618.29663,1
2932.19263,2638.47681,1
2932.75537,2649.5,1
2932.93164,2764.51636,1
2933.649,2763.02246,1
2933.89722,2632.228,1
2934.10156,2817.19482,1
2934.37354,2768.74219,1
2934.815,2638.083,1
2934.9353,2729.586,1
2935.407,2709.73755,1
2935.77734,2885.74585,1
2936.061,2703.95947,1
2936.19775,2664.31323,1
2936.22437,2820.3252,1
2936.56714,2682.14966,1
2936.69824,2773.809,1
2937.55273,2751.86328,1
2937.797,2672.97339,1
2937.89624,2736.732,1
2938.15381,2592.052,1
2938.8418,2599.999,1
2939.20923,2775.52441,1
2939.573,2582.048,1
2941.40015,2703.84668,1
2941.624,2812.786,1
2941.6853,2927.606,1
2941.78784,2871.71045,1
2941.90479,2687.506,1
2942.16235,2601.778,1
2942.34814,2759.45386,1
2942.41748,2633.32983,1
2942.65845,2778.082,1
2943.09058,2774.95459,1
2943.197,2772.85474,1
2943.67163,2724.81421,1
2944.11328,2551.768,1
2944.42383,2668.21729,1
2944.58984,2642.18359,1
2944.75,2755.8186,1
2945.24023,2639.446,1
2945.29175,2769.00952,1
2945.66553,2668.16187,1
2945.68579,2810.81958,1
2946.00513,2810.08057,1
2946.054,2679.77,1
2946.11157,2591.164,1
2946.19263,2657.13452,1
2946.253,2748.914,1
2946.59424,2763.558,1
2946.643,2679.93652,1
2946.70361,2762.219,1
2946.99976,2585.136,1
2947.429,2787.201,1
2947.63062,2568.41,1
2948.20117,2696.81567,1
2948.32861,2692.14966,1
2948.845,2745.759,1
2948.99121,2822.99878,1
2948.99365,2794.27441,1
2949.342,2643.67676,1
2949.43726,2698.10474,1
2950.39746,2662.68848,1
