Ch1 Amplitude,Ch2 Amplitude,Cluster
2722.11914,2620.11841,1
2755.838,2610.79517,1
2757.345,2587.921,1
2767.07861,2739.30835,1
2770.032,2566.72827,1
2770.67358,2562.24072,1
2772.46069,2578.19922,1
2774.20044,2709.18726,1
2776.32666,2641.81055,1
2779.12256,2665.733,1
2781.29468,2796.34888,1
2783,2774.12,1
2783.50415,2713.146,1
2784.54883,2549.57056,1
2791.285,2619.04663,1
2795.37329,2747.512,1
2796.0957,2637.988,1
2796.187,2544.6228,1
2796.23218,2503.824,1
2797.074,2556.17383,1
2798.37231,2724.51514,1
2799.89233,2599.67871,1
2803.07983,2659.28467,1
2804.31177,2603.83423,1
2804.70679,2530.36938,1
2807.75073,2657.38574,1
2807.87158,2662.15039,1
2809.45947,2691.97046,1
2810.851,2820.57471,1
2811.073,2571.04053,1
2811.08813,2503.10254,1
2812.662,2665.42944,1
2813.04346,2589.6,1
2813.04736,2578.76587,1
2813.3125,2631.98267,1
2814.888,2614.38965,1
2815.16333,2610.2395,1
2815.179,2813.9834,1
2815.29,2674.36621,1
2815.63281,2694.96533,1
2817.87524,2618.776,1
2818.98926,2723.74438,1
2819.2793,2501.24219,1
2819.646,2547.53931,1
2820.71484,2657.64844,1
2821.42236,2537.7063,1
2822.673,2490.9895,1
2823.06567,2689.04883,1
2824.24243,2609.4502,1
2824.66,2659.98853,1
2825.08081,2755.00732,1
2825.68018,2668.19263,1
2826.011,2640.82764,1
2826.81714,2739.434,1
2828.11963,2643.83716,1
2828.55176,2635.736,1
2828.62061,2606.90479,1
2829.403,2579.729,1
2829.40454,2518.205,1
2829.89844,2649.34473,1
2830.13086,2571.96313,1
2830.76147,2565.3396,1
2830.84,2548.56177,1
2830.904,2629.604,1
2832.03418,2617.09253,1
2832.346,2747.79761,1
2832.49731,2622.925,1
2832.63379,2559.741,1
2833.36377,2750.75732,1
2833.47778,2600.37158,1
2833.696,2592.60669,1
2833.78735,2548.49951,1
2834.26587,2561.735,1
2834.69531,2497.53247,1
2834.9856,2547.84351,1
2836.36084,2636.35,1
2836.75415,2727.73535,1
2837.358,2642.81,1
2837.80664,2623.47388,1
2838.01831,2569.99243,1
2838.33862,2498.76953,1
2838.48242,2597.312,1
2840.42529,2649.24634,1
2840.53882,2824.77515,1
2841.20557,2695.56421,1
2841.421,2631.51953,1
2842.06641,2585.74268,1
2842.22021,2692.9646,1
2842.261,2767.762,1
2843.35522,2693.44751,1
2843.924,2673.522,1
2844.12231,2718.04248,1
2844.487,2624.88818,1
2844.89063,2724.12451,1
