Ch1 Amplitude,Ch2 Amplitude,Cluster
2618.84521,2379.54785,1
2623.307,2516.186,1
2643.46167,2546.43652,1
2686.93042,2686.19824,1
2692.19531,2547.17383,1
2692.70459,2594.96655,1
2695.30566,2638.11768,1
2701.69556,2556.22021,1
2707.42,2573.77515,1
2709.72363,2582.36841,1
2710.55615,2525.80249,1
2711.80371,2592.70972,1
2712.86987,2635.94043,1
2713.88281,2637.05859,1
2714.2915,2506.659,1
2717.30762,2576.16235,1
2719.547,2628.83569,1
2719.96582,2567.399,1
2721.02612,2533.3313,1
2726.528,2638.917,1
2726.81738,2575.82129,1
2727.163,2541.03442,1
2727.94458,2551.45483,1
2727.97021,2694.70825,1
2728.775,2501.83838,1
2729.268,2641.838,1
2732.17456,2547.83032,1
2732.56519,2609.187,1
2734.17773,2580.37378,1
2734.81274,2582.97021,1
2736.182,2581.86743,1
2736.83325,2598.65161,1
2737.00317,2573.47949,1
2737.37329,2574.00244,1
2738.907,2533.62769,1
2740.22314,2592.58032,1
2740.22485,2629.36353,1
2740.93262,2542.95752,1
2741.30737,2623.25757,1
2742.80054,2609.65137,1
2744.363,2526.19434,1
2747.62939,2582.09424,1
2748.42578,2560.77637,1
2749.4624,2662.98218,1
2749.887,2775.90479,1
2750.56934,2657.747,1
2750.9563,2586.11621,1
2751.751,2498.693,1
2751.78833,2612.84351,1
2752.95044,2564.5564,1
2754.557,2530.091,1
2755.88281,2551.64746,1
2756.01416,2603.28735,1
2756.07861,2470.00952,1
2756.39,2489.67261,1
2756.842,2605.97729,1
2757.7356,2706.921,1
2757.8457,2654.10425,1
2758.23242,2541.703,1
2758.2937,2545.14941,1
2758.69,2597.023,1
2759.39819,2566.188,1
2759.68164,2725.78418,1
2759.93555,2600.39136,1
2760.52563,2565.036,1
2760.65552,2505.77759,1
2762.21729,2605.27271,1
2762.679,2586.313,1
2762.97241,2620.576,1
2763.06567,2479.999,1
2763.19214,2712.43481,1
2763.35938,2566.96777,1
2763.4292,2673.94727,1
2764.33423,2707.66772,1
2764.53174,2650.36035,1
2764.76563,2648.64526,1
2765.22,2569.30151,1
2765.62476,2696.39966,1
2765.70972,2777.49536,1
2765.80029,2575.37671,1
2765.89087,2701.612,1
2766.143,2733.08765,1
2766.16772,2653.3645,1
2766.29272,2602.524,1
2767.05957,2545.37085,1
2767.60352,2633.096,1
2767.682,2518.34937,1
2767.70264,2547.78613,1
2767.74878,2548.16675,1
2768.29883,2506.54858,1
2768.339,2496.36255,1
2768.99976,2710.00757,1
2769.4043,2667.4353,1
2769.43213,2739.43359,1
2769.662,2555.41724,1
2769.707,2528.579,1
2770.21265,2612.03784,1
2770.23242,2814.536,1
2770.24121,2670.49658,1
2771.113,2657.59351,1
2771.211,2771.79077,1
2771.70874,2618.95532,1
2771.99658,2542.09521,1
2772.01563,2750.7627,1
2772.11816,2558.94385,1
2772.194,2659.41,1
2772.20654,2492.708,1
2772.21436,2680.48267,1
2773.61938,2650.976,1
2773.73657,2629.14746,1
2773.90918,2647.703,1
2774.43921,2674.98071,1
2774.55518,2647.901,1
2774.84473,2511.96118,1
2775.09229,2597.20581,1
2775.1853,2580.70776,1
2775.2522,2631.41846,1
2775.79761,2656.20679,1
2776.21362,2534.861,1
2776.40625,2543.93066,1
2776.625,2597.47461,1
2776.65381,2566.12476,1
2776.89429,2737.966,1
2776.94385,2639.24,1
2776.98755,2599.01147,1
2777.1394,2612.005,1
2777.23682,2574.735,1
2777.717,2759.61353,1
2777.95776,2579.86279,1
2778.237,2560.707,1
2778.261,2662.81982,1
2778.72534,2648.7,1
