Ch1 Amplitude,Ch2 Amplitude,Cluster
2615.00317,2743.24048,1
2633.03174,2642.73633,1
2635.9895,2637.99976,1
2647.81519,2605.54785,1
2648.19116,2540.69678,1
2648.72583,2613.44067,1
2651.59644,2451.49463,1
2652.085,2600.90454,1
2660.797,2568.11377,1
2675.824,2611.00146,1
2679.84253,2619.193,1
2680.76514,2707.54614,1
2680.8396,2712.51587,1
2681.505,2731.19751,1
2681.63452,2677.40552,1
2682.58618,2597.90576,1
2685.14,2627.08716,1
2685.56177,2597.04443,1
2686.37158,2572.52173,1
2686.52148,2532.048,1
2686.54028,2543.4436,1
2686.748,2553.1394,1
2687.41553,2620.103,1
2687.833,2539.3645,1
2688.30176,2525.30933,1
2688.38062,2549.26074,1
2690.263,2582.51733,1
2693.47827,2544.49927,1
2696.68066,2538.65,1
2697.66968,2536.28052,1
2699.03784,2631.515,1
2699.173,2692.44458,1
2699.64966,2616.70654,1
2699.65625,2562.551,1
2699.69873,2648.362,1
2700.09082,2657.03833,1
2700.27417,2672.422,1
2700.34937,2671.523,1
2700.64966,2648.09155,1
2701.2937,2532.5647,1
2702.61377,2586.234,1
2703.202,2610.67773,1
2703.735,2586.98022,1
2704.06226,2664.49731,1
2705.58984,2617.75244,1
2705.97119,2710.47559,1
2706.332,2559.34155,1
2707.02563,2576.79565,1
2708.17383,2743.73926,1
2708.721,2446.49731,1
2708.786,2502.462,1
2709.761,2634.9978,1
2710.5083,2594.99561,1
2710.73877,2673.44019,1
2711.992,2553.15845,1
2713.064,2511.12671,1
2713.39478,2517.146,1
2715.41577,2518.08252,1
2715.41968,2608.88452,1
2715.9646,2624.46875,1
2716.22583,2515.77515,1
2717.05371,2517.2666,1
2717.29443,2539.66626,1
2717.456,2589.68115,1
2717.68823,2589.04688,1
2719.5686,2532.06714,1
2719.961,2580.77051,1
2721.1665,2541.808,1
2721.394,2582.20386,1
2722.326,2533.54932,1
2722.52148,2527.34766,1
2723.41016,2498.85059,1
2723.64185,2614.494,1
2723.7627,2603.41064,1
2723.77563,2640.95166,1
2724.008,2775.86377,1
2724.15552,2598.093,1
2724.21924,2722.44043,1
2724.4248,2555.48877,1
2725.77222,2630.86572,1
2725.9043,2606.5166,1
2726.187,2537.70068,1
2726.30933,2599.312,1
2727.6875,2493.416,1
