Ch1 Amplitude,Ch2 Amplitude,Cluster
3912.54321,3794.902,1
4194.663,3302.46484,1
4200.908,3201.154,1
4217.652,3297.44971,1
4223.68652,3398.62085,1
4232.36475,3210.26587,1
4237.489,3207.14624,1
4238.156,3380.48633,1
4245.464,3188.28369,1
4247.062,3218.45728,1
4249.496,3321.47729,1
4251.91943,3107.61523,1
4253.255,3179.17285,1
4257.044,3120.65454,1
4272.086,3218.962,1
4272.878,3205.49243,1
4275.155,3227.79053,1
4277.38232,3162.32324,1
4277.615,3233.5752,1
4277.735,3240.173,1
4279.89,3336.69385,1
4282.063,3300.11279,1
4284.176,3201.26514,1
4284.35938,3210.52612,1
4284.906,3193.155,1
4286.04443,3268.72021,1
4288.05566,3179.94165,1
4288.81,3304.34253,1
4291.72,3204.58325,1
4295.7876,3252.229,1
4296.065,3299.93,1
4296.41943,3169.82,1
4297.004,3193.617,1
4297.301,3257.7937,1
4299.707,3242.85425,1
4305.27344,3199.01245,1
4308.195,3398.99976,1
4310.58838,3158.00122,1
4311.819,3133.109,1
4313.626,3297.89526,1
4314.168,3251.22363,1
4317.21631,3380.61475,1
4317.31934,3171.042,1
4317.886,3376.043,1
4318.85254,3153.817,1
4319.88037,3181.38965,1
4321.98,3432.347,1
4325.207,3162.69482,1
4325.30762,3284.614,1
4326.874,3268.38062,1
4328.94531,3249.20679,1
4331.16455,3192.556,1
4333.799,3224.68652,1
4338.28027,3268.15454,1
4342.21143,3345.79639,1
4342.62,3320.51221,1
4343.218,3236.70581,1
4348.04834,3184.431,1
4352.19043,3177.38525,1
4352.998,3220.605,1
4353.05664,3410.338,1
4354.10938,3283.365,1
4356.337,3111.68164,1
4356.50244,3310.84131,1
4356.84326,3175.27466,1
4357.00244,3342.48828,1
4357.79541,3159.60327,1
4358.835,3200.142,1
4361.174,3111.72534,1
4363.221,3255.45142,1
4363.291,3083.17261,1
4364.17969,3504.69336,1
4366.53125,3335.84741,1
4366.65137,3388.62915,1
4367.369,3269.875,1
4367.677,3298.68018,1
4368.54,3420.4502,1
4369.17627,3260.2937,1
4369.46338,3350.07056,1
4370.425,3390.40186,1
4370.53467,3286.0354,1
4370.84326,3247.49878,1
4370.852,3406.7085,1
4371.05029,3236.688,1
4375.33447,3174.52222,1
4377.738,3236.98022,1
4378.203,3341.1333,1
4378.866,3432.48584,1
4379.25439,3233.07715,1
4381.69727,3385.54468,1
4382.01367,3177.10645,1
4382.345,3388.99829,1
4382.92725,3326.71265,1
4382.939,3245.402,1
4384.318,3202.02026,1
4384.65527,3362.21655,1
4386.113,3331.394,1
4386.33643,3206.2854,1
4387.162,3322.917,1
4388.5166,3247.945,1
4388.83057,3471.792,1
4390.02246,3267.36157,1
4390.315,3394.06372,1
4390.753,3442.99634,1
4392.516,3217.75073,1
4394.793,3359.287,1
4395.306,3318.237,1
4396.37842,3316.67529,1
4397.35059,3245.631,1
4397.51172,3094.463,1
4397.819,3296.217,1
4399.00049,3309.20166,1
4399.21973,3268.18042,1
4399.296,3233.82642,1
4400.033,3207.832,1
4401.83057,3243.749,1
4401.96973,3401.201,1
4403.07568,3441.36426,1
4403.245,3376.555,1
4403.74268,3298.15918,1
4404.577,3377.87524,1
4405.42432,3283.33276,1
4405.71045,3083.7915,1
4405.90967,3333.55249,1
4406.732,3331.17725,1
4407.26025,3318.95728,1
4407.38428,3219.9978,1
4407.44727,3233.41919,1
4407.541,3310.414,1
4407.87744,3396.03125,1
4407.88135,3115.52124,1
4409.69971,3258.47681,1
4409.81934,3340.58984,1
4410.07666,3433.85913,1
4412.776,3384.69043,1
4413.0874,3592.25781,1
4413.18457,3322.17554,1
4413.36768,3293.5686,1
4413.998,3382.20728,1
4414.07275,3386.15771,1
4414.98047,3322.55835,1
4415.36768,3351.62646,1
4415.63037,3315.21484,1
4416.868,3349.65112,1
4417.179,3386.36548,1
4417.88965,3357.08032,1
4418.22754,3330.70947,1
4418.796,3377.688,1
4421.242,3122.02783,1
4421.35742,3249.29663,1
4422,3329.57715,1
4422.4624,3232.67432,1
4423.807,3378.69214,1
4424.278,3378.1106,1
4424.87158,3203.29663,1
4425.868,3370.95435,1
4426.127,3409.08887,1
4426.71436,3265.51563,1
4426.97168,3446.761,1
4427.78271,3321.98438,1
4428.4165,3599.736,1
4429.036,3364.06885,1
4429.67432,3448.51831,1
4430.7583,3368.017,1
4430.902,3210.36377,1
4431.18652,3264.203,1
4432.45459,3452.413,1
4433.34033,3460.77661,1
4433.395,3259.80713,1
4433.62842,3308.66187,1
4434.281,3395.67847,1
4434.597,3328.07739,1
4435.34326,3233.843,1
4435.41162,3170.57715,1
4435.6123,3272.25317,1
4435.78564,3425.15918,1
4436.0625,3298.49951,1
4436.34375,3512.31348,1
4436.49561,3370.79077,1
4437.021,3429.66162,1
4438.1626,3409.30664,1
4438.28564,3472.72021,1
4438.57129,3280.716,1
4438.992,3152.25171,1
4439.402,3378.92017,1
4440.388,3321.28174,1
4441.75439,3209.50879,1
4441.90674,3413.01538,1
4442.238,3578.01221,1
4442.28857,3374.67822,1
4442.537,3553.701,1
4442.98047,3403.0603,1
4443.05664,3366.51978,1
4443.321,3400.29224,1
4443.58643,3391.955,1
4444.29346,3514.52344,1
4444.364,3395.89648,1
4446.2793,3345.136,1
4446.61768,3240.12622,1
4446.874,3375.46533,1
4447.28,3485.83472,1
4447.329,3337.29614,1
4447.68,3399.84985,1
4447.801,3306.68237,1
4448.961,3343.907,1
4448.969,3211.942,1
4449.203,3250.06421,1
4449.87451,3386.54346,1
4450.873,3280.97363,1
4451.51025,3281.784,1
4452.38525,3430.72363,1
4452.72949,3267.38037,1
4452.81445,3258.839,1
4453.147,3314.05884,1
4453.612,3481.43579,1
4453.6543,3355.482,1
4454.75439,3516.109,1
4456.264,3380.88,1
4456.4917,3429.38037,1
4456.719,3319.37842,1
4456.836,3401.201,1
4458.048,3354.82251,1
4458.151,3489.19043,1
4458.42041,3291.792,1
4459.28662,3281.307,1
4459.728,3316.89258,1
4460.7666,3256.40454,1
4460.94629,3492.46045,1
4462.235,3458.72852,1
4462.7417,3405.83838,1
4463.17334,3459.60767,1
4463.264,3314.36768,1
4463.474,3344.229,1
4463.972,3518.359,1
4464.026,3298.71582,1
4464.136,3380.86353,1
4464.284,3307.365,1
4464.501,3422.776,1
4464.50928,3425.90625,1
4464.977,3284.77368,1
4465.69727,3299.72827,1
4465.87256,3387.81323,1
4466.05225,3277.438,1
4466.217,3580.92627,1
4466.328,3399.31519,1
4466.72168,3247.1167,1
4467.07,3326.52441,1
4467.19,3474.175,1
4467.51563,3225.40332,1
4467.641,3311.27,1
4468.79346,3319.85181,1
4469.076,3361.91,1
4471.2085,3250.34033,1
4471.955,3504.52563,1
4472.38867,3289.041,1
4472.79834,3307.40137,1
4473.42041,3198.59521,1
4473.826,3195.30273,1
4474.209,3416.198,1
4474.785,3387.975,1
4475.09961,3324.123,1
4475.13232,3416.441,1
4475.37061,3466.01953,1
4476.17139,3325.64136,1
4476.525,3232.59058,1
4476.568,3358.71362,1
4476.57959,3430.093,1
4476.63428,3403.01025,1
4477.22266,3356.00879,1
4477.368,3303.297,1
4478.061,3186.02954,1
4478.18945,3320.10669,1
4478.2124,3311.79126,1
4478.22949,3269.88232,1
4478.5874,3148.936,1
4478.62,3536.14648,1
4479.843,3340.99243,1
4479.89746,3476.14648,1
4480.05029,3354.04053,1
4480.23535,3448.823,1
4480.47656,3145.63062,1
4480.71143,3115.042,1
4481.12354,3393.5144,1
4481.27539,3294.428,1
4481.53467,3375.75269,1
4481.92,3297.59839,1
4481.953,3376.44116,1
4481.955,3443.464,1
4483.608,3501.46362,1
4483.624,3370.16772,1
4483.686,3312.37036,1
4483.70947,3318.139,1
4483.78125,3367.68579,1
4483.78271,3385.855,1
4484.18164,3353.43042,1
4484.3623,3448.42554,1
4484.715,3356.30981,1
4485.349,3562.53442,1
4485.377,3420.763,1
4485.632,3296.27954,1
4486.15625,3513.3374,1
4486.275,3449.85986,1
4486.47363,3356.85254,1
4486.745,3371.597,1
4486.96729,3291.88672,1
4487.155,3404.4563,1
4487.36963,3355.15234,1
4487.4873,3283.808,1
4487.49951,3144.20264,1
4487.78857,3549.15259,1
4488.02441,3352.21362,1
4488.10938,3334.99927,1
4488.79834,3419.3833,1
4489.3623,3434.611,1
4489.846,3457.91113,1
4490.61,3341.62769,1
4490.92139,3478.475,1
4491.00732,3418.06885,1
4491.303,3484.21924,1
4491.876,3523.79956,1
4491.94775,3230.49023,1
4491.981,3344.72266,1
4492.46729,3408.89185,1
4492.485,3244.79175,1
4492.9043,3472.42383,1
4492.93066,3293.482,1
4493.03125,3340.69849,1
4493.105,3373.61523,1
4493.28271,3348.87256,1
4493.863,3436.869,1
4494.175,3583.50439,1
4494.24561,3348.26,1
4494.35254,3573.56641,1
4494.52832,3386.37622,1
4494.962,3392.25952,1
4495.06055,3345.178,1
4495.784,3465.914,1
4496.12744,3262.95068,1
4496.1333,3451.05078,1
4496.19531,3310.18872,1
4496.415,3440.71045,1
4497.197,3353.4248,1
4497.265,3138.31055,1
4497.59131,3481.22949,1
4498.11426,3311.829,1
4498.26025,3622.35132,1
4498.55371,3276.49976,1
4498.633,3587.011,1
4498.725,3435.77466,1
4498.86768,3424.61572,1
4499.516,3319.091,1
4499.544,3396.93262,1
4499.879,3465.93774,1
4500.079,3378.186,1
4500.204,3500.60156,1
4500.78662,3295.696,1
4500.81836,3339.24683,1
4500.96,3523.43677,1
4500.9834,3374.53857,1
4501.50146,3444.49048,1
4502.101,3530.25269,1
4502.32275,3242.12524,1
4502.41943,3616.14478,1
4502.517,3265.43677,1
4502.663,3502.78,1
4503.15039,3367.54517,1
4503.261,3279.177,1
4503.292,3404.88184,1
4503.7124,3431.29565,1
4503.75244,3428.70557,1
4503.90527,3556.60913,1
4504.569,3359.49878,1
4504.88037,3387.99731,1
4504.92529,3284.77881,1
4505.009,3288.567,1
4505.625,3287.06665,1
4505.802,3363.149,1
4507.27246,3358.60059,1
4507.48975,3427.95239,1
4507.68164,3483.96118,1
4507.915,3425.56177,1
4508.01,3333.84326,1
4508.22461,3358.69019,1
4508.29346,3601.22046,1
4509.238,3537.78369,1
4509.431,3488.17236,1
4509.49268,3297.15112,1
4509.505,3399.92627,1
4509.93359,3459.85352,1
4510.317,3482.68945,1
4510.707,3454.02466,1
4511.006,3584.8208,1
4511.06152,3351.818,1
4511.121,3441.39819,1
4511.22168,3247.863,1
4511.29248,3224.532,1
4511.30762,3352.522,1
4511.31934,3568.92554,1
4511.358,3559.23364,1
4511.384,3483.5354,1
4511.61426,3307.146,1
4511.88232,3358.04956,1
4512.089,3387.271,1
4513.04932,3268.44946,1
4513.54053,3211.98633,1
4513.77832,3439.1792,1
4514.04932,3416.22119,1
4514.212,3486.09326,1
4514.472,3418.026,1
4514.55127,3248.38623,1
4514.76025,3411.15161,1
4514.847,3357.32935,1
4515.18066,3360.06567,1
4515.348,3378.53931,1
4515.36426,3338.2334,1
4515.49072,3484.91479,1
4515.57,3372.76343,1
4515.81738,3467.35181,1
4515.932,3327.658,1
4516.088,3365.776,1
4516.226,3391.58521,1
4516.436,3381.63232,1
4516.44775,3379.31567,1
4516.597,3254.46533,1
4516.63574,3498.9563,1
4516.7627,3216.80273,1
4517.02637,3440.192,1
4517.42139,3353.99878,1
4517.51563,3423.18018,1
4517.59326,3408.124,1
4517.65869,3337.0354,1
4517.659,3319.64258,1
4517.7876,3371.673,1
4517.789,3365.05469,1
4518.028,3434.551,1
4518.66846,3332.35,1
4518.77734,3307.05981,1
4518.86035,3300.0293,1
4518.99561,3461.68457,1
4519.01367,3329.0022,1
4519.23242,3385.35352,1
4519.38525,3459.614,1
4519.395,3239.19629,1
4519.406,3282.32153,1
4519.512,3554.63257,1
4519.55859,3482.66748,1
4519.784,3386.78027,1
4519.8833,3527.78687,1
4519.98145,3410.55884,1
4520.23438,3426.09375,1
4520.96631,3367.25635,1
4521.01025,3416.78516,1
4521.34473,3400.46582,1
4521.424,3634.402,1
4521.44775,3247.47168,1
4521.449,3515.08618,1
4522.06836,3697.94629,1
4522.24072,3390.50122,1
4522.59,3354.12524,1
4522.693,3308.33032,1
4522.75732,3347.88086,1
