Ch1 Amplitude,Ch2 Amplitude,Cluster
4179.746,3187.58862,1
4195.5083,3182.25366,1
4197.243,3249.04834,1
4222.173,3409.57373,1
4226.80225,3146.73315,1
4231.436,3142.30859,1
4233.26563,3301.62769,1
4235.802,3172.51465,1
4244.63,3250.736,1
4245.05,3113.16431,1
4246.93066,3131.9126,1
4255.88428,3395.784,1
4263.8374,3346.12964,1
4268.289,3334.38965,1
4270.749,3295.02051,1
4271.34473,3260.32813,1
4276.89,3321.449,1
4278.118,3146.444,1
4280.35254,3326.18726,1
4282.62451,3227.21753,1
4285.82031,3300.07446,1
4285.96338,3262.31958,1
4286.875,3327.55933,1
4286.90967,3320.81226,1
4289.871,3433.31836,1
4297.171,3230.65283,1
4297.42773,3415.34888,1
4297.96973,3378.62817,1
4298.02246,3231.122,1
4298.919,3263.05054,1
4301.69873,3190.50537,1
4302.429,3275.94727,1
4309.195,3287.04,1
4310.23633,3243.93457,1
4312.313,3358.26929,1
4312.88672,3372.60181,1
4313.473,3246.67969,1
4315.201,3229.00537,1
4315.49268,3218.1543,1
4319.01367,3270.6626,1
4321.491,3378.21069,1
4323.57,3281.85327,1
4325.45068,3298.7,1
4326.534,3228.91064,1
4328.543,3249.698,1
4331.08057,3415.81519,1
4331.5625,3367.7146,1
4331.76,3162.76,1
4332.118,3275.941,1
4332.23047,3228.63062,1
4337.326,3196.98828,1
4338.02051,3323.053,1
4338.182,3308.7395,1
4339.156,3459.834,1
4339.16748,3398.89429,1
4340.761,3249.457,1
4341.18945,3214.90918,1
4342.75537,3216.35132,1
4343.922,3222.05127,1
4345.713,3244.845,1
4345.779,3240.786,1
4346.056,3422.59888,1
4346.26855,3279.30347,1
4346.93164,3229.338,1
4349.745,3424.50317,1
4351.12744,3141.22876,1
4351.81934,3385.60547,1
4353.44,3325.46973,1
4354.16943,3297.83057,1
4354.184,3232.17041,1
4354.362,3395.736,1
4355.07227,3253.00586,1
4357.81055,3222.12134,1
4358.2,3449.08374,1
4360.465,3386.55176,1
4360.924,3260.84326,1
4363.91357,3289.49976,1
4364.7085,3241.6604,1
4365.12939,3295.04663,1
4365.89844,3282.00562,1
4368.3374,3195.6748,1
4368.859,3361.38843,1
4369.19531,3359.89771,1
4370.40674,3293.57349,1
4370.64258,3357.48853,1
4371.853,3409.15234,1
4373.23926,3363.04346,1
4373.36133,3497.88257,1
4373.485,3360.456,1
4374.3,3181.01953,1
4375.091,3194.74536,1
4375.15039,3393.51855,1
4376.152,3370.0144,1
4376.451,3214.87769,1
4377.3457,3201.96729,1
4378.032,3455.561,1
4378.679,3272.11353,1
4378.79248,3222.80347,1
4379.142,3426.31836,1
4380.35742,3149.90479,1
4380.38232,3196.193,1
4380.419,3339.73755,1
4381.109,3181.18945,1
4381.259,3337.58423,1
4386.92627,3181.68,1
4387.744,3400.214,1
