Ch1 Amplitude,Ch2 Amplitude,Cluster
4145.946,3155.87817,1
4193.939,3115.94238,1
4194.6875,3167.96143,1
4215.333,3216.80884,1
4221.63672,3156.87671,1
4223.7085,3296.07715,1
4227.768,3181.08423,1
4228.215,3247.23,1
4229.594,3158.73145,1
4232.201,3200.64453,1
4235.154,3196.77124,1
4239.6626,3357.78149,1
4245.36475,3204.9314,1
4263.205,3299.3,1
4263.34131,3176.14868,1
4278.77441,3346.27783,1
4279.6333,3328.74463,1
4286.91748,3310.314,1
4293.07129,3433.51123,1
4298.98438,3268.99146,1
4299.269,3287.4187,1
4302.7876,3392.98,1
4302.81836,3271.07251,1
4304.17432,3252.05933,1
4306.847,3264.3125,1
4309.69,3287.24341,1
4310.11328,3330.254,1
4311.715,3319.90234,1
4313.143,3244.31445,1
4320.892,3371.518,1
4322.84326,3544.08838,1
4323.058,3243.60181,1
4323.518,3302.762,1
4326.25635,3363.42456,1
4326.401,3205.29053,1
4326.896,3264.55249,1
4329.77246,3360.25244,1
4330.648,3403.889,1
4331.442,3154.465,1
4332.222,3221.35669,1
4334.4,3262.40771,1
4334.71,3263.99268,1
4337.629,3169.27148,1
4338.1,3301.58,1
4339.04834,3215.919,1
4340.31348,3362.90186,1
4342.21826,3321.587,1
4343.177,3179.65283,1
4343.91455,3180.88184,1
4344.093,3187.1394,1
4344.89746,3330.48877,1
4346.12451,3235.01636,1
4346.269,3335.24536,1
4347.697,3237.08057,1
4347.875,3377.17651,1
4347.9873,3305.63281,1
4349.147,3268.235,1
4350.24756,3191.48169,1
4350.663,3320.08374,1
4353.737,3226.07666,1
4353.93066,3227.82349,1
4354.163,3326.04858,1
4355.90674,3265.41016,1
4357.315,3268.37,1
4358.44336,3272.11353,1
4358.58252,3444.22949,1
4359.13672,3476.04175,1
4360.417,3331.75537,1
4361.121,3100.588,1
4362.90625,3197.04224,1
4364.86865,3329.582,1
4365.21045,3313.909,1
4365.443,3426.81,1
4367.5874,3337.453,1
4367.70068,3155.1,1
4367.81738,3258.234,1
4369.079,3331.841,1
4369.191,3158.807,1
4370.527,3286.192,1
4370.55469,3274.13135,1
4372.80273,3384.7627,1
4372.91,3130.57031,1
4374.772,3187.613,1
4376.168,3368.705,1
4377.646,3164.62036,1
4377.734,3289.38721,1
4378.69971,3340.25537,1
4379.032,3172.513,1
4379.94873,2852.67383,1
4380.38,3257.49268,1
4381.325,3232.052,1
4381.94336,3415.265,1
4382.95557,3252.504,1
4383.863,3263.04028,1
4384.125,3212.8584,1
4386.249,3215.684,1
4386.26563,3322.973,1
4386.35059,3127.46582,1
4386.8457,3210.27466,1
4389.96973,3213.91455,1
4390.78027,3290.88867,1
4391.40039,3229.94287,1
4391.60645,3264.71558,1
4394.449,3314.53418,1
4394.505,3278.28613,1
4394.759,3530.6084,1
4396.577,3375.39966,1
4396.96631,3356.56128,1
4396.99463,3262.47485,1
4397.5083,3316.104,1
4397.52441,3362.48145,1
4397.67969,3211.29517,1
4398.508,3466.87378,1
4401.24463,3332.39868,1
4402.94629,3276.89575,1
4403.058,3438.1062,1
4403.415,3166.6355,1
4403.42627,3364.79028,1
4404.15234,3317.77539,1
4404.658,3366.969,1
4404.681,3262.096,1
4404.70068,3378.84473,1
4405.52148,3090.39429,1
4405.78857,3311.07715,1
4405.94873,3204.25439,1
4406.59375,3188.51465,1
4411.392,3217.71484,1
4411.99951,3207.364,1
4412.604,3386.05322,1
4413.73047,3409.05127,1
4413.87939,3218.925,1
4415.34961,3394.943,1
4415.581,3279.07935,1
4415.644,3152.69971,1
4416.18945,3305.34351,1
4416.484,3326.55835,1
4417.43848,3473.43286,1
4417.806,3412.39063,1
4420.40234,3383.49,1
4420.99561,3475.98828,1
4421.205,3428.95752,1
4421.71338,3276.42578,1
4422.618,3237.87085,1
4424.46729,3427.548,1
4425.057,3438.40576,1
4425.311,3480.68066,1
4425.90332,3252.148,1
4426.19434,3200.94165,1
4426.22656,3223.873,1
4426.83936,3396.07,1
4427.777,3504.14355,1
4429.163,3253.404,1
4429.76563,3525.728,1
4429.82666,3419.84619,1
4430.379,3510.719,1
4430.579,3227.41187,1
4431.07959,3370.96582,1
4431.1377,3403.28662,1
4431.2334,3259.75659,1
4431.317,3344.32275,1
4431.33154,3396.05249,1
4432.442,3169.63525,1
4432.973,3369.94922,1
4433.15332,3574.77051,1
4433.405,3367.978,1
4433.769,3379.02515,1
4434.167,3376.36963,1
4435.53467,3263.68848,1
4436.25049,3289.397,1
4436.34863,3358.77148,1
4436.54639,3421.463,1
4437.069,3436.86279,1
4437.317,3433.40747,1
4437.693,3204.521,1
4437.72266,3521.31616,1
4437.79,3299.5376,1
4437.88672,3354.584,1
4438.505,3476.13452,1
4439.284,3513.97681,1
4440.18555,3567.01758,1
4440.30225,3277.01074,1
4440.724,3286.68115,1
4441.185,3378.42,1
4441.2915,3423.003,1
4441.413,3463.95337,1
4441.49463,3287.88062,1
4442.33252,3403.881,1
4442.584,3267.924,1
4443.629,3377.44385,1
4443.78369,3265.47534,1
4444.18,3220.474,1
4445.17041,3345.465,1
4445.351,3327.03125,1
4445.83447,3461.11987,1
4446.15,3389.58057,1
4446.63574,3324.843,1
4446.96,3556.411,1
4447.03369,3358.49365,1
4447.412,3235.04272,1
4448.06641,3361.53735,1
4448.248,3442.03125,1
4448.603,3385.76318,1
4448.81738,3232.0896,1
4449.475,3335.361,1
4449.74854,3497.852,1
4450.707,3351.893,1
4451.438,3319.45239,1
4451.574,3265.94653,1
4452.61768,3274.793,1
4453.469,3429.9458,1
4453.72461,3226.59277,1
4453.786,3327.063,1
4454.052,3399.41113,1
4454.561,3436.749,1
4454.83936,3295.93237,1
4457.00439,3525.6897,1
4457.07129,3526.93237,1
4457.0957,3319.803,1
4457.117,3415.985,1
4457.357,3286.06616,1
4457.6377,3258.585,1
4458.15332,3193.15015,1
4458.15869,3359.64966,1
4458.556,3502.72754,1
4459.002,3577.10913,1
4459.38867,3357.39063,1
4459.86328,3378.49048,1
4460.59863,3530.48853,1
4462.33545,3328.85156,1
4462.735,3300.4375,1
4463.349,3430.324,1
4464.103,3406.177,1
4464.85742,3390.56641,1
4465.344,3386.75024,1
4465.37549,3358.76147,1
4465.78662,3555.63037,1
4466.447,3308.204,1
4466.605,3477.47217,1
4467.736,3367.95728,1
4468.009,3385.92163,1
4468.009,3360.05,1
4468.09375,3368.27417,1
4468.403,3399.42,1
4468.677,3453.07471,1
4469.66,3445.83984,1
4469.83,3261.67822,1
4469.88574,3264.51245,1
4470.174,3277.629,1
4470.26563,3322.62622,1
4470.724,3284.482,1
4471.077,3459.0166,1
4473.09473,3215.73657,1
4473.46875,3438.104,1
4473.472,3365.81152,1
4473.848,3345.20068,1
4474.68652,3378.13379,1
4475.59863,3362.54272,1
4475.607,3269.81519,1
4475.67236,3608.71753,1
4475.714,3561.91479,1
4475.924,3260.47681,1
4476.73,3291.995,1
4477.655,3523.69434,1
4477.823,3360.49048,1
4477.94873,3454.787,1
4478.75146,3442.31226,1
4479.31055,3314.694,1
4479.93262,3444.92456,1
4480.29,3333.59717,1
4480.312,3413.68555,1
4480.93457,3429.57959,1
4480.95459,3392.50562,1
4481.71631,3474.94385,1
4481.932,3523.38135,1
4482.2207,3322.608,1
4482.29248,3397.6145,1
4482.29248,3298.09888,1
4482.351,3678.69873,1
4482.809,3381.08252,1
4482.863,3248.092,1
4483.26074,3309.272,1
4483.59326,3437.65747,1
4483.947,3318.49976,1
4483.996,3375.598,1
4484.05664,3570.70972,1
4484.28662,3393.53027,1
4484.36133,3417.47681,1
4484.86475,3427.68433,1
4485.01855,3491.864,1
4485.204,3414.94238,1
4485.84326,3372.33643,1
4486.05762,3440.56152,1
4486.204,3452.76782,1
4486.21338,3322.44043,1
4486.57,3380.68115,1
4486.69531,3315.09375,1
4486.72363,3311.02344,1
4486.84033,3480.84033,1
4487.919,3384.75244,1
4487.947,3222.61743,1
4488.11963,3411.05469,1
4488.84033,3318.74976,1
4488.869,3379.807,1
4489.38525,3597.305,1
4490.436,3373.766,1
4490.537,3290.85352,1
4490.62842,3542.444,1
4490.90674,3385.39282,1
4491.20361,3359.01733,1
4491.40332,3349.361,1
4491.605,3421.68481,1
4491.609,3379.087,1
4492.02441,3408.84448,1
4492.032,3345.59326,1
4492.592,3186.54688,1
4493.026,3479.41113,1
4493.113,3408.43555,1
4493.202,3470.54688,1
4494.1123,3346.346,1
4494.726,3176.725,1
4495.118,3465.018,1
4495.18457,3398.292,1
4495.593,3394.20386,1
4496.09,3503.91138,1
4496.18066,3370.508,1
4496.42529,3297.49731,1
4496.4834,3367.136,1
4496.575,3232.06128,1
4496.596,3318.932,1
4496.60547,3542.72461,1
4496.704,3261.44971,1
4496.85449,3207.61426,1
4497.655,3423.34814,1
4497.69971,3309.49854,1
4497.954,3290.657,1
4497.97949,3393.19629,1
4498.33057,3358.89,1
4498.43945,3419.77637,1
4498.77,3450.67139,1
4498.83838,3406.21973,1
4499.28369,3440.47,1
4500.01465,3536.6626,1
4500.0166,3549.03442,1
4500.047,3560.254,1
4500.663,3377.31519,1
4500.722,3385.90747,1
4500.976,3324.365,1
4501.07373,3325.44238,1
4501.147,3369.79736,1
4501.361,3515.614,1
4501.39648,3564.4375,1
4501.577,3552.49219,1
4502.59961,3542.7373,1
4502.632,3493.113,1
4502.985,3437.89624,1
4503.25635,3208.19727,1
4503.32129,3395.68335,1
4503.43945,3377.1853,1
4503.72656,3288.80786,1
4504.08447,3428.35938,1
4504.4873,3391.04272,1
4505.082,3389.88184,1
4505.139,3353.48047,1
4505.44531,3604.711,1
4505.613,3512.095,1
4506.03027,3349.01563,1
4506.09375,3609.43652,1
4506.09863,3428.49561,1
4506.25928,3334.854,1
4506.331,3332.08,1
4506.41846,3443.49561,1
4506.73633,3494.00366,1
4507.29,3407.61377,1
4507.40137,3245.92,1
4507.479,3422.424,1
4507.53271,3310.1145,1
4507.58447,3216.079,1
4507.79834,3448.494,1
4507.833,3506.25635,1
4508.03662,3252.96826,1
4508.224,3298.23267,1
4508.22656,3415.758,1
4508.95752,3334.5332,1
4508.96973,3281.10425,1
4509.01758,3544.03613,1
4509.32227,3360.77954,1
4509.636,3336.70752,1
4509.85,3515.291,1
4510.65137,3284.9436,1
4510.93848,3331.98022,1
4510.983,3270.877,1
4511.27832,3261.166,1
4511.599,3416.00317,1
4511.641,3332.17676,1
4511.66553,3373.678,1
4511.873,3344.31885,1
4512.405,3436.811,1
4512.66357,3321.16748,1
4512.67871,3445.1438,1
4512.877,3566.48682,1
4513.57764,3494.5957,1
4513.62256,3574.48218,1
4513.7124,3374.52124,1
4513.89844,3364.92725,1
4514.102,3157.18,1
4514.225,3613.94629,1
4514.32861,3273.30884,1
4514.984,3503.11523,1
4515.05469,3377.99048,1
4515.15527,3332.98853,1
4515.169,3359.959,1
4515.27148,3394.03174,1
4515.397,3343.48877,1
4515.63867,3522.831,1
4515.681,3568.306,1
4515.851,3515.233,1
4515.8667,3411.82349,1
4515.935,3464.26514,1
4516.178,3302.78516,1
4516.709,3343.752,1
4516.746,3492.84131,1
4516.831,3299.00977,1
4516.89063,3372.512,1
4517.085,3436.75977,1
4517.56,3254.36865,1
4517.59326,3622.51978,1
4517.718,3474.22119,1
4518.01953,3468.97852,1
4518.83643,3287.87158,1
4519.45459,3362.75342,1
4519.83545,3386.927,1
4520.11133,3328.24,1
4520.289,3466.34131,1
4520.39063,3459.34937,1
4520.448,3392.97876,1
4520.723,3460.92676,1
4520.781,3427.36,1
4520.985,3385.51733,1
4521.01367,3356.8584,1
4521.049,3260.40674,1
4521.074,3418.64282,1
4521.136,3292.49146,1
4521.24072,3397.06,1
4521.46045,3624.27515,1
4521.506,3315.08057,1
4521.68457,3442.71484,1
4521.869,3186.8208,1
4522.12646,3370.96069,1
4522.25342,3441.24487,1
4522.92871,3486.74438,1
4522.94873,3402.59717,1
4523.165,3320.49927,1
4523.39258,3406.30225,1
4523.514,3318.15576,1
4523.84863,3469.10986,1
4523.897,3465.22119,1
4523.911,3530.92969,1
4524.295,3318.31714,1
4524.326,3300.468,1
4524.486,3343.77222,1
4524.49463,3310.88647,1
4524.628,3301.33325,1
4524.65137,3449.7002,1
4524.7124,3357.32642,1
4525.11865,3379.469,1
4525.137,3537.51831,1
4525.40137,3410.98364,1
4525.47559,3383.87866,1
4525.665,3459.048,1
4525.80664,3305.38525,1
4526.173,3401.4917,1
4526.32666,3448.98535,1
4526.48633,3449.024,1
4526.743,3459.3418,1
4526.831,3531.61914,1
4526.84473,3417.06079,1
4526.925,3124.574,1
4527.52832,3396.89355,1
4527.592,3472.48315,1
4528.35156,3489.796,1
4528.75439,3375.79565,1
4528.774,3256.19067,1
4528.84375,3492.311,1
4528.8584,3520.37451,1
4529.11963,3383.76978,1
4529.131,3428.19556,1
4529.5166,3590.34,1
4529.5166,3312.72754,1
4529.6,3517.21118,1
4529.64746,3528.06763,1
4529.7876,3429.22144,1
4529.87842,3373.90161,1
4529.895,3533.36621,1
4530.052,3382.54761,1
4530.27344,3454.76147,1
4530.278,3430.80176,1
4530.32031,3255.41455,1
4530.36328,3311.83057,1
4530.603,3462.00269,1
4530.619,3320.93628,1
4530.733,3371.81445,1
4530.84229,3462.10229,1
4531.05371,3591.24121,1
4531.33936,3429.38867,1
4531.53857,3409.76929,1
4531.56641,3514.12231,1
4531.573,3486.18555,1
4531.78027,3456.84766,1
4531.781,3350.42847,1
4531.883,3355.03784,1
