Ch1 Amplitude,Ch2 Amplitude,Cluster
4068.12,2816.98633,1
4094.87061,2987.01123,1
4108.49854,2956.36841,1
4112.24561,2899.15723,1
4129.654,2862.58,1
4134.06543,2924.07764,1
4142.2583,2903.69043,1
4153.93262,2882.924,1
4155.897,2975.851,1
4157.65674,3015.182,1
4163.66357,2923.14722,1
4168.89258,2828.70874,1
4172.20166,2853.81519,1
4177.338,2807.2168,1
4185.967,2840.27954,1
4188.407,2741.836,1
4190.663,2970.198,1
4199.42871,2999.49243,1
4199.56934,2884.08325,1
4199.643,2938.52148,1
4202.30664,2897.07837,1
4202.366,2891.5437,1
4209.19971,2950.54932,1
4209.57861,3029.831,1
4210.40234,2869.8562,1
4211.938,2996.61743,1
4212.424,2980.19629,1
4217.657,2872.751,1
4218.456,2945.18433,1
4221.43945,2964.55664,1
4221.806,2761.11255,1
4225.30225,3007.5957,1
4225.553,2983.5647,1
4229.55273,2861.09033,1
4229.98145,3038.89355,1
4231.492,2882.81738,1
4231.717,3064.93872,1
4232.179,3072.292,1
4232.581,2824.04883,1
4232.75537,2841.931,1
4234.564,2896.569,1
4236.83154,2775.87573,1
4236.908,3082.38135,1
4237.45459,2999.3396,1
4239.05371,2965.539,1
4239.16748,2929.65918,1
4239.51,2750.731,1
4240.871,3090.25415,1
4241.45361,3119.0376,1
4242.555,2912.324,1
4244.35645,2786.94385,1
4246.5874,2937.4873,1
4246.91748,2998.785,1
4247.20361,3102.52954,1
4247.739,3020.12671,1
4248.14844,2827.1333,1
4249.03174,3059.07861,1
4249.655,2966.56543,1
4249.74365,2879.48926,1
4249.878,2902.719,1
4250.584,2806.19458,1
4250.741,2964.01855,1
4251.01172,2914.05469,1
4251.653,2904.20532,1
4252.27344,3023.53125,1
4253.09326,3164.708,1
4253.162,3042.83032,1
4253.45,2952.12085,1
4253.865,2969.40967,1
4254.058,2943.80542,1
4255.18652,2925.24,1
4255.25049,2847.62769,1
4255.301,2897.17847,1
4255.721,2848.58032,1
4255.9917,2933.526,1
4255.993,2937.78369,1
4258.799,2966.05127,1
4259.43,2998.23364,1
4260.25244,2948.83057,1
4261.797,2967.36914,1
4263.29248,3022.20532,1
4264.65625,2988.99268,1
4265.071,3119.24561,1
4268.70557,2975.64722,1
4270.19971,2879.84717,1
4270.34326,2853.61914,1
4270.40674,3007.853,1
4270.55371,3033.84888,1
4270.687,2971.73657,1
4270.72656,2991.88037,1
4270.9043,2832.65649,1
4271.436,3127.116,1
4274.582,2916.47485,1
4277.667,3063.188,1
4277.96436,2787.95459,1
4278.557,2966.89575,1
4278.587,2906.82837,1
4278.67871,2979.55664,1
4279.40967,2851.27173,1
4280.31738,2880.63086,1
4280.591,2923.001,1
4280.741,2995.93433,1
4283.639,2952.93652,1
4284.297,3045.33887,1
4284.867,2956.36914,1
4286.64746,3035.25854,1
4286.8833,2845.16553,1
4287.671,3055.008,1
4289.71045,2931.41284,1
4290.303,3044.384,1
4290.31152,2976.57031,1
4290.704,2992.12329,1
4290.82861,2983.733,1
4292.404,2950.49829,1
4292.911,3029.539,1
4292.921,2845.64,1
4294.67969,2900.00049,1
4295.62549,2921.73535,1
4295.89355,2944.505,1
4296.188,2956.14941,1
4296.21,2895.9165,1
4297.72461,3055.23828,1
4298.025,2944.02539,1
4298.984,2911.05054,1
4299.353,3022.45313,1
4299.652,2914.22046,1
4299.676,2870.26147,1
4299.79248,3021.602,1
4300.55029,3011.79346,1
4301.78,2955.61743,1
4302.057,2882.4104,1
4303.179,3165.43286,1
4303.843,3103.64819,1
4303.983,2926.871,1
4304.06445,3272.7334,1
4304.698,2976.226,1
4305.33545,3001.48267,1
4306.115,2785.1355,1
4306.60449,3083.90625,1
4306.628,2890.54321,1
4306.63525,3006.41748,1
4306.773,3129.25757,1
4307.994,2976.312,1
4308.4917,2984.02979,1
4308.81,3168.56836,1
4308.82764,3068.591,1
4310.291,2997.01025,1
4311.01074,3021.06421,1
4311.541,2966.49341,1
4311.805,2992.693,1
4311.81445,3112.398,1
4312.072,3048.03076,1
4312.84961,2906.87842,1
4313.74854,2981.30542,1
4316.90674,2927.33057,1
4317.492,2962.90845,1
4317.69727,3082.44434,1
4318.26758,2913.91821,1
4318.311,3138.998,1
4318.371,3112.127,1
4318.46875,2869.906,1
4318.73926,3040.47876,1
4320.833,3121.04,1
4321.24854,3051.112,1
4321.503,3014.55664,1
4322.345,3099.50562,1
4322.50537,2964.47168,1
4322.765,2930.75464,1
4323.05273,2951.27881,1
4323.27637,3230.09863,1
4323.368,2974.97217,1
4324.2085,3016.637,1
4324.45,3053.66064,1
4324.76074,2881.64136,1
4324.94775,3121.93921,1
4325.10645,3172.215,1
4325.35742,3123.74731,1
4325.89355,3052.51733,1
4325.999,3100.521,1
4326.418,3294.78662,1
4326.555,3102.48877,1
4326.61963,2872.434,1
4327.02246,3052.86377,1
4327.046,2948.367,1
4327.31055,2872.52759,1
4328.18848,3161.77148,1
4328.78027,3004.288,1
4329.019,2890.39526,1
4329.15234,3040.67871,1
4331.40967,2922.251,1
4331.915,3166.705,1
4332.43652,2946.20483,1
4333.047,2903.64,1
4333.306,3105.80225,1
4333.584,2927.56519,1
4333.749,2994.20239,1
4334.45,3072.47,1
4334.484,2872.59424,1
4334.6084,2922.43945,1
4334.703,2910.7168,1
4335.219,3022.4375,1
4335.35254,2990.12866,1
4335.357,2907.375,1
4335.61,2932.39282,1
4335.702,2875.0896,1
4337.58,3083.49536,1
4337.651,2921.44849,1
4337.79443,3065.76147,1
4337.85938,2982.627,1
4338.007,3037.49951,1
4338.613,2966.45825,1
4339.2627,3099.99146,1
4339.35156,3041.77686,1
4339.386,2985.75732,1
4339.756,2854.4834,1
4340.48633,2950.27173,1
4342.522,3091.46362,1
4343.205,3178.98486,1
4343.418,3074.489,1
4343.558,2909.09473,1
4343.601,3109.596,1
4344.84229,2999.45459,1
4344.87256,3003.193,1
4345.499,2980.91577,1
4345.51074,3039.30225,1
4346.018,3139.291,1
4346.533,2830.35571,1
4347.26,2894.95923,1
4347.76758,2850.91431,1
4348.003,2972.99316,1
4348.269,3218.60718,1
4348.646,2969.82983,1
4348.64648,3225.30078,1
4348.939,3069.81738,1
4349.03467,2994.75415,1
4349.30957,3144.63013,1
4349.31348,2988.95947,1
4349.88574,2923.75586,1
4350.19238,3023.54053,1
4350.51465,3044.58667,1
4350.953,3125.36572,1
4351.10938,2995.60938,1
4351.11572,2899.82544,1
4351.188,3059.94629,1
4351.293,2907.15845,1
4351.354,2974.06714,1
4351.47363,3196.97461,1
4351.9126,3038.89917,1
4352.351,2918.56274,1
4352.44238,3085.40942,1
4352.78174,2917.52734,1
4353.42334,3055.281,1
4353.94336,2803.62842,1
4354.45,3161.39136,1
4354.546,3166.84741,1
4354.561,2932.02319,1
4355.02734,3190.91187,1
4355.19971,2946.25684,1
4355.45361,3014.43677,1
4355.52051,3022.378,1
4355.573,3070.429,1
4355.757,2991.20825,1
4355.78027,2981.92676,1
4355.812,3061.57935,1
4355.99072,3078.92432,1
4356.63672,2872.756,1
4357.77246,3007.1377,1
4358.969,2995.15137,1
4359.467,2882.07813,1
4359.958,2981.58936,1
4360.01953,3078.218,1
4360.66357,3008.352,1
4361.237,3175.29565,1
4361.73633,2987.30933,1
4362.572,2968.941,1
4362.69238,2965.06567,1
4362.90625,2965.91187,1
4363.215,3018.09985,1
4363.83936,3012.22583,1
4364.041,3014.759,1
4364.078,3024.26147,1
4364.08057,2946.91357,1
4364.18848,2976.13159,1
4364.47852,3128.74268,1
4364.884,3195.99268,1
4365.22949,2917.53735,1
4365.659,3100.65063,1
4365.75,3048.62622,1
4365.84766,3019.68042,1
4365.98145,2955.78369,1
4365.99854,2913.73584,1
4366.159,2980.953,1
4366.29443,2969.442,1
4366.30566,2994.72437,1
4366.323,2996.38135,1
4366.668,2989.61035,1
4367.327,2921.499,1
4368.07568,3091.812,1
4368.541,2998.99463,1
4369.786,2941.16943,1
4370.232,3150.993,1
4370.394,3035.8728,1
4370.794,3080.74365,1
4370.847,3084.90649,1
4371.145,2934.379,1
4371.226,3063.51514,1
4371.40967,3245.836,1
4371.808,2988.09985,1
4371.85254,2983.06177,1
4371.894,3055.51538,1
4371.928,3027.90015,1
4372.08252,3044.94141,1
4373.21338,2971.1897,1
4373.41,3025.86621,1
4374.09766,2993.13647,1
4374.92334,3078.18042,1
4375.17236,2996.59131,1
4375.605,2989.03149,1
4375.82275,2996.114,1
4375.896,2981.72266,1
4376.116,3007.24658,1
4376.33447,2963.91162,1
4376.54,2971.56348,1
4376.599,3043.47852,1
4377.08252,3077.595,1
4377.67725,2910.69946,1
4378.10059,3042.47461,1
4378.57275,3129.82178,1
4379.45459,3002.172,1
4379.752,3200.56055,1
4380.512,3105.42749,1
4380.625,3023.72827,1
4380.926,2929.16284,1
4381.415,3022.886,1
4381.45752,3052.986,1
4381.55762,3184.686,1
4381.752,3014.55444,1
4382.13965,3042.63428,1
4383.33154,3061.11426,1
4383.86963,3002.92773,1
4384.62842,3135.66138,1
4384.77344,3115.8645,1
4384.851,2982.67,1
4385.368,3072.445,1
4385.446,3018.362,1
4385.658,3110.81421,1
4385.76855,3096.73633,1
4386.835,3004.17285,1
4387.41455,2986.41553,1
4387.634,3137.47876,1
4387.87744,3033.31055,1
4388.23975,3076.15234,1
4388.516,3176.35938,1
4388.705,2944.72241,1
4389.11475,3122.1355,1
4389.43457,3249.026,1
4389.659,2894.15479,1
4389.68848,3205.29614,1
4389.91162,2908.765,1
4389.95654,3072.574,1
4390.491,2826.94458,1
4390.642,3084.18237,1
4390.746,2927.992,1
4390.792,2921.57471,1
4390.987,3290.637,1
4391.47266,2861.49536,1
4391.522,3032.21851,1
4391.78,3029.26782,1
4392.088,3090.13647,1
4392.229,2933.29346,1
4392.4375,3106.7478,1
4392.89063,3046.2605,1
4393.12451,2913.63232,1
4393.299,3018.48047,1
4393.46973,2873.92334,1
4394.915,2987.979,1
4395.266,3065.59448,1
4395.6123,3081.548,1
4395.617,3204.41479,1
4395.64648,3190.64331,1
4395.766,3000.11,1
4395.787,2942.50171,1
4395.96875,3041.51758,1
4396.06445,2954.62573,1
4396.08936,2956.06934,1
4396.159,3218.62451,1
4396.64063,3025.757,1
4396.856,2963.534,1
4397.004,3109.57129,1
4397.14,3004.09253,1
4397.225,2961.882,1
4397.48535,3008.26978,1
4397.86035,2996.80737,1
4397.887,2993.058,1
4398.34033,3058.63574,1
4398.7583,2998.76733,1
4399.08643,3154.72632,1
4399.574,2853.30029,1
4399.71,3084.97778,1
4399.74072,3138.32666,1
4399.896,3144.861,1
4399.98047,3129.65454,1
4400.40869,3141.5127,1
4400.552,2965.95532,1
4400.60742,3204.83447,1
4400.79248,2989.07544,1
4401.159,3026.51074,1
4401.2666,2968.60962,1
4401.3584,2992.179,1
4401.952,2994.36914,1
4401.971,2985.79834,1
4402.396,2983.46265,1
4402.698,2887.60815,1
4402.97852,2985.05518,1
4403.155,3113.63232,1
4403.476,2948.919,1
4404.52637,3101.09253,1
4404.82666,3001.42358,1
4405.349,2962.44971,1
4405.566,3156.19751,1
4405.743,3068.7063,1
4406.30566,3149.61426,1
4406.69043,3097.30469,1
4407.02539,3222.89648,1
4407.213,3182.76025,1
4408.359,3190.42065,1
4408.577,3016.846,1
4408.628,2991.16162,1
4409.02051,2958.77075,1
4409.05273,3177.098,1
4409.05957,3031.066,1
4409.168,2911.72144,1
4409.25439,2989.38062,1
4409.346,3101.78638,1
4409.55566,2927.00244,1
4409.556,3059.929,1
4410.72168,3108.906,1
4411.044,3256.93872,1
4411.62842,3188.73877,1
4411.7627,3067.44653,1
4411.84863,3173.46338,1
4412.02441,3057.55249,1
4412.292,3155.87964,1
4413.099,3012.157,1
4413.185,3238.31738,1
4413.25439,3016.38818,1
4413.371,3042.41138,1
4413.76563,3206.38818,1
4414.17432,3175.45874,1
4414.234,3142.14746,1
4414.238,3064.71362,1
4414.376,3009.741,1
4414.423,3047.593,1
4414.464,3069.96362,1
4414.62549,3324.92749,1
4414.68164,3101.26245,1
4414.75244,2910.35547,1
4414.962,3078.99561,1
4416.271,3069.13818,1
4416.3667,2996.932,1
4416.744,3055.45752,1
4416.901,3199.8645,1
4417.27441,3053.411,1
4417.67969,3180.74243,1
4418.01172,3008.40283,1
4418.282,2992.70923,1
4418.74561,3100.40552,1
4418.895,3252.83154,1
4419.362,3032.73071,1
4419.38867,3042.12964,1
4420.311,2992.24121,1
4420.36963,3132.21387,1
4420.378,3159.88452,1
4420.51025,2989.43652,1
4420.858,2954.04614,1
4421.04053,3100.14819,1
4421.21875,3058.493,1
4421.336,2902.50977,1
4421.42969,3149.55737,1
4421.48,3102.409,1
4421.941,3057.58472,1
4421.991,3070.38,1
4422.31934,3123.4668,1
4422.348,3084.85669,1
4422.371,2848.012,1
4422.41943,3059.87671,1
4422.68945,3165.39551,1
4422.725,3104.85864,1
4422.964,3068.66431,1
4423.121,3073.85327,1
4423.201,2891.512,1
4423.32764,3157.46045,1
4423.49951,3120.38379,1
4423.70068,3103.274,1
4423.802,3029.9126,1
4424.02246,3063.47534,1
4424.19238,3071.2124,1
4424.40674,3094.55713,1
4425.66553,3173.089,1
4425.78955,3188.93042,1
4426.001,3117.49878,1
4426.59229,3067.56348,1
4426.65674,3116.29858,1
4426.79932,3089.61987,1
4426.984,2990.42627,1
4427.04,2932.873,1
4427.252,2959.24365,1
4427.28125,3040.38721,1
4427.524,3165.30835,1
4427.64258,2866.30151,1
4427.68359,3011.24756,1
4427.821,3095.65649,1
4427.9834,2972.71484,1
4428.352,2956.763,1
4428.809,3181.439,1
4428.85156,3124.85,1
4429.0415,3004.54053,1
4429.579,3107.72534,1
4429.64355,2988.94971,1
4429.9624,3087.15112,1
4429.976,3011.24536,1
4429.996,2968.54028,1
4430.23633,2967.781,1
4430.28369,3079.45483,1
4430.53027,3077.87354,1
4430.57568,3151.26978,1
4430.67773,3233.12817,1
4431.10156,3023.47559,1
4431.213,2916.95679,1
4431.21826,3074.62842,1
4431.306,3009.627,1
4431.62256,2995.11646,1
4432.1875,3142.45361,1
4432.40869,3157.68384,1
4432.53125,3000.71655,1
4432.663,3193.17822,1
4432.7583,3194.20215,1
4433.18359,2887.147,1
4433.347,3234.78369,1
4433.441,2975.92725,1
4433.53027,3216.38428,1
4433.787,3070.46167,1
4433.802,2839.993,1
4433.981,3099.77856,1
4434.047,3113.491,1
4434.30762,2953.289,1
4434.357,3221.78418,1
4434.465,2969.69849,1
4434.534,3059.48169,1
4434.54248,3124.073,1
4435.216,3104.3103,1
4435.57471,3210.711,1
4436.106,3171.511,1
4436.169,3257.34814,1
4436.22559,3272.21069,1
4436.53174,3036.68384,1
4436.61035,2991.09253,1
4436.86133,3265.21777,1
4437.07861,3111.3374,1
4437.26172,3182.765,1
4437.27051,3125.745,1
4437.339,3050.212,1
4437.654,3106.43213,1
4438.18164,3068.20923,1
4438.37061,2979.82129,1
4438.53662,3038.36475,1
4438.85352,3055.3938,1
4438.91846,3282.67944,1
4439.10059,3071.06616,1
4439.268,3037.064,1
4439.29639,3051.90039,1
4439.44727,3003.1897,1
4439.55469,3116.26123,1
4439.76855,2976.18457,1
4439.94238,3086.91138,1
4440.1167,2925.252,1
4440.47656,3133.348,1
4440.72852,3048.7063,1
4441.40332,3263.979,1
4441.70264,3152.2,1
4441.951,3300.474,1
4441.98828,3022.64868,1
4442.37744,3016.47314,1
4442.691,3104.60254,1
4442.80273,3129.17651,1
4442.91943,2952.25586,1
4443.052,3140.19263,1
4443.6875,3037.73145,1
4443.91,3276.93042,1
4443.97168,3216.75513,1
4444.09961,3245.668,1
4444.653,3192.47046,1
4445.02246,3105.46753,1
4445.087,3076.74585,1
4445.161,3146.67114,1
4445.23633,2909.69849,1
4445.30664,3129.20361,1
4445.58252,2996.35571,1
4445.64063,3101.0354,1
4445.89844,3171.287,1
4446.288,3032.03662,1
4446.578,3286.78027,1
4446.611,2966.52344,1
4446.79541,3223.86987,1
4446.79834,3219.619,1
4446.93945,3072.77051,1
4447.531,3112.74878,1
4447.59,3088.392,1
4447.73633,2969.459,1
