Ch1 Amplitude,Ch2 Amplitude,Cluster
2475.79541,1766.79675,1
4018.048,2926.32324,1
4027.36255,2932.64819,1
4078.78369,2878.573,1
4084.781,2917.71362,1
4090.66455,2856.44775,1
4100.732,2934.3374,1
4114.6377,2872.3125,1
4116.01025,2909.75269,1
4119.17041,2913.46045,1
4124.012,2754.40674,1
4124.412,2877.52759,1
4126.46729,2990.94214,1
4136.27637,3006.45068,1
4136.831,2960.90576,1
4142.02051,2849.29688,1
4144.88525,2874.75024,1
4147.80957,2888.5647,1
4149.4585,3032.527,1
4153.628,2921.70264,1
4154.58643,2992.46753,1
4156.192,2863.9104,1
4156.245,2980.27832,1
4158.48438,2906.311,1
4158.552,2980.79175,1
4165.94,2904.88062,1
4166.819,2993.03223,1
4167.423,2772.40723,1
4169.591,2979.08,1
4173.627,2790.99756,1
4174.358,3020.26538,1
4176.56055,3097.078,1
4186.49365,2971.4895,1
4187.615,2959.26465,1
4188.636,2843.28955,1
4189.55225,3099.06177,1
4191.73438,2959.01587,1
4191.92236,2912.81885,1
4197.2085,3053.51831,1
4204.29834,2834.658,1
4205.63232,3050.26172,1
4207.02637,2981.27637,1
4207.662,2896.244,1
4208.885,2920.11865,1
4209.66553,2968.861,1
4209.89453,3009.8042,1
4210.286,2592.396,1
4211.464,2996.11475,1
4212.2207,2943.08716,1
4217.22363,2965.833,1
4217.892,2971.81616,1
4219.241,2890.9375,1
4219.40527,2982.33032,1
4219.87939,2767.21167,1
4221.11572,2991.86987,1
4223.474,2953.207,1
4225.11768,2875.417,1
4227.636,2985.319,1
4228.42236,3016.35938,1
4228.916,2936.75977,1
4229.59,2916.78516,1
4229.881,2910.2627,1
4230.107,2941.53931,1
4232.878,2971.38086,1
4233.235,2940.64575,1
4233.86475,2830.124,1
4238.30127,2957.952,1
4239.94775,2903.30542,1
4242.677,3008.589,1
4242.93945,3091.90283,1
4245.94434,2941.05078,1
4246.471,2762.85547,1
4246.67432,2987.678,1
4246.93457,3085.39355,1
4247.041,2880.77612,1
4247.1875,3027.503,1
4247.983,2917.33423,1
4248.45654,3012.59082,1
4249.28955,2789.35352,1
4250.277,2992.63647,1
4250.93555,3062.989,1
4251.5957,2890.043,1
4252.3623,2896.23071,1
4252.37842,3043.65283,1
4252.546,2877.2168,1
4252.698,3022.39844,1
4253.47656,2976.005,1
4253.601,2955.02173,1
4253.7417,2988.49048,1
4253.825,3015.23535,1
4254.219,2963.182,1
4255.166,2941.288,1
4255.2124,3049.499,1
4256.29541,3125.42725,1
4256.40332,3051.058,1
4258.327,2995.945,1
4258.864,3032.52124,1
4259.03467,2909.516,1
4259.42041,3027.33862,1
4259.748,3084.21069,1
4260.529,2806.196,1
4262.00928,3084.58447,1
4262.122,2806.05225,1
4262.32275,3016.557,1
4262.79248,3024.38477,1
4264.371,3027.13745,1
4264.399,3052.964,1
4264.4707,2810.99487,1
4264.70068,2829.61426,1
4264.865,2794.62524,1
4266.691,2957.57324,1
4266.911,3063.31641,1
4268.95752,3002.57666,1
4269.57031,2804.65625,1
4270.12,2973.72241,1
4270.19775,2948.44336,1
4270.249,3034.093,1
4272.705,2934.22729,1
4273.24365,2930.519,1
4273.247,3036.55273,1
4273.76465,2872.50269,1
4273.84766,2854.18726,1
4275.12842,2876.40942,1
4276.32275,3033.03174,1
4277.084,2995.03418,1
4277.573,2893.041,1
4278.275,2916.98853,1
4278.86963,3002.11719,1
4280.92529,3028.13184,1
4281.856,2907.35986,1
4282.59229,2912.4397,1
4284.56934,2969.63818,1
4284.85156,3088.934,1
4287.35254,3045.35327,1
4287.54346,2925.58276,1
4287.90039,3042.94019,1
4289.664,2951.90137,1
4290.105,2971.8418,1
4290.82,3044.48047,1
4290.94336,3111.34717,1
4291.178,3035.1394,1
4291.191,3026.875,1
4292.83057,2922.42578,1
4292.98633,3007.86548,1
4293.28174,3050.46655,1
4294.24951,3052.46655,1
4295.27051,2967.88281,1
4296.68945,3056.2395,1
4297.38037,2962.53955,1
4297.446,2825.633,1
4298.75244,3012.97632,1
4298.997,2930.14429,1
4299.50439,2991.49414,1
4300.043,2935.51147,1
4300.11133,3002.69141,1
4300.25342,3037.03247,1
4301.446,2888.55664,1
4301.517,2991.05029,1
4301.77,2982.53271,1
4302.56152,2927.77661,1
4302.63965,2777.75684,1
4303.40137,2874.262,1
4303.477,2989.59131,1
4303.87354,2913.51587,1
4304.54346,2870.29443,1
4304.72754,2939.53931,1
4304.856,3257.768,1
4305.196,2916.74219,1
4305.219,3173.73486,1
4305.59766,3180.764,1
4306.409,2913.3938,1
4307.382,3070.77979,1
4307.96143,3064.45752,1
4308.92139,2846.55664,1
4310.21729,2863.81543,1
4310.264,2933.20337,1
4310.41357,3020.952,1
4310.6333,3055.68628,1
4311.35254,2985.895,1
4312.43,2918.0376,1
4312.574,2893.57544,1
4313.087,2986.06152,1
4313.3623,2971.629,1
4313.55127,3015.19263,1
4314.051,2994.59717,1
4314.22949,2954.17285,1
4314.34766,3052.55273,1
4314.39258,3073.26587,1
4314.5835,3014.931,1
4314.671,3027.034,1
4314.89258,3093.40161,1
4314.952,3022.21582,1
4316.592,2972.66724,1
4317.65,2970.87744,1
4317.70264,3012.50244,1
4317.798,3058.659,1
4317.822,3111.952,1
4318.309,2981.81519,1
4318.43066,2929.841,1
4318.50342,3008.3938,1
4319.70947,2868.37329,1
4319.722,3052.05981,1
4320.53369,2976.93384,1
4321.283,2918.02051,1
4321.816,3070.69434,1
4322.931,2964.57715,1
4323.82031,2899.76172,1
4323.883,3072.9668,1
4324.85938,3030.14917,1
4325.274,2963.54248,1
4325.39063,3046.41626,1
4325.401,3030.772,1
4325.56445,3060.76245,1
4325.78174,2846.7583,1
4326.279,2957.62866,1
4326.382,3071.3457,1
4326.63525,2816.90747,1
4327.87451,3097.16016,1
4327.95068,3030.10327,1
4328.701,2977.7666,1
4328.748,3036.24878,1
4328.968,3117.788,1
4328.989,2978.47021,1
4329.09131,3081.51538,1
4329.25146,2851.231,1
4329.291,3128.22925,1
4329.512,2990.549,1
4329.96045,3075.73584,1
4331.396,3070.389,1
4331.523,2972.49731,1
4331.769,3011.50684,1
4331.936,3015.17871,1
4332.021,2975.10962,1
4332.251,3057.72119,1
4332.651,3031.034,1
4332.89941,3079.70679,1
4333.2915,2958.75977,1
4334.59229,3040.17358,1
4336.018,3001.82886,1
4336.03857,3098.71875,1
4336.04736,2944.166,1
4336.068,3071.03687,1
4336.17529,3055.70532,1
4337.007,3006.42554,1
4337.865,2948.73169,1
4338.19141,3155.78516,1
4338.48242,2972.43,1
4339.008,3113.82446,1
4339.544,3154.84058,1
4339.57031,3114.976,1
4339.94,2932.25244,1
4340.62842,2849.825,1
4341.32568,2813.05835,1
4341.334,2862.798,1
4341.937,3049.5647,1
4341.9834,3178.238,1
4342.44141,3054.17017,1
4342.6167,3140.8335,1
