Ch1 Amplitude,Ch2 Amplitude,Cluster
4009.75879,2860.11719,1
4113.38574,2849.08032,1
4115.041,2951.14185,1
4121.835,2804,1
4129.49268,2985.72461,1
4132.73242,2871.042,1
4136.396,2895.65283,1
4139.64941,2934.664,1
4140.601,2814.3125,1
4147.16455,2889.19727,1
4154.28027,2778.53052,1
4156.949,2972.229,1
4158.05469,2851.34058,1
4158.562,2893.82275,1
4158.645,2936.18677,1
4170.32129,2879.103,1
4171.69775,2801.5708,1
4176.45264,2953.39478,1
4180.14355,2885.31152,1
4180.542,2965.23633,1
4181.53271,2800.11963,1
4184.53,2840.63843,1
4184.61133,2920.29053,1
4185.26074,2936.404,1
4188.45264,2891.82129,1
4190.668,3063.823,1
4190.775,2919.89966,1
4191.017,2795.1377,1
4191.961,2979.78076,1
4197.227,2841.30713,1
4197.421,2876.44653,1
4198.22852,2969.87451,1
4200.31641,2938.68384,1
4200.43164,2798.56543,1
4200.89941,2914.492,1
4201.71973,2972.33765,1
4202.5376,2993.5022,1
4205.06543,2975.11621,1
4207.307,2938.27051,1
4207.63574,2927.17163,1
4207.69336,3033.52173,1
4208.016,2883.69629,1
4208.61133,2964.11475,1
4209.154,3031.79736,1
4209.72266,2886.82178,1
4210.39453,2937.43359,1
4211.49756,2864.95361,1
4211.85352,2921.02637,1
4213.928,2957.598,1
4214.33838,2750.4563,1
4214.99854,3056.74683,1
4218.10449,2824.65649,1
4218.54639,3036.5918,1
4218.673,2883.557,1
4219.57227,2900.30615,1
4219.858,2853.726,1
4220.899,2941.72046,1
4221.51953,3004.79761,1
4221.55664,2970.09058,1
4223.339,3024.46387,1
4223.495,2956.13,1
4226.905,2983.19336,1
4227.052,2886.88452,1
4227.956,3054.363,1
4228.00439,2800.86475,1
4229.65771,2943.283,1
4230.22559,2882.54761,1
4231.08545,2899.53833,1
4231.30469,3016.96533,1
4233.26074,3016.63135,1
4235.492,2867.7002,1
4236.081,2911.39087,1
4238.03564,2966.76587,1
4239.783,3106.52539,1
4240.06934,2901.72485,1
4240.34033,2952.55,1
4241.212,2887.803,1
4242.65674,2977.622,1
4242.98926,3059.23047,1
4243.085,3016.88281,1
4243.705,2976.85034,1
4245.507,3062.15942,1
4247.632,2990.611,1
4248.291,2838.47974,1
4248.52539,2930.61182,1
4249.173,2854.78931,1
4249.683,2858.59082,1
4252.756,2986.92285,1
4253.69043,2939.80884,1
4254.663,3010.63184,1
4255.10156,3031.5437,1
4256.0625,2927.33276,1
4256.837,2851.59326,1
4256.941,2964.42651,1
4257.292,2912.98633,1
4257.382,2870.06323,1
4257.62354,3100.45044,1
4258.25146,2964.30762,1
4260.062,2910.74976,1
4260.13232,3047.16724,1
4260.978,3040.07886,1
4261.404,2960.7998,1
4262.11572,2978.02466,1
4262.14063,3027.344,1
4265.156,2969.58228,1
4265.95166,2927.15356,1
4266.579,2994.29224,1
4268.702,2893.39038,1
4268.709,3013.86938,1
4268.905,2927.501,1
4269.716,2877.962,1
4270.38135,3069.17065,1
4270.952,2962.06836,1
4271.143,3126.95166,1
4271.472,3050.18555,1
4271.65869,2983.0144,1
4273.92529,3061.28613,1
4274.02344,2962.41626,1
4274.197,2957.03955,1
4274.46973,3018.18237,1
4276.41455,2952.648,1
4276.505,3021.96777,1
4276.858,2871.36646,1
4277.24072,2868.212,1
4278.11035,3021.506,1
4278.46,2932.433,1
4278.94629,3012.32056,1
4279.008,3049.27124,1
4279.12939,2907.0686,1
4279.47266,2936.65332,1
4281.50928,2971.919,1
4281.92334,2933.70068,1
4283.27441,2991.24634,1
4283.64648,3001.05444,1
4283.68652,3036.03882,1
4283.89355,3169.93262,1
4284.111,2980.187,1
4284.707,3093.738,1
4284.84766,3016.58521,1
4285.06152,2805.34375,1
4285.237,3176.795,1
4285.42773,2924.16919,1
4285.50146,2953.48315,1
4285.929,3006.107,1
4285.93359,3079.89575,1
4285.967,2939.15234,1
4287.476,2866.661,1
4287.92139,2991.78613,1
4288.588,2946.662,1
4288.64844,3009.47949,1
4289.00928,2986.374,1
4289.05762,2775.41772,1
4289.14258,3011.37354,1
4289.44434,2979.51318,1
4289.459,2940.363,1
4290.09229,2857.26758,1
4290.375,3001.15356,1
4290.826,2890.31738,1
4290.908,3019.51025,1
4291.283,2934.65479,1
4291.317,3109.84937,1
4291.775,3089.4165,1
4291.948,2955.74536,1
4292.38672,2860.99731,1
4293.806,2824.573,1
4294.02637,2994.89844,1
4294.12,3018.85571,1
4294.50928,2803.4978,1
4294.942,3111.526,1
4295.39941,3019.42236,1
4295.79541,2980.61182,1
4296.4585,2910.09277,1
4296.509,2943.47534,1
4296.884,3009.7688,1
4297.59863,3019.28052,1
4297.64063,3003.4624,1
4298.63672,2788.539,1
4299.80664,2943.47754,1
4300.39648,3001.67578,1
4300.87061,2917.05469,1
4300.917,3018.50122,1
4300.966,3073.80176,1
4301.479,2860.87549,1
4302.01953,3077.312,1
4302.945,3066.98267,1
4303.84766,2975.46045,1
4303.90234,3029.526,1
4304.16455,3027.37158,1
4304.569,2880.66626,1
4304.9126,2929.64917,1
4305.37451,2842.87183,1
