Ch1 Amplitude,Ch2 Amplitude,Cluster
3491.93872,2541.75732,1
3509.04785,2622.44971,1
3512.32935,2511.893,1
3529.71436,2674.471,1
3531.84619,2651.47217,1
3534.40967,2662.71167,1
3535.47339,2577.40234,1
3537.8645,2612.327,1
3542.343,2623.78247,1
3544.272,2603.78687,1
3544.66968,2722.55518,1
3547.99585,2494.10986,1
3550.589,2612.6687,1
3551.28052,2524.17529,1
3552.78442,2557.46484,1
3554.19873,2673.86157,1
3554.80273,2531.70435,1
3556.06226,2611.67676,1
3558.33813,2551.11377,1
3558.52368,2648.78735,1
3558.74731,2590.30981,1
3559.78613,2490.20532,1
3560.76636,2645.08643,1
3563.58716,2618.055,1
3566.92261,2644.0022,1
3567.51318,2573.836,1
3570.6167,2508.55054,1
3570.783,2568.80078,1
3570.79272,2618.87183,1
3570.83838,2682.55518,1
3573.47485,2614.231,1
3574.35913,2688.39624,1
3576.14673,2527.35034,1
3576.92261,2603.73828,1
3577.135,2633.599,1
3577.19214,2579.79688,1
3578.24585,2709.10522,1
3578.83545,2549.106,1
3579.31714,2584.15918,1
3580.587,2677.328,1
3580.90869,2571.3772,1
3582.71362,2546.459,1
3583.45337,2614.61182,1
3584.37,2565.593,1
3585.02686,2594.972,1
3585.28687,2581.882,1
3587.55078,2603.07227,1
3588.09839,2752.98657,1
3588.50562,2624.33081,1
3588.67529,2577.13574,1
3589.62671,2630.96924,1
3590.512,2635.396,1
3591.36377,2640.57544,1
3591.39185,2696.44824,1
3591.52466,2672.13257,1
3591.63477,2583.78345,1
3592.075,2652.44,1
3592.23047,2709.52271,1
3593.01855,2622.77441,1
3594.02051,2543.69482,1
3594.75269,2599.87646,1
3596.96558,2702.175,1
3598.1748,2597.971,1
3599.16553,2522.67651,1
3599.19727,2566.24121,1
3599.46655,2575.60938,1
3599.91,2546.975,1
3600.74536,2701.182,1
3600.86328,2481.57935,1
3601.97534,2699.165,1
3603.614,2594.234,1
3604.18335,2669.516,1
3604.68164,2698.21631,1
3604.77124,2710.38062,1
3604.96533,2669.1355,1
3605.0437,2670.77319,1
3605.10645,2625.70825,1
3605.3418,2668.274,1
3605.67,2618.90063,1
3605.96826,2700.1333,1
3605.97583,2666.13037,1
3606.281,2638.99,1
3606.82129,2658.93286,1
3606.986,2554.1272,1
3607.19653,2531.462,1
3607.61157,2704.0415,1
3608.23022,2628.86743,1
3608.48828,2664.61353,1
3608.72144,2719.032,1
3608.91064,2497.71729,1
3609.04614,2480.82446,1
3609.68359,2600.578,1
3610.29785,2636.01367,1
3610.64722,2583.1167,1
3610.75049,2625.53955,1
3612.49951,2568.43726,1
3613.18115,2627.18286,1
3613.23828,2568.63062,1
3613.90137,2582.35864,1
3614.20923,2543.61133,1
3614.768,2645.28,1
3614.92822,2588.858,1
3615.75854,2605.32813,1
3615.838,2752.75049,1
3615.91968,2553.40747,1
3616.23779,2643.88721,1
3616.37134,2573.80127,1
3616.60425,2580.01074,1
3617.508,2542.5647,1
3617.96,2557.37646,1
3618.12085,2674.094,1
3618.18823,2693.76831,1
3618.28418,2605.7334,1
3618.314,2767.31421,1
3618.41235,2588.38281,1
3618.676,2793.5127,1
3618.7832,2732.64746,1
3618.78613,2717.25366,1
3618.81348,2715.3252,1
3619.06787,2672.70654,1
3620.38062,2615.09546,1
3620.64185,2571.153,1
3621.03418,2524.24731,1
3621.0957,2723.68652,1
3621.50757,2760.39941,1
3621.913,2507.42969,1
3622.595,2513.782,1
3622.94556,2628.82324,1
3623.17236,2585.01782,1
3623.185,2561.86865,1
3623.28882,2498.743,1
3623.4563,2571.56,1
3623.70776,2645.88086,1
3623.78052,2631.93872,1
3624.61255,2594.43164,1
3624.70117,2680.22656,1
3624.8252,2664.36475,1
3624.97534,2715.73926,1
3625.00659,2598.96924,1
3625.40723,2620.40552,1
3625.44653,2558.808,1
3625.66675,2595.67676,1
3626.30835,2490.67188,1
3626.31128,2482.18726,1
3626.35181,2612.1875,1
3626.35547,2591.99316,1
3626.76831,2506.14038,1
3626.82129,2676.68286,1
3627.55347,2515.23682,1
3627.75049,2586.58569,1
3628.06787,2584.16016,1
3628.215,2536.746,1
3628.34375,2566.88086,1
3628.427,2727.31836,1
3628.59814,2588.29468,1
3629.011,2605.25952,1
3629.037,2548.702,1
3629.24023,2736.43726,1
3629.39868,2591.569,1
3629.59326,2607.774,1
3630.22827,2703.491,1
3630.673,2661.10547,1
3630.71655,2763.28931,1
3631.103,2751.93945,1
3631.16479,2624.7312,1
3631.20654,2553.68359,1
3631.2417,2517.59741,1
3631.6377,2584.28979,1
3632.446,2678.11084,1
3632.65234,2583.35669,1
3632.89673,2542.246,1
3633.20483,2646.67651,1
3633.25684,2744.90137,1
3633.3103,2616.72534,1
3633.53076,2489.87329,1
3633.94238,2695.62427,1
3633.97852,2573.62,1
3634.47827,2690.54248,1
3634.7,2602.41821,1
3634.77075,2545.69238,1
3635.22388,2630.99048,1
3635.75073,2637.152,1
3635.96777,2691.60034,1
3636.8125,2643.351,1
3636.95874,2626.87671,1
3637.06079,2444.359,1
3637.444,2709.11255,1
3637.6936,2626.29053,1
3637.97388,2637.21582,1
3638.19971,2579.91016,1
3638.214,2672.31641,1
3638.326,2538.94556,1
3638.64478,2684.28516,1
3638.67749,2582.734,1
3638.75757,2776.23584,1
3638.76318,2506.6958,1
3638.98877,2791.514,1
3639.26367,2667.87329,1
3639.47949,2631.28735,1
3639.49878,2611.686,1
3639.78784,2603.49023,1
3640.66943,2595.01172,1
3640.83325,2669.64,1
3641.556,2537.80371,1
