Ch1 Amplitude,Ch2 Amplitude,Cluster
3417.832,2635.35059,1
3453.5813,2585.94482,1
3460.09375,2488.896,1
3468.60449,2550.626,1
3471.221,2605.57178,1
3482.215,2686.42847,1
3489.541,2670.37744,1
3496.32837,2534.90747,1
3499.49243,2652.33276,1
3500.521,2676.85669,1
3503.7583,2599.47852,1
3504.89355,2579.14185,1
3507.03,2577.771,1
3508.00537,2592.10938,1
3509.09668,2533.49756,1
3509.861,2598.608,1
3511.18384,2597.95068,1
3511.38062,2544.50049,1
3512.15039,2554.87744,1
3514.02783,2585.199,1
3514.08862,2496.30786,1
3514.5105,2760.41016,1
3516.54565,2551.227,1
3516.66333,2448.99976,1
3516.78271,2516.15527,1
3519.64551,2535.723,1
3520.258,2605.79565,1
3521.31226,2600.28052,1
3521.67285,2658.67456,1
3524.60352,2681.05151,1
3526.657,2576.84058,1
3526.79761,2616.61572,1
3527.40015,2708.1687,1
3529.77734,2516.43677,1
3530.20923,2485.474,1
3531.837,2626.61377,1
3533.114,2519.71826,1
3534.11084,2651.85913,1
3535.10059,2534.1123,1
3536.45923,2566.05029,1
3537.12329,2639.02563,1
3537.49121,2643.35962,1
3538.74829,2595.80615,1
3540.09033,2688.185,1
3540.77173,2550.248,1
3542.964,2536.09229,1
3543.68018,2595.65332,1
3545.00146,2586.20068,1
3547.55957,2650.54736,1
3550.719,2770.97021,1
3551.64624,2659.1377,1
3551.68677,2577.39941,1
3551.80786,2722.0083,1
3553.29785,2608.54663,1
3553.37085,2594.114,1
3554.64722,2596.67334,1
3556.44946,2588.361,1
3556.6377,2695.59888,1
3557.53833,2613.52148,1
3558.89526,2612.08032,1
3558.9707,2547.84326,1
3559.64136,2712.82861,1
3559.67676,2570.91333,1
3560.49585,2494.21973,1
3561.5625,2741.90625,1
3561.80078,2598.57715,1
3562.03418,2555.88379,1
3562.06177,2617.94336,1
3562.39917,2595.2688,1
3562.85132,2556.149,1
3563.03735,2506.36572,1
3563.29321,2519.34424,1
3563.654,2536.716,1
3564.81519,2600.12866,1
3565.185,2567.33,1
3565.4624,2499.74927,1
3565.68652,2558.97388,1
3568.55249,2561.97,1
3569.982,2620.63672,1
3570.22314,2585.36157,1
3570.24121,2561.12036,1
3572.61914,2668.44946,1
3572.726,2551.27881,1
3573.20435,2592.43286,1
3573.67114,2576.78027,1
3574.04077,2623.31934,1
3574.96826,2538.50415,1
3575.64746,2653.662,1
3576.764,2638.22974,1
3576.87549,2492.40161,1
3579.20459,2579.529,1
3580.33032,2622.64063,1
3580.33716,2646.578,1
3580.786,2607.34888,1
3581.2666,2658.68848,1
3581.4375,2628.379,1
3581.52148,2518.83374,1
3581.69678,2771.17383,1
3582.298,2598.02612,1
3583.89355,2675.529,1
3584.52246,2781.72485,1
3585.13184,2735.222,1
3585.17529,2639.055,1
3586.4397,2526.498,1
3586.61865,2634.749,1
3586.76758,2483.28882,1
3587.00317,2636.96948,1
3587.41846,2474.667,1
3588.87964,2641.82373,1
3588.92334,2666.78418,1
3588.94727,2687.09888,1
3589.43652,2633.59424,1
3589.81641,2522.20728,1
3590.36963,2585.63477,1
3591.23413,2626.038,1
3591.9353,2461.15967,1
3593.89478,2656.71338,1
3594.68726,2719.111,1
3594.724,2642.75366,1
3596.09766,2655.26074,1
3596.33154,2582.42627,1
3596.954,2701.35425,1
3597.10767,2577.702,1
3597.82715,2598.86865,1
3598.2146,2696.10425,1
3598.9873,2802.595,1
3599.02686,2566.00684,1
3599.30078,2614.0498,1
3599.83984,2624.22241,1
3600.31348,2626.97485,1
3600.45679,2540.724,1
3600.67676,2476.848,1
3600.6875,2712.244,1
3600.94531,2524.9187,1
3601.32349,2662.0376,1
3601.91968,2600.49438,1
3602.32275,2652.78223,1
3602.6,2627.37842,1
3602.6582,2598.84253,1
3602.74438,2608.87061,1
3602.76831,2562.76733,1
3603.23169,2542.87769,1
3603.31323,2544.04688,1
3603.91577,2572.82324,1
3604.91113,2563.54541,1
3605.1897,2488.61157,1
3605.57178,2689.95923,1
3605.68042,2498.764,1
3606.54346,2668.63428,1
3606.89917,2484.28516,1
3607.55664,2690.12744,1
3607.63232,2536.07568,1
3608.066,2623.71143,1
3608.12134,2550.259,1
3608.2146,2622.9624,1
3608.252,2591.7627,1
3608.74072,2663.666,1
3608.83716,2757.08325,1
3609.44165,2591.91528,1
3609.77441,2554.81421,1
3610.00586,2555.80249,1
3610.138,2563.6438,1
3610.32544,2717.1792,1
3610.42432,2593.00146,1
3610.46558,2504.46729,1
3610.47461,2597.50317,1
3610.51953,2681.1377,1
3610.95435,2445.543,1
3611.05957,2534.54858,1
3611.16113,2516.552,1
3611.551,2519.96021,1
3611.981,2540.99487,1
3612.17041,2624.432,1
3612.874,2550.72852,1
3613.37036,2704.27148,1
3613.81934,2595.95166,1
3614.03125,2605.042,1
3614.08,2693.48535,1
3614.4375,2529.68066,1
3614.51123,2505.387,1
3614.78662,2547.886,1
3614.86865,2560.15063,1
3615.63135,2433.20068,1
3615.83618,2684.53613,1
3615.93,2628.89526,1
3616.27246,2513.50854,1
3617.445,2547.728,1
