Ch1 Amplitude,Ch2 Amplitude,Cluster
1222.539,1692.97107,1
1249.78687,1415.4928,1
1275.62585,1398.2915,1
1337.41272,1470.41431,1
1356.62549,1513.13708,1
1359.16016,1470.99036,1
1360.18188,1525.73083,1
1372.385,1478.57153,1
1373.32861,1624.0033,1
1380.793,1643.29382,1
1393.08008,1554.82312,1
1395.94653,1483.47571,1
1398.127,1541.69153,1
1399.1748,1622.04626,1
1403.76135,1653.00366,1
1411.61047,1524.06,1
1414.003,1604.85449,1
1414.042,1477.76685,1
1414.22009,1732.91846,1
1414.90308,1477.42517,1
1415.61975,1460.27734,1
1416.71167,1453.22827,1
1419.31616,1650.60059,1
1421.18494,1586.32642,1
1424.39929,1517.05469,1
1425.19031,1518.08044,1
1426.186,1538.48,1
1430.90588,1565.19189,1
1431.5083,1507.17712,1
1431.66968,1641.87524,1
1431.69714,1573.41406,1
1431.82568,1541.38037,1
1433.32,1653.94031,1
1433.98694,1707.91931,1
1434.48413,1591.56238,1
1434.76,1551.38989,1
1434.78333,1768.97168,1
1435.50525,1563.88123,1
1439.198,1519.611,1
1439.51746,1694.46924,1
1439.81763,1504.83411,1
1440.81384,1537.44434,1
1442.70581,1518.93237,1
1443.209,1454.9585,1
1443.585,1516.8811,1
1443.84082,1614.355,1
1444.81726,1776.66565,1
1445.414,1650.35437,1
1446.124,1547.01208,1
1446.72717,1554.85425,1
1447.3468,1704.7085,1
1447.56055,1601.98877,1
1447.75427,1608.83252,1
1448.3114,1633.12573,1
1450.04944,1700.58826,1
1450.13538,1580.45056,1
1451.182,1661.09924,1
1451.32275,1540.14514,1
1451.55212,1513.62866,1
1453.623,1495.71069,1
1454.11133,1729.7085,1
1454.16577,1612.5647,1
1454.81189,1525.6427,1
1455.26416,1619.46008,1
1455.30359,1726.87866,1
1455.35571,1610.95459,1
1455.407,1608.92151,1
1455.52966,1671.25952,1
1455.57349,1591.76526,1
1455.88184,1571.39172,1
1457.0083,1617.00769,1
1457.01331,1617.97754,1
1457.27429,1558.71338,1
1458.26428,1559.90137,1
1458.71777,1619.991,1
1458.91553,1527.377,1
1459.36194,1622.60791,1
1459.67529,1550.687,1
1460.142,1496.09277,1
1460.52588,1683.43933,1
1462.41016,1614.82642,1
1463.14856,1608.4906,1
1463.36536,1582.944,1
1463.49866,1638.46167,1
1463.6239,1540.5022,1
1463.65576,1575.70947,1
1464.27856,1507.01831,1
1464.51465,1652.88586,1
1464.82617,1578.43188,1
1464.88928,1722.597,1
1464.93958,1653.30127,1
1465.05176,1491.80835,1
1465.10828,1687.54858,1
1465.47742,1551.84241,1
1465.66931,1578.50439,1
1465.79724,1523.59033,1
1466.00073,1559.995,1
1466.111,1517.26648,1
1466.44568,1554.48621,1
1467.27173,1579.58936,1
1467.57434,1595.88159,1
1468.07581,1590.14392,1
1468.19434,1606.58875,1
1468.25659,1525.72913,1
1468.38281,1691.73267,1
1468.62964,1616.02808,1
1468.84058,1581.40454,1
1469.11963,1621.43945,1
1469.14246,1602.23132,1
1469.79834,1595.55823,1
1470.30457,1489.16248,1
1470.38318,1724.81946,1
1470.441,1745.42578,1
1470.52051,1733.44861,1
1470.83044,1593.01733,1
1471.82349,1812.85852,1
1471.85571,1597.505,1
1472.01343,1589.62512,1
1472.545,1563.245,1
1472.62964,1641.62512,1
1472.71472,1696.37,1
1472.95093,1590.09827,1
1472.9574,1683.88342,1
1473.21667,1505.42273,1
1473.88611,1649.24316,1
1474.17444,1588.77661,1
1474.21973,1632.49634,1
1474.38171,1646.44653,1
1474.472,1585.621,1
1474.58423,1638.40771,1
1475.93469,1620.07813,1
1476.29675,1601.58008,1
1476.773,1718.66919,1
1476.85339,1574.5769,1
1477.1355,1540.42188,1
1477.1543,1679.5033,1
1477.50439,1663.58167,1
1477.632,1712.69043,1
1477.87891,1578.33813,1
1478.46179,1628.494,1
1478.64148,1615.84009,1
1478.9375,1747.42029,1
1479.11829,1620.87756,1
1479.22913,1744.92163,1
1479.31067,1686.78906,1
1479.52173,1618.35242,1
1479.869,1547.84729,1
1479.99719,1565.13293,1
1480.47681,1712.82373,1
1480.49731,1643.05481,1
1480.64734,1691.96252,1
1480.67847,1542.33362,1
1481.01807,1623.60437,1
1481.03369,1599.2395,1
1481.30225,1759.23621,1
1481.3927,1682.73462,1
1481.48328,1760.24451,1
1481.54663,1437.66516,1
1481.5575,1714.83411,1
1481.94592,1655.99792,1
1482.52307,1521.12976,1
1482.64221,1640.9552,1
1482.72107,1706.33838,1
1482.97937,1679.05042,1
1483.25977,1530.59912,1
1483.59656,1523.165,1
1483.65759,1514.4353,1
1484.54333,1584.641,1
1484.88318,1607.19666,1
1484.96143,1577.41528,1
1485.0686,1550.303,1
1485.08228,1710.64636,1
1485.35181,1622.864,1
1485.86621,1637.15747,1
1485.90393,1592.48364,1
1486.05615,1551.2771,1
1486.09265,1717.38818,1
1486.38416,1558.93091,1
1486.38953,1711.58582,1
1486.67126,1689.77344,1
1486.8092,1616.57678,1
1487.09473,1707.366,1
1487.12366,1587.46082,1
1487.29565,1548.16113,1
