Ch1 Amplitude,Ch2 Amplitude,Cluster
1275.81836,1615.62085,1
1316.22351,1673.62622,1
1327.38391,1498.02173,1
1356.35535,1549.09558,1
1368.88,1742.63953,1
1374.12744,1689.18738,1
1377.84167,1542.29309,1
1377.87769,1627.83191,1
1378.336,1476.86707,1
1386.80322,1535.88831,1
1393.98169,1678.217,1
1396.01331,1424.90149,1
1399.62939,1520.36975,1
1403.84521,1503.56873,1
1407.84778,1662.89429,1
1407.92737,1543.456,1
1408.86462,1553.74683,1
1409.85583,1461.30359,1
1415.66528,1579.15332,1
1416.03491,1529.25085,1
1418.78125,1525.27051,1
1419.92224,1579.46362,1
1420.1969,1813.128,1
1421.88818,1460.48218,1
1422.253,1583.592,1
1422.30957,1642.12341,1
1426.372,1494.73682,1
1426.3927,1620.02124,1
1428.3147,1599.23755,1
1429.98145,1549.25891,1
1430.06482,1530.20154,1
1431.29126,1698.2052,1
1431.76965,1545.12415,1
1434.3833,1530.89478,1
1434.52026,1698.19214,1
1435.16052,1526.76123,1
1435.51038,1538.771,1
1436.2334,1568.76758,1
1436.40833,1753.73035,1
1438.04224,1574.06372,1
1438.22607,1586.85645,1
1438.675,1579.55444,1
1441.76062,1716.01074,1
1441.92786,1561.77234,1
1442.47791,1564.71057,1
1444.0979,1671.79028,1
1444.15369,1589.29333,1
1445.50439,1536.56836,1
1447.41492,1617.28711,1
1449.01221,1746.257,1
1449.50525,4674.38428,4
1450.15881,1517.41211,1
1450.24939,1610.57056,1
1450.83228,1583.15149,1
1451.96716,1481.98926,1
1452.543,1772.393,1
1452.84973,1672.64392,1
1453.45325,1568.65442,1
1453.83557,1695.25928,1
1457.70959,1569.47388,1
1457.9425,1579.84656,1
1458.2113,1569.79883,1
1458.96252,1662.17053,1
1459.235,1664.513,1
1459.539,1652.99121,1
1460.05164,1688.99731,1
1460.27844,1676.199,1
1461.12793,1611.79077,1
1461.37415,1648.6969,1
1462.58862,1596.207,1
1463.2074,1834.51172,1
1463.84912,1762.88831,1
1465.01355,1664,1
1465.5769,1630.78577,1
1465.687,1565.72949,1
1465.99207,1790.92871,1
1466.68213,1665.38452,1
1468.07739,1681.2229,1
1468.47571,1639.73767,1
1468.8335,1600.35156,1
1468.97546,1563.85254,1
1470.21606,1546.45447,1
1470.57568,1600.49622,1
1470.61841,1695.02209,1
1470.6748,1701.50342,1
1471.03833,1611.68921,1
1471.586,1744.59937,1
1471.8717,1740.59241,1
1471.97791,1726.96631,1
1472.00586,1665.87671,1
1472.57837,1704.80188,1
1472.86768,1602.93323,1
1472.90051,1529.41382,1
1473.13062,1573.22534,1
1473.19788,1855.41919,1
1473.64832,1585.62048,1
1473.7937,1613.82434,1
1474.19922,1657.395,1
1474.56946,1672.58264,1
1474.90991,1643.29578,1
1474.98975,1650.772,1
1475.79211,1681.23047,1
1475.83752,1806.52942,1
1476.28345,1611.28162,1
1476.50525,1701.18079,1
1477.14392,1653.68286,1
1477.74219,1709.69092,1
1477.86646,1667.86389,1
1478.37012,1595.98486,1
1478.696,1549.92017,1
1479.05029,1660.65063,1
1479.19543,1658.033,1
1479.47131,1669.48254,1
1479.58252,1882.28455,1
1479.89954,1664.87317,1
1480.36157,1719.08643,1
1480.71814,1642.70557,1
1481.69373,1688.6748,1
1481.78772,1706.73291,1
1481.80957,1648.74109,1
1481.83252,1733.84607,1
1481.84058,1603.70276,1
1481.89734,1605.89075,1
1482.04712,1714.14722,1
1482.54333,1558.6593,1
1482.95959,1697.20728,1
1483.10461,1723.10168,1
1483.14539,1662.70984,1
1483.92334,1458.073,1
1484.47131,1572.14978,1
1485.4613,1642.63464,1
1485.4978,1507.66858,1
1485.68274,1703.31348,1
1485.73816,1635.47656,1
1486.038,1473.027,1
1486.08228,1709.84863,1
1486.08472,1732.35742,1
1486.53113,1600.86414,1
1487.15576,1629.29089,1
1488.50769,1584.96448,1
1488.55383,1663.66028,1
1488.72461,1600.09973,1
1488.88757,1747.249,1
1488.951,1667.14954,1
1489.04126,1667.07324,1
1489.16663,1639.95386,1
1489.33521,1654.371,1
1489.99182,1595.114,1
1490.26575,1544.21472,1
1490.4292,1713.17554,1
1490.65393,1638.2616,1
1491.14575,1651.05042,1
1491.18628,1597.151,1
1491.31738,1520.76086,1
1491.492,1639.49524,1
1491.76245,1701.085,1
1492.06323,1477.42651,1
1492.14319,1518.5498,1
1492.76123,1533.45215,1
1492.92932,1624.90332,1
1493.361,1625.08777,1
1493.56055,1696.97632,1
1493.65088,1629.28479,1
1493.66052,1688.01038,1
1494.18823,1585.54114,1
1494.32349,1734.27747,1
1494.6665,1740.6073,1
1494.84644,1650.97156,1
1495.17456,1732.61023,1
1495.49573,1624.582,1
1495.91309,1669.976,1
1496.287,1673.41174,1
1496.72791,1608.9364,1
1496.81628,1760.45825,1
1497.05676,1675.24426,1
1497.15771,1730.8877,1
1497.25427,1652.92822,1
1497.282,1701.07031,1
1497.3125,1725.32324,1
1497.45422,1603.71082,1
1497.51208,1608.14368,1
1497.61353,1781.3186,1
1497.64819,1638.93445,1
1497.767,1680.68042,1
1497.82,1753.78284,1
1497.83472,1716.84,1
1497.84412,1825.95215,1
1498.052,1696.07861,1
1498.27551,1765.83142,1
1498.85,1763.33972,1
1499.14917,1657.55542,1
1499.30676,1697.29968,1
1499.88977,1684.94141,1
1499.89819,1614.77222,1
1500.19641,1653.835,1
1500.88257,1656.81555,1
1501.33423,1504.8772,1
1501.34045,1747.00537,1
