Ch1 Amplitude,Ch2 Amplitude,Cluster
1359.53076,1726.91626,1
1362.07031,1776.80566,1
1369.1095,1786.65222,1
1372.77039,1733.4751,1
1379.80164,1540.07446,1
1383.13525,1632.88281,1
1385.34167,1512.04028,1
1387.09534,1575.72131,1
1390.55188,1704.48438,1
1398.39,1543.78455,1
1400.34155,1736.47351,1
1402.24951,1640.80627,1
1408.60876,1526.93176,1
1414.2428,1811.42651,1
1420.068,1526.90979,1
1422.17468,1654.77454,1
1428.08777,1465.21448,1
1428.99524,1635.81641,1
1429.04578,1677.00769,1
1429.8302,1678.32422,1
1430.4502,1558.42786,1
1431.30957,1678.302,1
1432.34656,1608.10889,1
1437.16516,1745.20068,1
1439.33228,1445.955,1
1439.923,1566.05,1
1447.12683,1598.49048,1
1448.45,1743.72815,1
1448.70691,1555.222,1
1448.83325,1553.26245,1
1448.875,1494.24548,1
1449.37512,1609.113,1
1450.51978,1649.51233,1
1451.84607,1568.59131,1
1452.10913,1581.96924,1
1453.15479,1569.61987,1
1454.49036,1636.78992,1
1456.9386,1597.87732,1
1457.01343,1598.56213,1
1457.13843,1495.277,1
1457.33618,1522.95435,1
1459.01038,1624.91577,1
1459.10742,1586.615,1
1459.15894,1647.123,1
1462.40771,1605.10425,1
1462.91956,1600.4176,1
1463.849,1545.99756,1
1464.02014,1548.86951,1
1464.48181,1539.56,1
1465.13623,1758.38989,1
1465.93445,1612.19348,1
1467.92163,1565.36646,1
1468.61035,1628.1814,1
1469.00024,1578.54749,1
1469.10132,1627.00781,1
1469.7522,1608.35,1
1471.13562,1582.146,1
1471.31519,1674.09839,1
1472.3512,1561.38818,1
1472.40332,1622.425,1
1474.07971,1549.776,1
1474.26563,1663.41467,1
1474.41638,1658.87524,1
1475.0647,1584.13037,1
1475.65576,1618.57507,1
1476.19922,1550.004,1
1477.11487,1716.91235,1
1477.288,1747.2594,1
1477.42932,1627.95813,1
1478.20532,1518.35571,1
1479.67566,3229.252,4
1480.6167,1872.42651,1
1481.39319,1644.69482,1
1482.265,1643.31909,1
1482.99768,1724.158,1
1484.12329,1758.13391,1
1484.41321,1556.56787,1
1485.19751,1526.17993,1
1485.25989,1733.35681,1
1485.87024,1676.92017,1
1486.24683,1657.18982,1
1486.32007,1540.81079,1
1486.47375,1643.56,1
1487.13782,1684.50916,1
1487.31018,1623.08362,1
1487.825,1713.663,1
1488.18848,1604.38245,1
1488.72827,1593.0155,1
1489.02246,1511.077,1
1489.37292,1859.012,1
1489.96436,1753.98474,1
1490.5564,1481.92224,1
1491.36511,1703.39453,1
1491.445,1599.60522,1
1491.6488,1617.11768,1
1491.77917,1661.31531,1
1492.95825,1625.32922,1
1493.22253,1618.09644,1
1493.33032,1595.986,1
1493.50818,1626.67786,1
1493.76868,1632.48767,1
1494.40625,1637.88489,1
1494.43591,1641.58533,1
1494.50061,1594.61743,1
1494.57422,1746.46387,1
1494.77271,1635.61633,1
1494.79578,1688.75427,1
1495.083,1744.18176,1
1495.78833,1635.50745,1
1495.86377,1614.39575,1
1496.85876,1610.84949,1
1497.29114,1673.74548,1
1497.44763,1777.381,1
1497.49573,1692.37671,1
1497.79309,1718.42786,1
1498.74512,1647.18188,1
1498.962,1754.70825,1
1499.26331,1689.53162,1
1499.77673,1707.18982,1
1500.27124,1723.432,1
1500.42651,1636.87683,1
1500.54333,1568.33118,1
1500.92578,1712.403,1
1501.38843,1607.24451,1
1501.39954,1634.05579,1
1502.22449,1696.09167,1
1502.30347,1639.72107,1
1502.31909,1733.86511,1
1502.43738,1739.67712,1
1502.46313,1666.729,1
1502.84058,1635.60254,1
1502.869,1623.61438,1
1502.91467,1645.60034,1
1503.96045,1691.72253,1
1504.05127,1596.06152,1
1504.31091,1712.84644,1
1504.31348,1689.22571,1
1504.60193,1726.65857,1
1504.87329,1702.24988,1
1504.90259,1703.34351,1
1505.53308,1724.1825,1
1506.1792,1696.09985,1
1506.61353,1724.28516,1
1506.76367,1722.65674,1
1506.853,1659.04126,1
1507.01648,1595.96191,1
1507.13208,1666.13574,1
1507.1803,1655.97253,1
1507.234,1708.20959,1
1507.48254,1667.06921,1
1507.57434,1670.98352,1
1507.765,1659.87952,1
1507.93335,1666.54749,1
1507.97021,1711.20154,1
1508.20508,1655.89844,1
1508.29663,1707.4071,1
1508.85181,1647.81958,1
1509.52734,1614.5614,1
1510.57166,1758.397,1
1510.68,1624.16565,1
1511.42993,1664.42322,1
1512.87244,1718.7417,1
1513.08093,1796.96814,1
1513.31824,1678.958,1
1513.52441,1652.34814,1
1513.694,1742.03845,1
1514.78772,1773.42358,1
1514.85059,1585.69543,1
1514.95837,1682.22449,1
1515.15857,1697.1001,1
1515.89685,1563.88464,1
1516.232,1696.32764,1
1516.57361,1639.01746,1
1516.83984,1757.06409,1
1516.99658,1773.50586,1
1517.01257,1850.08447,1
1517.01892,1600.56506,1
1517.13647,1719.495,1
1517.1991,1657.53491,1
1517.50439,1583.98547,1
1517.81152,1706.63989,1
1518.46216,1797.24976,1
1518.57263,1611.63733,1
1518.91968,1559.98889,1
1518.98547,1742.0509,1
1519.03162,1709.132,1
1519.07227,1681.84558,1
1519.12952,1656.97607,1
1519.20215,1745.96021,1
1519.42517,1566.53882,1
1519.47583,1697.27966,1
1519.97156,1682.67053,1
1520.20789,1896.7002,1
1520.67041,1598.25134,1
1520.89111,1731.56311,1
1520.9519,1632.91943,1
1521.13684,1642.03381,1
1521.3186,1712.91577,1
1521.773,1707.2428,1
1521.7793,1775.72046,1
1521.94421,1703.72754,1
1522.41663,1767.46692,1
1522.51416,1684.53333,1
1522.91455,1580.35754,1
1523.60107,1652.4751,1
1523.65857,1712.13342,1
1523.71582,1742.206,1
1523.81287,1648.69189,1
1523.81665,1624.19678,1
1523.91675,1656.60449,1
1524.24133,1719.84546,1
1524.61316,1665.05933,1
1524.6427,1726.69946,1
1524.6759,1724.74133,1
1525.16382,1799.2489,1
1525.449,1722.62463,1
1525.73352,1767.53394,1
1525.77161,1622.5116,1
1525.84546,1644.0697,1
1525.9187,1782.51355,1
1526.31177,1754.46484,1
1526.534,1637.888,1
