Ch1 Amplitude,Ch2 Amplitude,Cluster
1274.60425,1346.57227,1
1355.43457,2336.50513,1
1365.37744,1469.765,1
1382.87,3654.542,4
1390.0033,1517.98987,1
1392.50342,1790.2384,1
1393.64685,1550.11658,1
1401.59424,4142.896,4
1402.99927,1544.1969,1
1414.4292,1607.05273,1
1414.51465,1592.78577,1
1425.58789,1609.33643,1
1428.35266,1611.56677,1
1429.08142,1561.38513,1
1451.594,1649.106,1
1459.38464,1655.26978,1
1462.564,1545.84973,1
1462.62952,1709.48254,1
1463.68127,1569.256,1
1463.89209,1701.20288,1
1464.76111,1560.898,1
1465.42981,1610.3374,1
1467.399,1618.82593,1
1469.80945,1621.55493,1
1478.61938,1759.49646,1
1480.27393,1519.25525,1
1481.57715,1651.026,1
1484.66479,1696.33008,1
1486.23523,1488.94019,1
1486.84766,1630.13525,1
1486.95593,1616.48254,1
1491.29834,1717.16785,1
1491.49023,1675.30981,1
1493.8031,1730.57666,1
1494.21631,1665.69946,1
1494.25122,1552.067,1
1496.72632,1672.32422,1
1496.874,1671.799,1
1497.12231,1716.46558,1
1497.38831,1615.2489,1
1499.54431,1638.45007,1
1499.64563,1723.8302,1
1501.31067,1667.26672,1
1502.28125,1646.056,1
1503.12659,1618.895,1
1504.10632,1646.35754,1
1504.65869,1720.07813,1
1505.52051,1621.85815,1
1506.55969,4450.68457,4
1507.70129,1660.53943,1
1508.19922,1638.11548,1
1508.52454,1578.049,1
1509.69727,1667.388,1
1510.126,1720.13452,1
1510.2063,1849.39478,1
1511.0177,1745.25793,1
1512.16321,1610.36914,1
1512.47461,1714.66516,1
1512.67114,1762.35986,1
1513.07166,1758.51,1
1513.59521,1709.36328,1
1514.36646,1614.46,1
1514.411,1710.22559,1
1515.28345,1613.71252,1
1516.06653,1687.14417,1
1516.07788,1637.90247,1
1516.25842,1537.90515,1
1516.959,1669.29614,1
1519.00562,1716.37659,1
1519.07861,1745.68384,1
1519.97607,1662.30371,1
1520.19226,1636.653,1
1520.23669,1712.627,1
1520.3136,1673.58594,1
1520.51624,1716.78247,1
1520.5874,1626.87329,1
1521.20642,1613.17285,1
1521.46362,1698.10791,1
1521.8446,1759.14075,1
1522.04382,1653.04968,1
1522.85339,1619.24585,1
1523.43286,1533.53674,1
1523.78235,1795.67163,1
1524.65869,1739.18469,1
1525.01086,3302.419,1
1525.26318,1735.22839,1
1525.40625,1704.94983,1
1526.24658,1734.25989,1
1526.55835,1693.72314,1
1527.13416,1711.21375,1
1527.17358,1731.50745,1
1527.68713,1644.646,1
1528.35938,1611.97461,1
1528.50134,1501.519,1
1528.94324,1780.838,1
1529,1695.18152,1
1529.03381,1686.5249,1
1529.47815,1757.96008,1
1529.60107,1720.65454,1
1529.62122,1561.252,1
1529.64661,1672.38062,1
1529.8595,1645.78589,1
1530.23755,1706.82312,1
1530.47351,1705.06982,1
1530.99878,1748.46118,1
1531.29749,1639.8197,1
1531.381,1654.78052,1
1531.5509,1645.18079,1
1531.92834,1540.00977,1
1532.66589,1671.83484,1
1533.14612,1633.21045,1
1533.286,1589.61377,1
1533.50757,1613.686,1
1533.5188,1701.70813,1
1534.55188,1590.57117,1
1534.71033,1714.16455,1
1535.11194,1671.99976,1
1535.12622,1523.93262,1
1536.07825,1504.4541,1
1536.07874,1763.65674,1
1536.33154,1731.05981,1
1537.3479,1785.50793,1
1538.03381,1741.8335,1
1538.14551,1777.92578,1
1538.41748,1636.71765,1
1538.79968,1702.46912,1
1539.07458,1702.73169,1
1539.369,1650.062,1
1539.798,1736.22644,1
1539.80518,1717.08911,1
1539.81372,1676.84448,1
1539.82678,1698.63025,1
1540.02954,1671.5835,1
1540.54907,1630.8678,1
1540.62866,1687.56067,1
1540.81873,1721.79016,1
1541.12329,1650.31787,1
1541.17749,1764.05725,1
1541.2218,1743.18762,1
1541.27063,1699.14685,1
1541.59729,1694.99951,1
1542.295,1799.42261,1
1542.43567,1557.94836,1
1542.98547,1496.94763,1
1543.09265,1719.86829,1
1543.71741,1683.71826,1
1543.76379,1714.52209,1
