Ch1 Amplitude,Ch2 Amplitude,Cluster
1321.90161,1667.312,1
1332.678,1594.54211,1
1375.77148,1714.51477,1
1376.33362,1667.355,1
1382.60156,1678.04932,1
1418.20728,1631.82959,1
1419.68164,2384.7793,1
1424.4668,1638.91858,1
1431.70667,1471.24072,1
1452.46729,1769.49536,1
1460.175,1562.95313,1
1465.15686,1648.19043,1
1471.01233,1691.3844,1
1475.76111,1793.697,1
1476.39856,1659.8667,1
1484.70569,1679.241,1
1485.06165,4627.56,4
1487.14331,1759.9082,1
1491.62073,1627.54919,1
1492.40259,1679.90259,1
1494.25659,1710.91931,1
1495.82153,1635.56213,1
1495.87524,1675.75488,1
1496.90308,1669.02124,1
1498.57434,1734.44312,1
1504.21118,1642.08289,1
1504.69946,1758.30969,1
1506.00049,1662.47241,1
1506.6012,1627.96,1
1508.88953,1710.32861,1
1510.07361,1633.60645,1
1510.50476,1758.07019,1
1510.76819,1707.856,1
1512.05688,1710.01477,1
1512.69348,1733.15747,1
1512.8208,1749.388,1
1513.01563,1721.51782,1
1513.30017,1698.05176,1
1513.41663,1702.261,1
1513.56042,1644.13342,1
1513.6355,1834.37048,1
1514.70715,1810.29456,1
1514.86194,1751.91724,1
1516.82056,1715.57947,1
1518.88257,1579.19885,1
1518.92065,1640.35974,1
1519.30676,1705.64233,1
1519.999,1770.74255,1
1520.99988,1801.22241,1
1521.20911,1727.425,1
1521.39856,1720.66309,1
1521.77808,1620.88025,1
1523.08179,1762.42053,1
1523.15137,1663.59485,1
1523.22534,3938.68384,4
1523.78027,1677.94812,1
1524.12183,1657.80286,1
1524.14734,1680.694,1
1524.14819,1706.28369,1
1524.894,1678.80859,1
1524.92383,1647.61707,1
1524.98645,1684.06055,1
1525.7937,1647.79321,1
1526.39636,1609.32886,1
1527.085,1834.70972,1
1527.36707,1685.73889,1
1527.37708,1773.05,1
1527.65662,1708.78369,1
1527.91736,1781.39709,1
1528.00635,1762.838,1
1528.43042,1657.84875,1
1529.06335,1702.49353,1
1529.30994,1691.25854,1
1529.64783,1643.07861,1
1530.055,1641.61047,1
1530.063,1738.06274,1
1530.11316,1738.32434,1
1530.95581,1674.54456,1
1530.99915,1687.10327,1
1531.35315,1671.35,1
1531.50391,1696.49744,1
1533.16833,1604.42029,1
1533.21326,1576.53772,1
1533.54028,1752.55359,1
1534.07178,1681.95374,1
1534.37524,1646.03259,1
1534.47778,1595.9281,1
1534.48218,1642.853,1
1534.7948,1657.25867,1
1534.84314,1730.10388,1
1535.13074,1771.6925,1
1535.29321,1617.75854,1
1535.40137,1692.1759,1
1535.52954,1665.49451,1
1535.57092,1748.38367,1
1535.96008,1616.807,1
1536.82581,1715.79456,1
1537.30054,1680.11035,1
1537.51331,1774.15051,1
1537.813,1752.268,1
1538.7915,1732.03027,1
1539.104,1735.48389,1
1539.19556,1760.25671,1
1539.22253,1748.46887,1
1539.262,1815.2677,1
1539.35742,1644.942,1
1539.97986,1688.99329,1
1540.02319,1783.85449,1
1540.09155,1783.76392,1
1540.16785,1826.557,1
1540.543,1606.36255,1
