Ch1 Amplitude,Ch2 Amplitude,Cluster
1328.69458,1487.534,1
1373.622,1582.00574,1
1408.52612,1645.67285,1
1409.73828,1585.81458,1
1413.64563,1602.76709,1
1414.78577,1455.41833,1
1415.843,1574.67432,1
1416.02966,1476.75708,1
1416.57813,1503.33008,1
1417.03284,1630.91345,1
1423.7876,1536.60474,1
1426.378,1551.37427,1
1430.54077,1497.43335,1
1433.47058,1607.78992,1
1441.39832,1525.28271,1
1443.49854,1545.73779,1
1451.29639,1484.44153,1
1454.6217,1563.98975,1
1460.27869,1459.77637,1
1460.65015,1534.80615,1
1461.10864,1530.36938,1
1461.82886,1517.49634,1
1463.05212,1560.00317,1
1464.95325,1554.21252,1
1466.41943,1647.95959,1
1467.86743,1478.54321,1
1468.58423,1584.63928,1
1468.68579,1591.09229,1
1470.26733,1570.852,1
1470.8158,1609.40076,1
1471.46826,1517.27185,1
1471.79187,1522.22668,1
1472.29749,1611.44556,1
1472.89478,1529.48694,1
1474.13953,1633.09521,1
1476.98425,1655.99451,1
1478.0437,1557.35413,1
1478.055,1596.64709,1
1478.24475,1538.89941,1
1479.199,1497.18408,1
1481.00085,1611.87292,1
1481.23389,1531.979,1
1481.37109,1617.14722,1
1482.46875,1674.58691,1
1482.69592,1719.979,1
1483.079,1542.92554,1
1483.21851,1696.47717,1
1484.87463,1608.728,1
1486.78674,1541.74268,1
1487.47583,1580.77478,1
1488.54626,1600.45776,1
1489.17542,1524.57874,1
1489.48645,1495.755,1
1489.74622,1635.308,1
1489.8905,1550.83337,1
1492.51086,1660.58777,1
1492.86621,1637.85388,1
1493.13147,1596.55444,1
1493.9054,1835.73645,1
1494.24438,1625.45,1
1496.75366,1546.25818,1
1497.1676,1671.45276,1
1497.8219,1664.13037,1
1498.03259,1539.61218,1
1498.85046,1615.8623,1
1498.90112,1551.26343,1
1498.95313,1587.73279,1
1499.36353,1531.51855,1
1499.43628,1612.04346,1
1499.54993,1532.22168,1
1499.90723,1620.45374,1
1500.52246,1595.92358,1
1500.629,1716.10779,1
1501.71851,1600.83521,1
1503.4989,1582.62878,1
1503.76331,1583.15625,1
1505.19678,1642.51917,1
1505.32031,1631.01672,1
1505.929,1599.84375,1
1505.93,1611.01367,1
1506.94861,1675.172,1
1507.17883,1582.98413,1
1508.27783,1719.23071,1
1508.32141,1705.75281,1
1508.722,1585.03479,1
1510.17188,1551.03992,1
1510.57043,1733.90686,1
1512.33081,1684.67017,1
1512.58545,1534.41528,1
1515.49353,1638.01733,1
1516.17664,1532.00525,1
1516.63806,1589.50171,1
1516.91528,1783.932,1
1517.17053,1652.72681,1
1517.54321,1613.27539,1
1517.55322,1554.65234,1
1517.83057,1699.258,1
1518.29553,1702.55,1
1519.14941,1676.06128,1
1519.27051,1664.12036,1
1519.58923,1625.13159,1
1520.364,1621.05261,1
1521.66785,1768.405,1
1521.95569,1750.10339,1
1522.33325,1802.70911,1
1522.47925,1595.36572,1
