Ch1 Amplitude,Ch2 Amplitude,Cluster
-70.00084,868.6244,1
-66.15943,802.2299,1
-65.7670746,870.7603,1
-61.52594,874.828735,1
-59.08726,811.1673,1
-58.710537,890.072266,1
-58.2329369,872.8874,1
-58.1297073,831.915955,1
-55.4767723,792.0511,1
-53.9536,871.4288,1
-53.5767326,833.0043,1
-53.12447,762.365051,1
-52.3710938,840.785461,1
-52.0825348,875.9154,1
-51.9220428,865.8944,1
-51.8486137,832.1273,1
-51.01143,810.039368,1
-50.9212532,719.324,1
-50.52284,841.5747,1
-50.32881,804.6067,1
-50.1300735,775.786133,1
-49.967083,815.4427,1
-49.16604,872.0452,1
-49.1418076,805.5175,1
-49.0745926,842.5812,1
-49.0484734,836.5374,1
-48.70782,828.9044,1
-48.3705673,784.1058,1
-48.04548,845.692932,1
-47.90918,762.7551,1
-47.74024,861.1187,1
-47.36997,829.1412,1
-47.2471046,813.640259,1
-47.1527634,810.6764,1
-47.1030922,794.8154,1
-46.9535561,805.562866,1
-46.94549,776.769043,1
-46.8975754,775.101746,1
-46.840683,908.710754,1
-46.8338432,779.7867,1
-46.2772827,742.518,1
-46.1023254,831.9267,1
-45.7589951,821.8378,1
-45.75194,798.520264,1
-45.6609535,837.3103,1
-45.4401741,770.5532,1
-45.2504044,898.2697,1
-45.23588,847.828247,1
-44.791954,844.5845,1
-44.5587425,827.157837,1
-44.5438728,848.8631,1
-44.30733,786.9786,1
-44.27873,914.1445,1
-44.2267,761.980469,1
-44.16334,823.3859,1
-43.79772,871.640869,1
-43.78916,775.3309,1
-43.64215,878.871643,1
-43.5295448,749.87,1
-43.3717728,876.485962,1
-42.8951454,929.3917,1
-42.76007,797.4728,1
-42.7407722,784.059,1
-42.2012024,809.608459,1
-42.0708771,788.963562,1
-42.042,809.959656,1
-41.7801323,841.159,1
-41.7712021,823.714,1
-41.7479324,802.351257,1
-41.70515,825.334351,1
-41.6358833,771.4007,1
-41.5419121,802.597961,1
-41.52871,856.3916,1
-41.4492149,836.5809,1
-41.4278,806.880859,1
-41.3113,804.908752,1
-41.21755,836.394531,1
-41.15732,764.157166,1
-41.0074272,858.6302,1
-40.992775,822.219238,1
-40.77208,818.0643,1
-40.70057,803.6977,1
-40.6836472,850.649353,1
-40.67664,766.1454,1
-40.6629066,793.562561,1
-40.5378571,798.059143,1
-40.472187,844.9171,1
-40.45742,791.629761,1
-40.40744,830.769653,1
-40.3077,856.916138,1
-40.2714,789.6561,1
-40.1896439,804.649353,1
-40.1016731,802.3303,1
-40.09753,789.690247,1
-40.0932922,784.4513,1
-39.9112473,769.8221,1
-39.8802376,814.5964,1
-39.7348251,847.868042,1
-39.72193,844.7016,1
-39.55487,784.962158,1
-39.5281334,843.180847,1
-39.38285,770.341,1
-39.26253,728.3196,1
-39.1557922,777.373352,1
-39.08641,865.4638,1
-38.9707565,837.113159,1
-38.9588928,774.1072,1
-38.8664627,765.4268,1
-38.8515472,832.599243,1
-38.820137,869.6557,1
-38.7806244,734.970764,1
-38.6760826,758.296448,1
-38.669384,807.922241,1
-38.6198654,795.265747,1
-38.4434967,789.3524,1
-38.3291969,813.8351,1
-38.3134079,856.056641,1
-38.0079079,832.007263,1
-37.99114,724.0304,1
-37.96862,789.96814,1
-37.9291267,838.775757,1
-37.91519,815.0111,1
-37.9084473,894.22644,1
-37.9013634,808.2013,1
-37.8323631,901.405151,1
-37.7768974,744.0577,1
-37.6361237,921.112854,1
-37.636013,789.8724,1
-37.62301,782.4773,1
-37.60429,873.899353,1
-37.6015129,774.5191,1
-37.5942879,776.562256,1
-37.591877,819.9269,1
-37.5552864,890.5741,1
-37.5524025,842.9577,1
-37.5131035,812.6078,1
-37.41871,771.9677,1
-37.4046059,847.4977,1
-37.3753624,858.919,1
-37.34766,749.7124,1
-37.290638,814.9948,1
-37.2446632,850.179932,1
-37.2063446,843.7596,1
-37.1592445,836.3554,1
-37.0812149,859.931946,1
-37.06454,784.2052,1
-37.053894,743.560547,1
-37.0094223,804.519043,1
-37.00347,736.335449,1
-36.9715233,752.8504,1
-36.9356,855.1823,1
-36.8869057,756.051331,1
-36.8173637,778.34,1
-36.7860756,777.3508,1
-36.73438,839.129456,1
-36.58364,757.098755,1
-36.567997,805.222351,1
-36.5156059,799.2052,1
-36.46906,824.173767,1
-36.4345551,810.9686,1
-36.3870926,804.5434,1
-36.3839149,838.0487,1
-36.257885,732.9991,1
-36.25616,849.5118,1
-36.2532272,779.768738,1
-36.250515,799.1649,1
-36.2128258,783.3683,1
-36.1749039,827.625732,1
-36.163372,849.0296,1
-36.1555939,819.6026,1
-36.0776825,752.716248,1
-36.0667267,777.875061,1
-36.0557175,719.2373,1
-35.97079,843.7363,1
-35.9516449,774.772156,1
-35.8949928,811.5507,1
-35.88267,747.065247,1
-35.8522072,761.181763,1
-35.81433,833.5283,1
-35.811554,799.129944,1
-35.7969971,779.172668,1
-35.7960243,925.272,1
-35.7778473,825.5027,1
-35.7509651,775.185669,1
-35.7274055,740.499634,1
-35.6563377,819.5779,1
-35.6523132,822.0065,1
-35.6181221,789.173035,1
-35.55699,814.2195,1
-35.5138,932.5987,1
-35.50843,799.1627,1
-35.45908,868.698364,1
-35.4525681,820.308044,1
-35.4425545,819.4572,1
-35.43704,742.1096,1
-35.41816,787.90094,1
-35.41082,836.608765,1
-35.3929367,778.617859,1
-35.3874474,845.2813,1
-35.3488731,784.2438,1
-35.33047,771.3178,1
-35.209465,752.8167,1
-35.2035522,804.101868,1
-35.18682,746.0376,1
-35.129097,885.703,1
-35.1284142,883.9053,1
-35.1054649,790.753,1
-35.0263443,784.6615,1
-34.9609566,776.4622,1
-34.91371,779.305054,1
-34.6942329,788.2975,1
-34.66149,751.701965,1
-34.6501045,814.3204,1
-34.6282539,755.6408,1
-34.5909233,744.397461,1
-34.58632,850.459534,1
-34.5589371,954.0139,1
-34.4525642,836.4759,1
-34.4099121,870.0868,1
-34.34821,755.4396,1
-34.266983,754.264343,1
-34.2663078,711.688,1
-34.24808,827.086853,1
-34.2380676,754.3023,1
-34.16883,854.0823,1
-34.1033936,818.562866,1
-34.0833321,814.238342,1
-34.08141,770.9078,1
-34.075592,824.3165,1
-34.0710945,795.404846,1
-34.07066,781.3053,1
-34.0161133,814.6312,1
-33.951786,773.5473,1
-33.934288,797.757568,1
-33.8788948,832.5228,1
-33.8498573,777.1406,1
-33.8013649,818.792847,1
-33.7859039,795.4399,1
-33.76171,833.9383,1
-33.7141037,841.456543,1
-33.6886673,926.4777,1
-33.6809654,778.6233,1
-33.6678772,819.709534,1
-33.610527,773.187256,1
-33.5773964,787.7236,1
-33.5672226,826.629639,1
-33.55634,886.476257,1
-33.5528069,827.164063,1
-33.4818153,767.3873,1
-33.4543076,808.109,1
-33.4254646,808.5923,1
-33.3107529,797.447754,1
-33.2534943,777.3498,1
-33.25158,787.062866,1
-33.2335167,820.8294,1
-33.1508865,726.4131,1
-33.13713,858.1922,1
-33.1249046,847.2518,1
-33.0967827,781.9673,1
-33.08793,713.4713,1
-33.0709534,772.9415,1
-33.05622,844.906555,1
-33.0155029,719.87854,1
-32.93493,820.5083,1
-32.90106,886.7318,1
-32.7945251,833.275757,1
-32.7727852,789.5252,1
-32.6715355,764.2726,1
-32.66648,776.203857,1
-32.6103,835.8531,1
-32.5716858,778.836853,1
-32.4181976,811.0214,1
-32.4000931,809.194031,1
-32.3903732,721.267639,1
-32.3508644,820.1113,1
-32.3374977,780.7851,1
-32.317276,792.2191,1
-32.3095741,799.1721,1
-32.2835426,812.285034,1
-32.2791977,819.6309,1
-32.2787247,876.7569,1
-32.2083,806.190063,1
-32.2082672,749.6873,1
-32.16411,816.5397,1
-32.15885,889.052551,1
-32.1536,721.648254,1
-32.1317368,759.554443,1
-32.1191177,797.7565,1
-32.117363,816.475342,1
-32.04561,760.118164,1
-31.97937,767.7758,1
-31.9343281,811.1487,1
-31.9089165,787.3286,1
-31.8619976,787.555969,1
-31.7474613,825.266968,1
-31.7371655,777.8453,1
-31.62676,786.5847,1
-31.6257114,827.9998,1
-31.617857,829.90564,1
-31.5513077,855.3044,1
