Ch1 Amplitude,Ch2 Amplitude,Cluster
-62.291954,714.929443,1
-58.6916466,759.2264,1
-55.8232574,782.8228,1
-55.6496964,696.7877,1
-54.6267433,751.810852,1
-54.33038,822.8861,1
-53.1234,847.67334,1
-52.5080872,836.6985,1
-52.1020927,840.8263,1
-51.63727,785.6678,1
-50.7403641,781.110535,1
-50.528717,810.1078,1
-50.17187,759.4295,1
-49.9971962,855.2398,1
-49.8311272,797.379333,1
-49.80861,772.8957,1
-49.6484375,701.9035,1
-49.56631,712.377747,1
-48.88139,814.516,1
-48.0532036,773.8595,1
-47.3129234,716.2626,1
-47.0293427,685.1863,1
-46.9058,836.368164,1
-46.87496,811.5777,1
-46.23959,801.863647,1
-46.0654259,776.7304,1
-46.04844,673.7778,1
-45.87676,708.2105,1
-45.8188629,794.868347,1
-45.6782,786.357361,1
-45.670105,840.90625,1
-45.656147,792.777161,1
-45.61152,889.6224,1
-45.4049263,806.9233,1
-45.3400879,807.560364,1
-45.3178978,765.4131,1
-45.2704,709.561157,1
-45.04659,782.100769,1
-44.98686,842.556152,1
-44.9307175,778.9515,1
-44.79741,813.845642,1
-44.52673,748.605164,1
-44.09827,751.64386,1
-43.98029,819.013062,1
-43.97679,711.4474,1
-43.8347549,680.595337,1
-43.7801247,757.74176,1
-43.6068573,755.1997,1
-43.22509,755.543152,1
-42.92608,793.615051,1
-42.8281631,771.3194,1
-42.77292,757.9871,1
-42.6799622,810.997864,1
-42.63286,756.3065,1
-42.5555153,788.1125,1
-42.49178,799.588745,1
-42.4778671,771.866943,1
-42.4041,755.9541,1
-42.28334,695.3029,1
-42.1313744,723.498169,1
-42.0130577,813.853638,1
-41.7303543,785.4103,1
-41.6874657,788.8685,1
-41.5540123,779.602,1
-41.3493156,748.871,1
-41.240284,830.2206,1
-41.23816,796.1995,1
-41.00646,746.824341,1
-41.00197,753.459656,1
-41.000946,724.45575,1
-40.9871521,749.7485,1
-40.9277878,737.696838,1
-40.8405037,843.7364,1
-40.7681236,761.5551,1
-40.52375,758.8001,1
-40.4024963,756.596436,1
-40.3917274,761.8444,1
-40.3071823,710.657654,1
-40.24267,788.424133,1
-40.18048,695.258667,1
-40.0158424,692.7731,1
-39.93266,746.7183,1
-39.8511467,757.8023,1
-39.8117523,850.6133,1
-39.7885132,780.472656,1
-39.758934,799.2774,1
-39.60006,692.9207,1
-39.5070152,865.398,1
-39.5040321,700.3343,1
-39.4746437,758.86676,1
-39.36681,740.1265,1
-39.1963463,747.4065,1
-39.15866,786.603638,1
-38.99796,836.6307,1
-38.9400368,816.207947,1
