Ch1 Amplitude,Ch2 Amplitude,Cluster
4044.09082,2449.17041,1
4094.03442,2345.7522,1
4134.89258,2478.225,1
4137.404,2506.45532,1
4143.09033,2397.31982,1
4145.065,2413.162,1
4148.52051,2398.12866,1
4149.081,2455.33252,1
4169.477,2387.50854,1
4172.52637,2349.89722,1
4173.66162,2320.19263,1
4174.493,2475.8396,1
4176.95068,2269.913,1
4181.917,2357.0918,1
4186.4375,2317.13623,1
4186.526,2367.80566,1
4187.61963,2508.94629,1
4191.465,2395.754,1
4196.77539,2439.929,1
4196.826,2515.758,1
4198.634,2398.435,1
4203.65332,2474.58813,1
4207.21045,2310.88281,1
4207.803,2438.08765,1
4208.477,2375.24658,1
4213.724,2454.02759,1
4215.04443,2384.09131,1
4216.856,2283.39185,1
4217.331,2475.15918,1
4218.12354,2334.21265,1
4218.47461,2490.01221,1
4218.94238,2426.06787,1
4219.019,2438.69971,1
4221.502,2350.54321,1
4221.65967,2370.11133,1
4224.90137,2458.52173,1
4224.906,2421.98169,1
4226.49854,2410.29077,1
4226.53271,2446.29028,1
4226.68262,2425.137,1
4228.03662,2466.42358,1
4228.13037,2404.21069,1
4228.19775,2423.24268,1
4228.92432,2500.30249,1
4231.45752,2465.42334,1
4235.368,2443.06714,1
4235.69238,2445.4978,1
4236.25439,2387.053,1
4236.497,2590.39429,1
4236.8877,2459.742,1
4236.926,2443.67188,1
4237.11963,2531.93921,1
4240.95264,2297.58154,1
4241.156,2436.77466,1
4243.50146,2466.40161,1
4243.50146,2497.77466,1
4243.62939,2341.97876,1
4243.64844,2421.192,1
4244.44336,2461.28149,1
4245.02148,2484.584,1
4246.729,2271.862,1
4247.39258,2352.29028,1
4248.242,2465.57935,1
4248.371,2497.75415,1
4249.956,2379.04883,1
4250.42969,2403.41748,1
4250.85449,2559.625,1
4251.47363,2416.74683,1
4251.75732,2400.51953,1
4252.793,2263.33276,1
4253.133,2334.276,1
4253.206,2372.23169,1
4253.264,2515.23315,1
4253.352,2348.29126,1
4253.3667,2484.791,1
4253.605,2406.81323,1
4253.613,2436.346,1
4254.212,2299.08374,1
4254.22656,2367.46167,1
4254.71143,2664.40381,1
4254.768,2343.49438,1
4255.849,2514.02319,1
4256.17969,2423.49536,1
4256.306,2589.49219,1
4256.57,2367.4165,1
4256.635,2423.2583,1
4256.919,2474.61572,1
4257.557,2531.99316,1
4257.67041,2427.85742,1
4257.73975,2496.73145,1
4257.75244,2344.579,1
4258.471,2437.84717,1
4258.84766,2413.02881,1
4258.85352,2494.741,1
4259.488,2326.03882,1
4260.924,2346.86035,1
4261.1626,2231.28564,1
4261.36572,2511.0835,1
4261.7207,2443.89233,1
4262.04443,2367.79932,1
4262.179,2526.85767,1
4262.34863,2363.97314,1
4263.139,2397.18726,1
4263.28955,2455.622,1
4264.13574,2484.23315,1
4265.13037,2437.30762,1
4266.073,2417.35254,1
4266.0957,2459.12231,1
4266.29639,2356.85571,1
4267.282,2428.50781,1
4267.45068,2374.90332,1
4267.498,2515.64551,1
4267.51025,2384.44824,1
4267.724,2419.749,1
4267.781,2448.64014,1
4268.044,2345.442,1
4268.242,2374.38281,1
4268.36,2434.50171,1
4268.719,2395.76147,1
4269.58936,2466.71558,1
4270.162,2444.20142,1
4270.202,2378.699,1
4270.938,2314.54272,1
4271.112,2351.90381,1
4271.68359,2486.48975,1
4271.9,2526.0625,1
4272.443,2440.65942,1
4272.62939,2473.43433,1
4272.78027,2407.6272,1
4273.214,2448.12183,1
4273.226,2361.82129,1
4273.254,2348.54419,1
4273.303,2434.063,1
4273.39941,2444.837,1
4273.608,2575.926,1
4273.776,2420.65918,1
4273.82227,2415.605,1
4274.18457,2357.08984,1
4274.4,2448.18,1
4274.419,2465.06763,1
4274.74,2505.556,1
4274.761,2459.90161,1
4275.029,2352.83154,1
4276.004,2387.209,1
4276.12646,2349.04517,1
4276.14355,2411.46216,1
4276.695,2495.76,1
4276.97266,2371.02368,1
4276.9917,2460.61572,1
4277.34033,2482.14648,1
4277.37744,2404.21631,1
4277.439,2470.79663,1
4277.81152,2545.39233,1
4277.94238,2462.27539,1
4278.757,2454.91357,1
4279.02344,2516.28955,1
4279.41,2501.45166,1
4279.473,2394.23022,1
4281.01367,2412.47656,1
4281.442,2413.322,1
4281.73438,2430.473,1
4281.84229,2533.45,1
4282.061,2416.65063,1
4282.108,2345.63086,1
4282.6543,2546.51636,1
4282.721,2382.51978,1
4282.811,2508.29077,1
4283.17041,2358.14453,1
4283.76465,2451.69824,1
4284.148,2411.873,1
4284.73926,2463.89941,1
4284.87158,2498.16382,1
4285.09375,2478.94458,1
4285.102,2396.364,1
4285.155,2682.20142,1
4285.531,2478.40625,1
4285.92041,2445.93848,1
4286.02734,2536.56885,1
4286.376,2457.24536,1
4286.43262,2491.2915,1
4286.529,2524.17627,1
4287.33,2613.07715,1
4287.72168,2513.68066,1
4287.836,2516.62573,1
4288.08154,2454.35522,1
4288.18652,2514.089,1
4288.282,2480.82764,1
4288.28857,2406.565,1
4288.432,2587.8186,1
4288.699,2497.69,1
4288.995,2347.0835,1
4289.63428,2473.11572,1
4289.721,2522.11133,1
4289.934,2468.544,1
4290.046,2403.42432,1
4290.30664,2441.87061,1
4290.367,2402.201,1
4290.557,2362.36279,1
4290.64,2426.912,1
4290.69434,2415.435,1
4290.869,2360.965,1
4291.06738,2507.29346,1
4291.127,2510.20532,1
4291.48,2511.957,1
4291.503,2484.458,1
4291.96338,2436.57349,1
4292.844,2475.04053,1
4293.00146,2507.539,1
4293.05762,2445.414,1
4293.09033,2355.66138,1
4293.72168,2632.23853,1
4293.738,2434.344,1
4294.64941,2517.97119,1
4294.938,2343.12476,1
4295.057,2549.64258,1
4295.11475,2468.36914,1
4295.43359,2500.13916,1
4295.519,2337.7793,1
4296.182,2485.782,1
4296.28027,2592.0874,1
4296.3,2511.1,1
4296.75244,2415.401,1
4296.93066,2455.437,1
4296.936,2302.99683,1
4296.985,2486.46655,1
4297.119,2504.57275,1
4297.191,2388.07056,1
4298.189,2451.32544,1
4298.407,2468.56445,1
4298.48145,2328.11182,1
4298.587,2457.61133,1
4298.88135,2240.27539,1
4299.08936,2284.81934,1
4299.162,2499.04785,1
4299.40039,2266.96436,1
4299.40039,2408.94287,1
4299.42627,2563.51343,1
4299.662,2430.61279,1
4299.82568,2442.67017,1
4300.20459,2480.6062,1
4300.63135,2368.759,1
4300.94,2586.87,1
4300.984,2512.42334,1
4301.084,2497.45483,1
4301.408,2401.225,1
4301.80469,2279.61987,1
4302.062,2566.94629,1
4302.266,2468.55981,1
4302.819,2580.62134,1
4303.00146,2612.39331,1
4303.314,2440.401,1
4303.345,2411.71,1
4303.43262,2563.97461,1
4303.499,2531.36621,1
4303.6543,2534.438,1
4303.666,2435.15576,1
4304.04,2369.75146,1
4304.19141,2588.29761,1
4304.21533,2521.681,1
4304.545,2550.93,1
4304.722,2396.28076,1
4304.867,2508.13916,1
4304.95,2487.91528,1
4305.157,2505.07642,1
4305.49658,2400.42432,1
4305.517,2452.07764,1
4305.71875,2409.69727,1
4305.80762,2479.37036,1
4305.916,2530.038,1
4306.2793,2490.32568,1
4306.856,2477.077,1
4306.8877,2451.91626,1
4307.154,2405.798,1
4307.612,2442.802,1
4307.6665,2324.14844,1
4307.704,2423.60352,1
4307.717,2356.37524,1
4307.916,2440.073,1
4308.115,2362.812,1
4308.205,2469.677,1
4308.28955,2373.157,1
4308.303,2527.109,1
4308.552,2443.00562,1
4308.857,2558.711,1
4308.915,2391.953,1
4309.36426,2391.26953,1
4309.39648,2438.549,1
4309.475,2411.95142,1
4309.577,2504.89648,1
4309.75537,2445.80542,1
4309.7627,2470.44434,1
4310.09131,2380.3252,1
4310.1167,2401.87842,1
4310.152,2421.07642,1
4310.44336,2390.59668,1
4310.59,2337.69067,1
4310.599,2435.76367,1
4310.63672,2509.5603,1
4310.716,2443.16748,1
4310.887,2468.12622,1
4310.963,2438.43823,1
4311.12744,2566.079,1
4311.27246,2452.36255,1
4311.388,2447.805,1
4311.90234,2411.85962,1
4311.99,2400.79834,1
4312.76758,2320.55225,1
4313.46973,2478.00757,1
4313.602,2420.943,1
4313.7417,2563.52222,1
4313.784,2397.553,1
4313.83252,2514.19238,1
4313.88867,2414.5835,1
4314.121,2537.9707,1
4314.177,2512.3772,1
4314.539,2595.67114,1
4314.573,2345.78271,1
4314.71338,2417.18481,1
4314.96533,2464.304,1
4315.14258,2423.3562,1
4315.21436,2638.93726,1
4315.27637,2401.94043,1
4315.365,2634.16431,1
4315.685,2424.78564,1
4315.755,2626.66943,1
4316.23926,2507.656,1
4316.449,2473.62061,1
4316.521,2407.03784,1
4316.76,2541.41748,1
4316.80127,2412.187,1
4316.922,2454.3457,1
4317.12646,2479.16064,1
4317.17432,2459.03027,1
4317.182,2351.65454,1
4317.42529,2456.6626,1
4317.587,2541.64575,1
4317.632,2470.15674,1
4317.673,2561.423,1
4317.797,2419.01929,1
4317.80859,2563.47144,1
4317.964,2431.51367,1
4318.022,2484.8313,1
4318.219,2470.85718,1
4318.712,2436.37939,1
4318.722,2544.53027,1
4319.039,2420.96973,1
4319.13574,2490.54932,1
4319.13672,2319.753,1
4319.39453,2553.902,1
4319.422,2573.73584,1
4319.63965,2518.71753,1
4319.65967,2438.21875,1
4319.7793,2587.11475,1
4320.146,2381.73413,1
4320.22754,2550.4292,1
4320.28467,2413.518,1
4320.379,2353.47,1
4320.47461,2507.47144,1
4320.715,2553.12,1
4321.023,2289.78979,1
4321.032,2540.3606,1
4321.332,2537.28174,1
4321.34375,2575.81177,1
4321.533,2381.98,1
4321.867,2434.11426,1
4322.08643,2508.12378,1
4322.49854,2562.92334,1
4322.66,2504.53442,1
4322.70361,2505.357,1
4322.79346,2502.35522,1
4323.00342,2438.95337,1
4323.356,2511.773,1
4323.41162,2505.67969,1
4323.433,2488.89551,1
4323.45264,2429.67651,1
4323.991,2443.08276,1
4324.05566,2302.99414,1
4324.096,2548.77856,1
4324.22949,2545.70142,1
4324.261,2386.03979,1
4324.439,2484.58887,1
4325.05225,2388.298,1
4325.096,2396.17188,1
4325.10352,2348.83984,1
4325.27246,2358.596,1
4325.28955,2461.87939,1
4325.517,2430.20361,1
4325.60742,2422.98535,1
4325.626,2554.04932,1
4325.749,2395.504,1
4325.79834,2398.94556,1
4325.933,2496.908,1
4325.993,2546.36523,1
4326.03857,2639.97485,1
4326.42236,2426.69849,1
4326.631,2456.38623,1
4326.837,2472.507,1
4326.88428,2615.73926,1
4327.03857,2504.83667,1
4327.10547,2660.87061,1
4327.19141,2484.01855,1
4327.33447,2520.95239,1
4327.35059,2492.999,1
4327.844,2443.52271,1
4328.01465,2468.714,1
4328.15625,2538.24731,1
4328.16455,2399.13745,1
4328.225,2312.857,1
4328.283,2517.52148,1
4328.788,2545.64233,1
4328.79639,2424.20361,1
4328.838,2589.26123,1
4328.90234,2350.223,1
4329.626,2386.94238,1
4329.66,2287.85474,1
4329.96631,2470.97729,1
4330.10742,2527.048,1
4330.21,2428.567,1
4330.305,2691.40454,1
4330.521,2394.17236,1
4330.673,2510.97827,1
4330.81348,2463.17432,1
4330.86426,2522.48486,1
4330.932,2401.95923,1
4331.05127,2560.52466,1
4331.45557,2563.23242,1
4331.482,2492.63843,1
4331.55127,2280.10767,1
4331.807,2282.21362,1
4331.809,2564.36621,1
4332.01367,2543.978,1
4332.273,2469.60767,1
4332.53,2494.873,1
4332.681,2469.12573,1
4332.82471,2429.92578,1
4332.825,2538.715,1
4333.04346,2517.99561,1
4333.053,2366.95728,1
4333.179,2432.21558,1
4333.21436,2451.21069,1
4333.268,2301.93848,1
4333.397,2506.38428,1
4333.44,2482.63354,1
4333.44629,2536.895,1
4333.457,2466.236,1
4333.594,2237.8335,1
4333.604,2454.965,1
4333.81445,2363.088,1
4333.83447,2446.76929,1
4333.836,2578.33838,1
4333.852,2518.67139,1
4333.95068,2483.1416,1
4334.062,2433.32837,1
4334.085,2522.44287,1
4334.4,2445.16943,1
4334.64,2371.53174,1
4334.865,2439.32129,1
4335.05469,2239.35083,1
4335.059,2405.73584,1
4335.106,2424.65479,1
4335.24756,2496.88647,1
4335.61,2574.48267,1
4335.70557,2349.85083,1
4335.881,2389.15771,1
4336.154,2415.46167,1
4336.23975,2373.099,1
4336.27148,2403.23462,1
4336.27539,2419.372,1
4336.328,2548.20825,1
4336.45557,2556.98926,1
4336.70752,2439.20386,1
4336.86963,2396.73926,1
4336.95166,2521.699,1
4337.1875,2578.34839,1
4337.232,2431.60059,1
4337.352,2376.14746,1
4337.85352,2473.14063,1
4337.908,2511.75439,1
4338.015,2455.97778,1
4338.074,2536.86548,1
4338.17139,2447.39868,1
4338.589,2531.46216,1
4338.7627,2517.81738,1
4339.188,2590.64673,1
4339.257,2560.50439,1
4339.31641,2431.21924,1
4339.334,2363.17,1
4339.37256,2421.73022,1
4339.486,2633.77734,1
4339.80469,2599.836,1
4339.88965,2301.61279,1
4340.05762,2402.29883,1
4340.162,2386.01685,1
4340.17529,2546.41,1
4340.42,2472.252,1
4340.4624,2440.68579,1
4340.54932,2501.93555,1
4340.77637,2564.07129,1
4340.77734,2380.53882,1
4340.87549,2408.74072,1
4340.895,2526.496,1
4341.27637,2555.53979,1
4341.459,2624.1604,1
4341.464,2379.346,1
4341.679,2380.56714,1
4341.751,2550.79956,1
4341.77441,2403.48267,1
4341.77832,2504.34351,1
4341.86572,2423.08984,1
4341.95264,2323.70532,1
4342.36475,2452.30859,1
4342.652,2315.119,1
4342.657,2385.97168,1
4342.96045,2552.19,1
4342.993,2374.02246,1
4343.26758,2417.9624,1
4343.42969,2585.23315,1
4343.566,2544.308,1
4343.757,2515.827,1
4344.19531,2556.00342,1
4344.21826,2516.42529,1
4344.228,2462.79565,1
4344.307,2506.62842,1
4344.421,2520.085,1
4344.538,2439.513,1
4344.76,2470.11963,1
4344.885,2401.94385,1
4345.099,2503.81543,1
4345.102,2496.415,1
4345.207,2399.36,1
4345.39648,2647.028,1
4345.517,2369.5083,1
4345.688,2482.08423,1
4345.743,2500.62134,1
4345.774,2556.99243,1
4345.881,2416.13281,1
4345.888,2360.29956,1
4346.147,2527.10034,1
4346.41162,2500.797,1
4346.412,2449.58716,1
4346.477,2568.12573,1
4346.519,2436.309,1
4346.52734,2413.77368,1
4346.636,2485.78979,1
4346.8374,2392.32446,1
4347.39,2392.76245,1
4347.419,2511.33228,1
4347.48926,2511.09546,1
4347.63135,2496.939,1
4347.71631,2419.7627,1
4347.73633,2417.46362,1
4347.86035,2528.976,1
