Ch1 Amplitude,Ch2 Amplitude,Cluster
4231.82,2412.69873,1
4241.899,2252.889,1
4270.436,2461.214,1
4271.053,2309.41846,1
4274.16943,2418.83423,1
4284.866,2450.89673,1
4285.424,2459.76318,1
4285.91846,2541.19946,1
4286.13672,2474.93335,1
4294.02246,2434.11133,1
4294.566,2467.87354,1
4296.24756,2461.24536,1
4303,2455.536,1
4306.27441,2466.35278,1
4310.33,2439.91846,1
4311.69629,2561.69287,1
4312.112,2463.94019,1
4312.527,2477.702,1
4315.42725,2606.80981,1
4315.89453,2376.83228,1
4316.26855,2323.759,1
4320.212,2552.35547,1
4320.28174,2442.78076,1
4323.11035,2352.21729,1
4323.208,2366.189,1
4323.574,2538.24756,1
4324.359,2485.158,1
4325.018,2582.85571,1
4325.126,2398.32861,1
4325.94043,2513.60645,1
4327.16455,2394.18018,1
4327.598,2545.20117,1
4327.69971,2341.82739,1
4328.21973,2589.994,1
4328.587,2450.907,1
4330.0835,2368.92529,1
4330.44971,2361.124,1
4333.83252,2381.95459,1
4339.662,2600.08325,1
4341.182,2434.621,1
4345.33252,2260.6875,1
4345.61,2538.19971,1
4346.098,2388.23218,1
4346.331,2567.76514,1
4346.34326,2505.391,1
4346.55225,2507.79126,1
4346.85449,2404.04834,1
4347.81348,2423.19678,1
4348.31,2301.17676,1
4348.354,2559.87524,1
4351.346,2497.84521,1
4352.48633,2374.32373,1
4353.99,2520.91235,1
4358.54053,2475.564,1
4359.063,2345.78247,1
4359.614,2601.3877,1
4359.6626,2438.21,1
4359.77734,2352.986,1
4359.978,2385.128,1
4360.597,2519.32739,1
4361.37646,2403.53125,1
4361.922,2379.00537,1
4362.13135,2583.69946,1
4362.175,2427.308,1
4362.77441,2578.65161,1
4363.679,2423.24438,1
4364.49,2422.703,1
4364.588,2506.95923,1
4366.238,2467.96338,1
4366.53125,2543.05469,1
4368.3833,2500.12866,1
4368.787,2525.31,1
4368.804,2447.9104,1
4369.6875,2466.67358,1
4370.18555,2458.80957,1
4370.32764,2413.54,1
4371.69873,2526.75415,1
4372.07129,2561.04736,1
4373.009,2628.53687,1
4374.152,2536.044,1
4374.623,2311.13647,1
4374.914,2514.23779,1
4375.108,2605.473,1
4375.38867,2506.0752,1
4376.1875,2445.94287,1
4376.35254,2510.247,1
4376.55127,2618.55664,1
4376.70361,2606.00439,1
4376.77539,2498.875,1
4376.85547,2453.93726,1
4377.239,2570.30249,1
4377.25635,2627.07031,1
4377.6875,2476.62964,1
4377.7666,2346.25024,1
4377.89,2291.69385,1
4378.63135,2628.091,1
4379.024,2442.25928,1
4379.25439,2424.006,1
4379.25928,2499.23047,1
4379.628,2487.57666,1
4379.933,2332.79272,1
4379.97852,2436.203,1
4380.90771,2513.66187,1
4381.92627,2462.1333,1
4382.25732,2452.246,1
4382.64648,2546.81226,1
4382.965,2383.17432,1
4383.058,2446.584,1
4383.09375,2485.71973,1
4383.63,2545.7998,1
4383.894,2325.757,1
4384.37451,2465.09668,1
4384.524,2478.817,1
4386.65625,2354.04028,1
4386.88232,2471.23828,1
4387.194,2481.88818,1
4387.47168,2384.138,1
4387.783,2439.23779,1
4387.98633,2406.04419,1
4388.148,2595.608,1
4388.56055,2580.12964,1
4388.65234,2543.5708,1
4390.12939,2585.028,1
4390.28955,2464.9458,1
4390.563,2370.597,1
4391.1543,2511.182,1
4392.04932,2428.639,1
4392.057,2562.53833,1
4392.08936,2490.9353,1
4392.722,2412.646,1
4393.09229,2613.91333,1
4393.297,2550.31567,1
4393.603,2401.11743,1
4393.64844,2419.98462,1
4393.65039,2471.40649,1
4393.682,2493.10376,1
