Ch1 Amplitude,Ch2 Amplitude,Cluster
4219.98828,2588.8772,1
4237.38037,2413.06714,1
4245.363,2407.93555,1
4249.678,2439.695,1
4254.131,2529.948,1
4261.74268,2435.55664,1
4267.41943,2493.156,1
4270.891,2430.06128,1
4273.866,2606.27173,1
4274.09375,2368.419,1
4274.38867,2448.30029,1
4277.21533,2525.66919,1
4278.13672,2361.18237,1
4278.713,2490.42236,1
4279.2207,2501.48926,1
4289.82764,2492.50684,1
4294.17432,2482.04565,1
4295.31152,2444.821,1
4297.785,2558.198,1
4301.84033,2463.02539,1
4302.177,2388.372,1
4303.66064,2531.67529,1
4304.91,2558.94238,1
4306.413,2363.954,1
4307.642,2399.276,1
4307.96143,2437.93042,1
4308.17139,2562.071,1
4308.524,2555.77856,1
4309.11865,2458.24951,1
4310.96875,2435.25635,1
4312.34766,2423.284,1
4313.01465,2452.041,1
4313.038,2373.79,1
4313.811,2476.6167,1
4315.401,2337.66431,1
4317.15137,2455.014,1
4318.09375,2489.27783,1
4318.11035,2551.35352,1
4318.88232,2410.105,1
4319.088,2498.75854,1
4319.442,2583.804,1
4319.545,2457.13745,1
4320.482,2547.56372,1
4320.781,2639.18433,1
4321.785,2364.12769,1
4322.19336,2341.90161,1
4324.3877,2537.28174,1
4325.58057,2474.656,1
4328.616,2446.09424,1
4329.038,2576.271,1
4329.458,2560.18018,1
4329.71826,2370.52368,1
4329.85352,2482.02075,1
4330.79443,2424.98486,1
4330.997,2413.455,1
4331.54346,2516.09619,1
4332.6123,2458.45264,1
4333.12744,2477.7,1
4334.78369,2529.68677,1
4334.7915,2440.71021,1
4335.787,2483.77246,1
4336.09668,2449.78418,1
4336.55029,2493.25269,1
4336.5625,2299.75537,1
4336.77637,2437.53955,1
4337.058,2434.99731,1
4337.16357,2548.39087,1
4337.554,2420.37915,1
4338.92,2414.48828,1
4339.14746,2439.65771,1
4339.316,2458.95215,1
4340.20361,2478.141,1
4340.701,2506.31714,1
4342.09766,2336.57227,1
4342.53,2448.61743,1
4342.73926,2499.11035,1
4344.3,2406.47974,1
4345.11133,2426.85352,1
4345.44,2537.7998,1
4345.446,2451.25073,1
4345.673,2419.24829,1
4348.22,2518.99268,1
4348.53,2504.29565,1
4349.104,2296.66943,1
4349.72754,2475.667,1
4350.903,2463.80981,1
4350.95361,2571.00952,1
4351.18066,2352.573,1
4351.21875,2485.993,1
4351.425,2297.31616,1
4352.07666,2347.84766,1
4352.29639,2359.32422,1
4352.818,2407.8208,1
4352.86475,2645.76953,1
4353.314,2491.48145,1
4353.328,2488.38037,1
4353.37158,2427.07837,1
4353.44043,2571.24731,1
4353.72266,2363.21387,1
4353.85449,2414.79468,1
4354.804,2489.63086,1
4355.429,2474.49561,1
4355.554,2360.16284,1
4355.594,2531.62329,1
4355.64355,2533.15918,1
4355.89063,2486.27979,1
4356.358,2420.395,1
4357.054,2512.495,1
4357.45557,2394.48145,1
4359.018,2476.47168,1
4359.75732,2533.37866,1
4360.754,2418.08667,1
4360.846,2498.787,1
4361.55664,2566.46631,1
4361.55859,2556.50439,1
4361.843,2509.761,1
4361.988,2381.834,1
4362.01953,2399.17065,1
4363.24561,2443.6665,1
4363.27246,2601.19238,1
4363.412,2528.84521,1
4363.67139,2499.29419,1
4363.71631,2552.006,1
4363.766,2571.14551,1
4365.492,2480.98633,1
4366.093,2571.18823,1
4366.26367,2363.47119,1
4366.94336,2469.8645,1
4366.965,2552.44971,1
4366.97656,2511.593,1
4369.24463,2348.244,1
4369.29639,2498.216,1
4370.162,2548.492,1
4370.54053,2475.60742,1
4370.822,2357.10815,1
4370.982,2509.26147,1
4371.23438,2460.16968,1
4371.7373,2322.80835,1
4371.90234,2424.65942,1
4372.11865,2381.168,1
4372.291,2453.11987,1
4372.30371,2448.68066,1
4372.57959,2538.12378,1
4372.73047,2557.846,1
4372.92041,2517.42334,1
4373.1,2413.38867,1
4373.324,2522.23755,1
4373.367,2423.49634,1
4373.46045,2439.59375,1
4373.775,2610.58276,1
4374.32031,2511.35571,1
4374.38037,2454.43652,1
4374.532,2388.7417,1
4374.83838,2429.25854,1
4375.109,2390.527,1
4375.30469,2438.67188,1
4376.30664,2528.39429,1
4376.347,2479.18677,1
4376.797,2442.9165,1
4377.145,2526.32642,1
4377.174,2587.74976,1
4377.25635,2502.18677,1
4377.262,2319.01245,1
4377.449,2423.03931,1
4377.693,2606.82886,1
4377.764,2439.811,1
4377.85254,2325.53125,1
4377.964,2281.039,1
4379.42236,2381.65015,1
4380.067,2581.7417,1
4380.32861,2524.94238,1
4381.00049,2534.27783,1
4381.059,2518.97046,1
4381.059,2450.526,1
4381.097,2396.83569,1
4381.13037,2319.55957,1
4381.149,2486.194,1
4381.365,2437.901,1
4382.07227,2427.90283,1
4382.14258,2470.567,1
4382.507,2632.80078,1
4382.729,2457.21436,1
4383.79248,2565.55664,1
4383.797,2494.917,1
4384.23047,2428.94849,1
4384.824,2444.986,1
4384.87842,2533.75269,1
4385.08838,2530.67065,1
4385.161,2458.72,1
4385.517,2471.82471,1
