Ch1 Amplitude,Ch2 Amplitude,Cluster
4169.328,2343.99438,1
4185.945,2497.2478,1
4190.267,2463.48,1
4197.821,2525.72119,1
4202.701,2377.61816,1
4209.84961,2350.85327,1
4211.04248,2330.16382,1
4213.24072,2531.32446,1
4221.462,2483.15845,1
4250.97852,2370.02466,1
4251.378,2544.84766,1
4267.04639,2542.70728,1
4282.27051,2457.383,1
4287.02246,2448.99976,1
4291.34229,2464.51172,1
4294.561,2532.65454,1
4306.903,2444.97827,1
4307.53467,2464.735,1
4307.873,2397.09521,1
4309.42725,2496.171,1
4313.336,2516.07446,1
4316.00928,2276.19287,1
4319.48633,2554.61255,1
4319.629,2423.01147,1
4321.47363,2502.88672,1
4322.20166,2383.245,1
4323.898,2401.60474,1
4326.787,2517.11328,1
4327.893,2504.87183,1
4328.6,2438.94727,1
4331.06348,2493.19922,1
4332.135,2448.623,1
4333.74268,2519.16235,1
4334.10742,2407.07178,1
4339.75146,2399.91431,1
4340.12,2447.80151,1
4345.061,2603.50366,1
4348.706,2401.49976,1
4349.002,2550.20532,1
4350.45361,2453.57471,1
4351.663,2582.13159,1
4352.025,2429.66333,1
4352.87549,2486.2627,1
4356.35449,2386.7688,1
4356.363,2633.20117,1
4357.31641,2515.952,1
4358.19141,2568.14722,1
4358.275,2507.82886,1
4359.14258,2353.07983,1
4359.222,2657.01318,1
4359.563,2434.293,1
4360.26172,2370.86255,1
4360.95654,2578.51245,1
4361.45557,2509.38,1
4365.51172,2569.69775,1
4365.60156,2443.00562,1
4366.542,2457.23022,1
4366.788,2383.75635,1
4366.836,2507.24341,1
4368.354,2483.9126,1
4368.55127,2515.66943,1
4369.31641,2412.613,1
4369.63965,2315.16479,1
4370.60352,2519.53784,1
4370.64551,2499.76172,1
4370.85449,2474.37939,1
4371.91455,2603.8916,1
4374.295,2454.96484,1
4375.88232,2496.48218,1
4375.92139,2540.15527,1
4376.161,2507.75586,1
4377.375,2536.74756,1
4377.9,2519.36,1
4378.37451,2550.56519,1
4379.70166,2503.83887,1
4380.937,2717.40186,1
4380.946,2622.076,1
4381.266,2462.05933,1
4381.935,2432.03516,1
4383.298,2591.83765,1
4384.47754,2447.42114,1
4389.02148,2497.07178,1
4389.68164,2531.90015,1
4389.79736,2533.11816,1
4390.262,2364.132,1
4390.84033,2526.7146,1
4391.005,2406.53662,1
4391.794,2511.87427,1
4391.899,2411.19727,1
4392.182,2491.095,1
4392.319,2507.7605,1
4392.69043,2415.71777,1
4393.538,2547.93848,1
4393.62842,2512.46484,1
4394.82031,2590.45947,1
4395.48926,2371.444,1
4396.182,2526.45654,1
4396.95361,2620.49121,1
4397.51563,2538.56885,1
4397.56445,2501.546,1
4397.86328,2567.98438,1
4398.04346,2370.92969,1
4398.19238,2482.37451,1
4398.68164,2489.616,1
4399.402,2510.087,1
4399.58643,2542.03149,1
4399.712,2396.47144,1
4399.713,2561.25732,1
4399.927,2523.041,1
4400.31738,2385.14331,1
4400.36133,2533.879,1
4400.78857,2633.493,1
4401.79443,2650.215,1
4401.836,2535.9248,1
4402.154,2422.047,1
4402.473,2551.40161,1
4402.83447,2474.76318,1
4402.964,2488.45215,1
4403.547,2605.94116,1
4403.653,2482.10181,1
4403.99756,2621.74585,1
4404.07764,2445.38745,1
4404.405,2641.111,1
4404.583,2563.87646,1
4404.968,2551.67041,1
4405.142,2459.25854,1
4405.266,2565.088,1
4405.43652,2613.15527,1
4405.724,2578.208,1
4405.804,2508.01782,1
4405.8584,2433.07568,1
4405.938,2519.287,1
4406.072,2454.79175,1
4406.094,2423.90259,1
4407.02344,2648.24951,1
4407.20557,2771.058,1
4407.31738,2504.59888,1
4407.59863,2336.66357,1
4407.6123,2514.38452,1
4407.75439,2435.14868,1
4408.25732,2468.20483,1
4408.314,2521.98364,1
4408.86,2433.4856,1
4409.481,2488.365,1
4409.514,2584.105,1
4409.67139,2386.86426,1
4409.77,2480.27563,1
4409.91357,2480.30762,1
4410.107,2568.65015,1
4410.25342,2508.288,1
4410.68945,2550.558,1
4410.77734,2401.17822,1
4411.041,2512.478,1
4411.22656,2512.19653,1
4411.40674,2426.04663,1
4411.52441,2456.47876,1
4411.987,2374.632,1
4412.154,2520.06079,1
4412.354,2521.20581,1
4412.569,2476.51074,1
4412.67139,2534.45947,1
4412.955,2333.8772,1
4412.996,2471.88818,1
4413.231,2543.26953,1
4413.29932,2557.1145,1
4413.36768,2474.03687,1
4414.37549,2574.88672,1
4414.44238,2543.50366,1
