Ch1 Amplitude,Ch2 Amplitude,Cluster
4197.478,2418.60864,1
4218.48535,2589.39819,1
4261.49072,2461.50879,1
4264.198,2532.601,1
4268.02637,2441.03784,1
4272.345,2494.05713,1
4278.41064,2481.60254,1
4293.716,2477.35645,1
4296.26465,2460.004,1
4303.923,2439.38257,1
4307.18164,2486.79956,1
4307.78857,2464.37769,1
4308.387,2588.74048,1
4309.48438,2454.364,1
4309.4917,2282.45679,1
4312.33,2642.0603,1
4316.00244,2561.55322,1
4320.07129,2486.18945,1
4321.41748,2477.411,1
4321.564,2546.23682,1
4324.57275,2433.56738,1
4328.365,2505.172,1
4332.42139,2461.59668,1
4332.67725,2464.02637,1
4334.73926,2437.70459,1
4336.305,2678.50781,1
4336.52344,2506.148,1
4338.16162,2363.583,1
4338.843,2525.12329,1
4339.275,2447.388,1
4339.459,2556.14282,1
4339.843,2460.80347,1
4340.9375,2345.77441,1
4343.96338,2521.467,1
4345.99,2468.01563,1
4346.46533,2550.88281,1
4348.081,2399.00952,1
4348.34,2431.91284,1
4348.718,2382.748,1
4348.8584,2382.26563,1
4349.136,2479.48535,1
4349.7207,2494.22827,1
4350.242,2559.785,1
4350.61,2513.563,1
4352.82568,2575.38086,1
4353.271,2545.7583,1
4354.367,2632.67944,1
4355.38232,2442.88257,1
4355.458,2507.154,1
4355.69629,2440.76758,1
4357.77,2409.93433,1
4358.312,2461.72168,1
4359.049,2655.58545,1
4362.598,2377.463,1
4363.365,2481.68433,1
4363.37354,2571.85181,1
4366.124,2542.53613,1
4366.354,2521.06348,1
4366.42,2479.19287,1
4367.07275,2626.87231,1
4367.1084,2693.244,1
4368.025,2470.52417,1
4368.07275,2438.371,1
4368.29346,2597.15356,1
4369.62451,2460.79468,1
4370.182,2544.94775,1
4372.87,2440.75049,1
4375.693,2564.31323,1
4376.674,2508.52075,1
4377.10742,2585.922,1
4377.78857,2551.255,1
4377.813,2488.98462,1
4378.396,2547.87866,1
4379.03564,2469.853,1
4379.9043,2437.505,1
4380.04,2544.62,1
4380.265,2510.286,1
4380.305,2514.95483,1
4380.42969,2458.706,1
4381.31445,2518.762,1
4382.006,2400.08545,1
4382.882,2663.46118,1
4382.995,2360.25073,1
4383.513,2415.27441,1
4383.67773,2607.00879,1
4383.93,2372.24438,1
4384.257,2502.864,1
4384.82227,2434.6853,1
4385.595,2457.47754,1
4385.659,2579.06885,1
4386.559,2498.81348,1
4386.692,2543.23267,1
4387.297,2651.3645,1
4387.73975,2531.237,1
4388.986,2547.92334,1
4390.14648,2586.63062,1
4392.842,2444.57861,1
4393.623,2540.1604,1
4394.16553,2509.79248,1
4394.278,2419.55322,1
4394.485,2530.44556,1
4395.435,2444.59229,1
4396.58154,2467.4585,1
4396.647,2484.51758,1
4396.8833,2450.45679,1
4397.035,2577.42114,1
4397.313,2403.39453,1
4397.39,2422.363,1
4397.995,2471.97656,1
4399.037,2373.726,1
4399.092,2633.60767,1
4399.31445,2530.917,1
4399.93164,2472.14233,1
4400.101,2523.60962,1
4400.567,2507.368,1
4400.598,2443.26855,1
4401.1167,2427.08569,1
4401.30469,2457.976,1
4401.711,2443.65015,1
4401.75732,2481.08716,1
