Ch1 Amplitude,Ch2 Amplitude,Cluster
4126.50928,2404.65112,1
4161.615,2386.53418,1
4180.66,2516.35034,1
4184.162,2484.54272,1
4184.702,2289.97974,1
4222.15625,2353.435,1
4227.10547,2542.83569,1
4228.276,2416.94165,1
4228.83057,2442.271,1
4232.46973,2375.70947,1
4234.142,2473.88721,1
4248.211,2370.52881,1
4248.684,2603.65039,1
4256.90137,2439.492,1
4261.54443,2437.6394,1
4276.01172,2530.94531,1
4278.51025,2437.148,1
4281.80762,2347.70117,1
4285.78027,2427.408,1
4286.13672,2470.7146,1
4287.799,2499.80542,1
4304.99658,2508.552,1
4309.11035,2518.78735,1
4314.081,2389.49146,1
4315.92139,2519.77539,1
4320.65674,2389.14868,1
4321.733,2346.024,1
4321.97363,2328.262,1
4323.777,2448.03516,1
4325.41162,2538.55127,1
4327.10352,2400.97021,1
4327.934,2479.80933,1
4331.38965,2461.93042,1
4332.934,2387.54077,1
4333.00732,2448.55786,1
4333.01758,2487.50854,1
4333.49463,2423.89136,1
4334.309,2512.87524,1
4335.702,2451.58276,1
4335.774,2416.912,1
4337.213,2329.45581,1
4339.107,2402.698,1
4340.27539,2434.44141,1
4347.21436,2495.50659,1
4353.757,2483.955,1
4354.434,2433.39429,1
4354.55225,2598.09253,1
4356.31641,2482.51978,1
4357.94336,2450.68335,1
4358.95752,2467.77246,1
4360.56152,2414.602,1
4360.683,2394.10083,1
4361.37061,2354.48,1
4363.63965,2442.12085,1
4364.29834,2703.57056,1
4365.10156,2524.32153,1
4365.28564,2491.992,1
4365.81738,2548.33765,1
4366.12549,2432.30762,1
4366.2124,2491.156,1
4367.101,2485.104,1
4367.158,2623.46875,1
4370.321,2516.673,1
4371.8335,2586.43652,1
4372.17627,2507.63,1
4374.468,2581.28369,1
4374.615,2477.85962,1
4375.226,2479.72241,1
4375.2666,2471.31982,1
4376.504,2347.2915,1
4376.93457,2533.17529,1
4378.802,2518.75,1
4380.14844,2452.253,1
4381.1665,2415.16724,1
4381.39844,2442.8772,1
4381.98926,2410.171,1
4383.147,2515.59717,1
4383.30029,2548.74878,1
4384.64355,2499.83643,1
4386.008,2493.73853,1
4387.33545,2500.051,1
4387.696,2502.41,1
4388.19775,2426.967,1
4388.4707,2567.742,1
4388.586,2417.303,1
4388.746,2450.46631,1
4390.69238,2546.894,1
4390.867,2561.89331,1
4391.059,2358.87061,1
4392.16064,2674.597,1
4392.31836,2530.3125,1
4393.15869,2509.19287,1
4394.282,2376.22168,1
4394.88232,2365.6377,1
4395.1665,2546.06128,1
4395.446,2534.62354,1
4395.67627,2471.705,1
4396.439,2522.00513,1
4396.512,2583.18457,1
4399.14,2583.396,1
4399.7124,2407.88281,1
4399.77246,2636.20923,1
4399.858,2421.43555,1
4400.53955,2638.252,1
4400.766,2604.24585,1
4401.233,2516.88086,1
4401.338,2546.6853,1
4401.40967,2423.67358,1
4402.3584,2386.16333,1
4402.715,2527.06152,1
4402.98047,2531.75366,1
4404.68066,2451.872,1
4404.91,2526.04883,1
4405.261,2505.679,1
4405.388,2468.76343,1
4405.59,2558.253,1
4407.277,2444.77979,1
4407.83154,2617.54883,1
4409.454,2525.21021,1
4410.086,2477.947,1
4412.052,2519.81982,1
4412.1416,2569.33472,1
4412.81641,2484.70239,1
4412.826,2425.60229,1
4413.15332,2470.953,1
4413.217,2571.65,1
4414.373,2398.55786,1
4414.923,2427.05713,1
4415.735,2584.70728,1
4415.97363,2609.231,1
4416.54736,2567.213,1
4416.552,2579.51733,1
4417.18164,2472.63916,1
4417.36426,2679.22559,1
4417.638,2470.002,1
4417.772,2525.4563,1
4418.21045,2465.629,1
4418.335,2561.06641,1
4418.42529,2445.87524,1
4419.07764,2623.4458,1
4419.293,2535.54956,1
4419.473,2497.088,1
