Ch1 Amplitude,Ch2 Amplitude,Cluster
4223.082,2366.059,1
4254.537,2426.16,1
4258.15332,2575.42285,1
4259.112,2432.06445,1
4264.21338,2478.09033,1
4266.93066,2393.66528,1
4269.702,2402.26685,1
4277.16943,2523.54126,1
4278.45752,2535.60718,1
4280.04053,2355.342,1
4284.432,2431.5144,1
4285.67969,2310.00171,1
4288.327,2511.71582,1
4293.236,2356.90918,1
4294.50732,2706.46655,1
4295.30859,2525.79053,1
4299.028,2498.26831,1
4302.76074,2476.68164,1
4303.33936,2502.32031,1
4303.59033,2561.368,1
4303.647,2461.62866,1
4305.06738,2387.779,1
4307.2915,2491.25977,1
4308.304,2369.87939,1
4311.042,2453.95874,1
4315.05127,2499.939,1
4315.668,2378.54541,1
4317.712,2515.28052,1
4317.71826,2228.62354,1
4318.82373,2574.46948,1
4318.83643,2311.872,1
4320.835,2307.633,1
4322.588,2669.607,1
4325.40527,2563.52417,1
4325.82129,2465.27881,1
4325.847,2446.05762,1
4326.482,2549.68164,1
4326.86035,2484.41284,1
4329.492,2454.299,1
4331.313,2433.84253,1
4331.614,2460.459,1
4332.99,2466.68555,1
4339.01025,2345.75781,1
4339.3584,2385.79443,1
4339.727,2427.399,1
4340.32275,2546.088,1
4341.65625,2533.426,1
4342.12451,2363.21631,1
4342.8457,2602.02173,1
4343.603,2376.95923,1
4343.87451,2557.116,1
4344.939,2441.63,1
4345.49463,2512.684,1
4345.57275,2550.28735,1
4345.72754,2384.97778,1
4346.6665,2515.77563,1
4347.078,2480.298,1
4347.196,2386.47852,1
4347.508,2398.23877,1
4348.90527,2533.1958,1
4350.589,2316.61743,1
4354.54346,2547.956,1
4354.948,2435.27075,1
4355.071,2612.41943,1
4355.29736,2459.49634,1
4356.482,2390.24927,1
4356.49268,2313.24878,1
4357.177,2455.27563,1
4357.37744,2509.988,1
4358.19434,2632.95068,1
4358.3125,2443.294,1
4358.5166,2437.02271,1
4359.89551,2574.27686,1
4360.25537,2358.56616,1
4361.21729,2447.29639,1
4361.99756,2478.93774,1
4363.13525,2535.551,1
4363.643,2411.38379,1
4364.117,2366.94775,1
4364.4165,2565.35083,1
4365.82959,2403.59766,1
4367.05859,2358.06152,1
4367.10645,2352.624,1
4367.94629,2346.71753,1
4368.851,2611.85986,1
4369.56055,2518.41187,1
4370.04639,2530.46069,1
4371.22754,2539.82,1
4371.2334,2581.95337,1
4371.355,2440.84033,1
4372.08838,2534.32349,1
4373.24463,2525.072,1
4374.941,2394.45679,1
4376.568,2477.94067,1
4376.673,2523.63013,1
4376.882,2591.076,1
4377.62354,2521.47119,1
4378.616,2547.6272,1
4378.827,2428.038,1
4379.12061,2610.42383,1
4379.12354,2572.376,1
4379.45459,2369.06519,1
4379.95361,2410.37329,1
4380.05762,2448.02954,1
4380.672,2280.373,1
4380.85254,2484.82324,1
4380.882,2593.40332,1
4380.94043,2612.53467,1
4381.098,2443.46265,1
4381.929,2556.13916,1
4382.20752,2546.76245,1
4382.48633,2540.69556,1
4382.52148,2380.202,1
4382.537,2464.16479,1
4382.883,2481.6665,1
4383.16943,2454.07056,1
4383.18,2328.32568,1
4383.31,2580.81079,1
4383.40771,2309.997,1
4383.413,2440.87524,1
4384.20068,2395.429,1
4384.285,2612.34351,1
4384.30762,2583.49463,1
4384.397,2608.47729,1
4384.48828,2421.70459,1
4385.105,2433.895,1
4385.902,2534.29541,1
4386.08447,2549.32324,1
4386.16455,2517.87671,1
4386.55029,2405.78931,1
4386.697,2432.64746,1
4387.32227,2612.617,1
4387.482,2379.00513,1
4388.94434,2418.03857,1
4389.942,2448.73828,1
4390.61572,2451.33057,1
4390.635,2604.21875,1
4390.711,2641.07666,1
4390.90625,2501.42017,1
4390.92334,2475.90063,1
4391.88,2316.09619,1
4393.039,2496.11523,1
4393.04346,2504.802,1
4393.80469,2433.33862,1
4394.0083,2563.60083,1
4394.8833,2493.69824,1
4395.349,2429.35059,1
4395.49072,2300.13843,1
4395.73145,2395.57739,1
4396.31348,2416.73,1
4396.61865,2516.97217,1
4397.05273,2427.624,1
4397.098,2431.16064,1
4397.116,2481.66113,1
4397.1626,2681.19165,1
4397.241,2502.10474,1
4397.484,2494.88135,1
4397.73633,2451.82544,1
4397.98535,2594.0542,1
4398.23145,2518.2395,1
4398.24756,2384.3667,1
4398.2915,2584.098,1
4398.442,2553.17554,1
4398.64453,2506.792,1
4399.26953,2577.93335,1
4399.73438,2424.30859,1
4400.18848,2466.567,1
4400.19727,2387.52441,1
4400.33,2530.02026,1
4400.412,2560.89331,1
4401.218,2432.65454,1
4401.36865,2515.89941,1
4402.14355,2486.46021,1
4402.367,2428.85986,1
4402.467,2440.8645,1
4402.662,2437.07544,1
4402.73828,2594.43,1
4403.672,2388.25122,1
4404.63574,2518.10156,1
4404.76025,2610.33545,1
4405.29,2389.988,1
4405.43066,2595.876,1
4405.59326,2527.44238,1
4405.73047,2565.92383,1
4407.255,2502.38184,1
4407.64355,2478.38525,1
4407.722,2581.68555,1
4407.897,2462.591,1
4408.808,2416.44238,1
4409.026,2664.064,1
4409.27,2418.07,1
4409.5127,2347.98779,1
4409.73975,2559.134,1
4409.89258,2523.63428,1
4410.065,2433.44922,1
4410.5,2625.5752,1
4410.50244,2399.317,1
4410.58154,2454.08545,1
4411.384,2501.4353,1
4411.995,2406.40527,1
4412.00537,2501.76538,1
4412.22461,2550.10986,1
4412.24365,2487.47729,1
4412.467,2547.04614,1
4412.87,2443.856,1
4412.99561,2482.086,1
4413.489,2472.64648,1
4413.943,2468.759,1
4414.032,2576.97583,1
4414.19971,2501.79883,1
4414.701,2540.11,1
4414.779,2388.18481,1
4414.79834,2480.29126,1
4415.084,2473.68921,1
4415.667,2561.37256,1
4416.30371,2514.04517,1
4416.305,2510.2832,1
4416.79834,2569.70825,1
4416.95752,2429.97363,1
4416.98828,2593.25562,1
4417.01,2533.16064,1
4417.03564,2485.46582,1
4417.107,2436.43921,1
4417.65137,2548.1792,1
4417.745,2573.39063,1
4418.44727,2393.101,1
4418.67432,2514.336,1
4418.767,2556.46143,1
4418.915,2593.54468,1
4418.92236,2463.51563,1
4418.934,2475.71973,1
4419.15527,2517.134,1
4419.19238,2409.16,1
4419.208,2696.01782,1
4419.3,2691.67261,1
4419.4,2467.88647,1
4419.5376,2476.30347,1
4419.579,2544.81055,1
4420.08252,2578.9668,1
4420.282,2531.177,1
4421.39355,2487.24438,1
4421.41846,2552.91,1
4422.03857,2630.26831,1
4422.611,2530.824,1
4422.927,2585.35767,1
4423.01172,2456.35352,1
4423.03662,2397.57373,1
4423.082,2389.37354,1
4423.45166,2459.15527,1
4423.611,2487.62744,1
4423.864,2492.8772,1
4424.04932,2478.88037,1
4424.12842,2514.60376,1
4424.408,2538.295,1
4424.822,2529.16357,1
4424.85,2525.31665,1
4424.959,2428.10547,1
4425.209,2559.23853,1
4425.414,2472.65039,1
4425.444,2431.607,1
4425.529,2476.67188,1
4426.0293,2461.78735,1
4426.51953,2505.605,1
4427.02344,2616.51733,1
4427.548,2549.60278,1
4427.74463,2474.56274,1
4428.545,2539.928,1
4428.6,2488.52881,1
4428.62061,2472.00781,1
4429.12549,2357.30371,1
4429.23975,2324.73071,1
4429.50244,2524.04053,1
4429.71729,2399.29858,1
4429.961,2485.62085,1
4430.21338,2416.45166,1
4430.638,2492.30469,1
4430.74072,2424.16138,1
4430.833,2642.20532,1
4431.17627,2619.39453,1
4431.91846,2452.218,1
4432.12549,2525.12329,1
4432.29443,2370.45044,1
4433.024,2534.316,1
4433.276,2523.236,1
4433.354,2668.07764,1
4433.373,2535.88965,1
4433.41,2430.08228,1
4433.43164,2533.59473,1
4433.5,2604.41113,1
4433.716,2534.79663,1
4434.217,2504.857,1
4434.57031,2530.34058,1
4434.835,2543.617,1
4434.913,2577.41431,1
4435.02441,2583.28735,1
4435.03662,2406.97461,1
4435.26855,2440.50024,1
4435.34033,2693.5437,1
4435.37354,2562.66919,1
4435.4834,2548.77246,1
4435.51465,2552.658,1
4435.74951,2531.49414,1
4435.8667,2453.9375,1
4436.23633,2494.49854,1
4436.249,2431.53857,1
4436.39941,2375.11377,1
4436.527,2575.50269,1
4437.55371,2554.22925,1
4437.65039,2484.13672,1
4437.752,2476.64453,1
4437.78271,2394.59521,1
4437.93457,2503.537,1
4438.31543,2500.51245,1
4439.177,2563.24,1
4439.23145,2592.00928,1
4439.39258,2566.65381,1
4439.485,2664.17383,1
4439.495,2527.42358,1
4439.831,2555.06079,1
4439.84668,2693.49854,1
4439.95459,2474.17139,1
4440,2487.47632,1
4440.09863,2403.97241,1
4440.284,2488.02759,1
4440.298,2532.903,1
4440.48242,2478.98169,1
4441.09766,2565.60815,1
4441.405,2533.469,1
4441.443,2483.76831,1
4441.522,2637.51929,1
4441.73926,2497.17651,1
4441.786,2450.36621,1
4442.31738,2570.49658,1
4442.511,2463.039,1
4442.715,2475.08252,1
4442.8584,2580.09277,1
4442.879,2551.90283,1
4443.501,2317.622,1
4443.656,2507.91187,1
4443.691,2653.34326,1
4443.695,2555.46265,1
4443.7793,2312.1167,1
4444.012,2415.37085,1
4444.148,2527.221,1
4444.153,2395.02954,1
4444.70264,2566.595,1
4444.705,2412.34985,1
4444.79834,2471.847,1
4445.0376,2456.61572,1
4445.94873,2646.74951,1
4446.117,2426.43018,1
4446.249,2492.81079,1
4446.61426,2492.94751,1
4446.77734,2463.77173,1
4446.915,2508.12646,1
4447.077,2397.05933,1
4447.166,2458.70337,1
4447.29248,2420.82031,1
4447.382,2564.1062,1
4447.646,2502.814,1
4447.71875,2518.1167,1
4447.935,2626.86328,1
4448.5166,2588.0813,1
4448.70264,2451.496,1
4448.801,2506.37549,1
4448.9917,2437.182,1
4449.08936,2533.01758,1
4449.119,2573.15479,1
4449.77832,2420.556,1
