Ch1 Amplitude,Ch2 Amplitude,Cluster
3726.37183,2116.686,1
3762.55981,2249.565,1
3777.74585,2002.19458,1
3812.86963,2015.485,1
3815.255,2267.76855,1
3877.22559,2135.97,1
3881.01953,2197.59326,1
3930.72925,2307.003,1
3960.49927,2233.802,1
3986.708,2240.46826,1
3994.70947,2297.31616,1
4024.06445,2300.826,1
4034.65039,2236.06519,1
4040.16528,2489.14722,1
4053.59,2492.53442,1
4054.09058,2406.565,1
4055.654,2376.92236,1
4065.635,2224.55225,1
4072.18652,2380.521,1
4075.27051,2401.13159,1
4079.04443,2412.88843,1
4089.39185,2443.20459,1
4094.97949,2337.23438,1
4100.831,2382.23828,1
4101.29053,2438.91138,1
4103.173,2276.69629,1
4106.545,2335.61035,1
4111.715,2389.91577,1
4112.20361,2464.71973,1
4115.30664,2272.89746,1
4117.60059,2420.61987,1
4123.99951,2466.208,1
4126.01025,2411.27173,1
4126.455,2365.09619,1
4129.901,2394.36133,1
4139.207,2453.72949,1
4141.776,2412.74829,1
4142.76367,2496.533,1
4143.47559,2354.53442,1
4144.589,2329.29272,1
4144.641,2326.62085,1
4146.413,2380.48145,1
4150.131,2336.09766,1
4156.26025,2441.857,1
4161.50049,2534.49243,1
4161.66846,2472.21069,1
4162.31055,2383.82178,1
4162.77734,2393.42041,1
4164.94629,2515.57324,1
4170.522,2409.54834,1
4170.57959,2413.06348,1
4170.63525,2339.36328,1
4174.34326,2409.52075,1
4176.22266,2310.357,1
4177.349,2398.34937,1
4177.5415,2403.34937,1
4178.245,2475.83716,1
4182.839,2376.78345,1
4185.01025,2379.36621,1
4185.35156,2302.1272,1
4186.515,2384.299,1
4186.662,2267.29736,1
4189.49658,2460.84766,1
4191.72852,2713.49316,1
4192.174,2365.406,1
4192.26855,2476.43335,1
4192.31,2532.743,1
4192.462,2460.3877,1
4193.639,2390.17944,1
4194.18262,2440.49414,1
4195.50439,2386.9502,1
4195.58252,2354.01,1
4197.064,2403.29565,1
4197.319,2547.72974,1
4197.89355,2501.513,1
4198.765,2348.59326,1
4199.485,2534.569,1
4199.50635,2494.846,1
4200.199,2465.51733,1
4202.747,2386.01465,1
4203.794,2474.871,1
4204.31641,2459.7146,1
4205.392,2460.12183,1
4207.089,2544.47,1
4207.159,2376.833,1
4208.431,2368.08032,1
4209.32275,2431.80371,1
4209.614,2540.06128,1
4210.48828,2407.73877,1
4210.603,2389.22,1
4211.69727,2433.20557,1
4211.99561,2576.011,1
4212.158,2306.745,1
4213.211,2392.244,1
4213.636,2479.05859,1
4214.97363,2260.28149,1
4215.389,2568.77344,1
4215.92725,2390.11914,1
4216.46973,2423.292,1
4216.838,2231.88452,1
4217.052,2513.12744,1
4217.46631,2347.91724,1
4217.89258,2481.38721,1
4217.915,2303.13,1
4219.1875,2302.70679,1
4219.432,2345.703,1
4220.07275,2345.156,1
4220.113,2383.705,1
4220.42,2363.9646,1
4220.847,2359.94116,1
4221.02,2597.47925,1
4221.43359,2419.20044,1
4222.409,2368.932,1
4222.80273,2468.80737,1
4222.82373,2449.99756,1
4223.44043,2584.35181,1
4223.4585,2382.79126,1
4223.71143,2487.53882,1
4223.92432,2492.92139,1
4224.24854,2434.92139,1
4224.525,2383.04565,1
4224.56055,2535.288,1
4224.568,2470.36743,1
4225.87744,2397.743,1
4226.05469,2706.33618,1
4227.348,2341.26831,1
4227.63037,2563.77637,1
4228.097,2453.801,1
4229.0376,2264.8457,1
4229.32666,2437.23633,1
4230.6167,2460.57056,1
4232.896,2311.45044,1
4232.974,2449.48877,1
4233.721,2489.31226,1
4233.739,2356.39673,1
4234.10449,2518.53955,1
4234.15039,2480.41675,1
4234.286,2603.118,1
4234.863,2507.98877,1
4234.909,2538.0542,1
4234.99854,2494.99023,1
4236.607,2536.81836,1
4237.09863,2449.30273,1
4237.126,2385.128,1
4237.384,2280.19263,1
4237.57275,2372.79956,1
4237.99951,2429.42529,1
4238.43848,2572.90186,1
4238.726,2543.80957,1
4239.003,2512.94116,1
4239.04932,2397.79932,1
4239.09863,2336.80737,1
4239.269,2424.18042,1
4239.38574,2401.708,1
4239.534,2361.071,1
4239.82275,2407.066,1
4239.92529,2449.95361,1
4240.686,2578.53418,1
4240.96045,2357.31,1
4241.0625,2373.72339,1
4242.416,2482.14648,1
4243.24658,2401.10425,1
4243.955,2448.24927,1
4244.013,2393.04541,1
4244.292,2373.801,1
4244.544,2390.146,1
4245.43945,2457.27759,1
4245.70947,2308.0127,1
4245.996,2454.66748,1
4246.23633,2523.95459,1
4246.26953,2517.076,1
4246.45947,2489.401,1
