Ch1 Amplitude,Ch2 Amplitude,Cluster
4163.87646,2790.73755,1
4172.38525,2599.657,1
4172.72559,2437.487,1
4175.34473,2501.00684,1
4188.32861,2663.73657,1
4197.973,2474.132,1
4206.84,2752.818,1
4209.855,2718.01758,1
4221.58154,2674.23926,1
4225.8623,2630.24341,1
4228.553,2613.85059,1
4233.62939,2705.27148,1
4237.39551,2686.54639,1
4239.06641,2555.437,1
4247.5127,2591.74854,1
4250.39258,2497.69775,1
4256.802,2579.655,1
4260.08,2523.442,1
4263.57275,2715.81738,1
4264.97559,2702.52515,1
4265.51025,2597.66187,1
4265.566,2581.207,1
4269.80762,2707.802,1
4273.158,2463.46265,1
4274.04932,2599.6272,1
4275.257,2606.82935,1
4276.04736,2601.60669,1
4278.23047,2522.79028,1
4278.42139,2490.38745,1
4279.00244,2686.54,1
4279.68457,2621.394,1
4282.819,2589.16821,1
4283.12451,2606.97461,1
4283.158,2848.7146,1
4283.674,2582.83179,1
4284.207,2686.15039,1
4285.58,2632.64771,1
4286.697,2665.09277,1
4288.812,2603.58228,1
4290.64746,2688.44873,1
4291.97852,2716.06421,1
4292.18359,2740.47119,1
4292.33545,2800.50244,1
4293.782,2811.01367,1
4294.33154,2647.54272,1
4294.38232,2666.86743,1
4294.64844,2778.60718,1
4294.99463,2660.12085,1
4295.031,2640.89282,1
4296.14746,2679.728,1
4297.334,2545.901,1
4297.511,2724.44971,1
4297.73926,2543.9895,1
4298.81738,2560.28784,1
4298.98,2715.39014,1
4299.341,2654.12134,1
4299.899,2712.66357,1
4300.667,2709.24658,1
4300.72168,2586.31226,1
4301.59961,2664.25928,1
4301.8877,2753.07764,1
4302.887,2454.54126,1
4303.93262,2695.19019,1
4304.91943,2718.10083,1
4305.55127,2646.22,1
4305.758,2714.09814,1
4305.89,2657.58765,1
4306.64648,2804.1355,1
4307.9,2761.06738,1
4310.54932,2647.29517,1
4310.656,2614.07422,1
4311.14355,2604.59863,1
4311.5083,2726.70337,1
4312.48,2688.91675,1
4312.92334,2733.83472,1
4313.888,2707.678,1
4314.017,2555.99023,1
4315.06836,2798.52173,1
4315.38867,2685.15723,1
4315.8833,2691.74561,1
4316.86475,2597.10254,1
4316.976,2777.8562,1
4317.445,2683.56079,1
4317.748,2643.16919,1
4318.16846,2799.552,1
4319.04834,2651.66846,1
4319.22461,2782.47583,1
4319.65234,2649.6272,1
4320.124,2713.61426,1
4320.34766,2751.08765,1
4320.609,2583.15771,1
4320.82129,2635.31274,1
4320.869,2615.84131,1
4321.28369,2713.487,1
4322.26953,2658.39063,1
4322.569,2656.33,1
4322.65,2669.52466,1
4322.928,2731.33252,1
4323.081,2630.25732,1
4323.151,2778.535,1
4323.904,2659.99756,1
4324.968,2664.53516,1
4324.98242,2545.38184,1
4325.45,2650.85645,1
4325.545,2588.67,1
4326.341,2631.39771,1
4326.41162,2670.212,1
4326.68,2702.58081,1
4327.03467,2615.80029,1
4327.174,2592.99878,1
4327.26367,2705.77954,1
4327.62549,2531.89722,1
4328.578,2578.15356,1
4328.611,2703.88574,1
4328.85742,2681.60376,1
4329.05,2716.44531,1
4329.33643,2691.08057,1
4329.344,2725.99561,1
4329.55029,2617.63623,1
4329.645,2563.438,1
4330.11426,2732.8064,1
4331.53955,2555.588,1
4331.70068,2733.7688,1
4331.74951,2756.05078,1
4331.84668,2558.612,1
4332.275,2673.7373,1
4332.48438,2691.93652,1
4332.736,2596.29224,1
4332.815,2657.936,1
4332.883,2711.07031,1
4333.312,2670.113,1
4333.3667,2753.39063,1
4333.7417,2691.10449,1
4333.921,2675.24585,1
4334.01758,2676.43726,1
4334.166,2712.42847,1
4334.52441,2563.6665,1
4335.22168,2636.87354,1
4335.51953,2729.18945,1
4336.065,2776.717,1
4336.22852,2668.22144,1
4336.30859,2638.9043,1
4337.09766,2596.82935,1
4337.23926,2553.964,1
4337.476,2674.47656,1
4337.549,2756.53638,1
4337.832,2577.65063,1
4338.0166,2792.155,1
4338.079,2677.45947,1
4338.404,2652.86914,1
4338.51074,2775.44629,1
4338.58057,2592.80225,1
4338.812,2574.40137,1
4339.076,2718.31543,1
4339.177,2579.92041,1
4339.65625,2778.08252,1
4339.69141,2860.94385,1
4340.01855,2690.72778,1
4340.27051,2619.46045,1
4340.288,2691.87085,1
4340.71,2825.61157,1
4340.9917,2749.27832,1
4341.23975,2701.176,1
4341.354,2703.49927,1
4341.69043,2728.77148,1
4342.24561,2748.879,1
4342.52539,2632.109,1
4342.552,2503.58716,1
4342.855,2605.574,1
4343.00146,2728.52441,1
4343.175,2662.75342,1
4343.38135,2583.812,1
4343.427,2725.52686,1
4343.47168,2582.22949,1
4344.0083,2757.82227,1
4344.183,2686.54761,1
4344.188,2538.76172,1
4344.555,2785.68726,1
4345.34033,2664.83984,1
4345.537,2518.93066,1
4346.339,2644.84839,1
4346.49561,2648.78149,1
4347.227,2712.5437,1
4347.3916,2620.51782,1
4347.51465,2710.099,1
4347.718,2602.329,1
4348.0293,2639.84619,1
4348.17139,2713.41943,1
4348.2085,2616.75464,1
4348.22266,2549.583,1
4348.363,2648.45361,1
4349.31641,2722.366,1
4350.16846,2616.75464,1
4350.18359,2686.57178,1
4350.60352,2739.446,1
4350.64648,2643.11719,1
4351.338,2761.807,1
4351.42041,2807.70459,1
4352.41162,2610.98047,1
4352.839,2758.243,1
4353.489,2554.811,1
4353.63037,2696.24414,1
4353.915,2568.65112,1
4354.134,2772.29346,1
4354.29053,2702.86865,1
4354.5293,2595.956,1
4354.92725,2871.04688,1
4355.064,2472.27881,1
4355.463,2559.20728,1
4355.46436,2772.04346,1
4355.72852,2696.115,1
4355.813,2779.81421,1
4356.948,2622.20752,1
4357.187,2768.80664,1
4357.256,2815.00684,1
4357.65771,2765.564,1
4357.769,2640.06616,1
4357.784,2616.73584,1
4357.80469,2755.054,1
4358.679,2862.263,1
4358.828,2709.73218,1
4358.85352,2609.08252,1
4358.90137,2497.202,1
4359.475,2677.451,1
4359.59473,2753.75171,1
4359.659,2685.31665,1
4359.99658,2738.09131,1
4360.559,2648.091,1
4360.65332,2776.8147,1
4360.94434,2609.12256,1
4360.95068,2821.88159,1
4361.126,2681.79614,1
4361.245,2587.10278,1
4361.28955,2673.24438,1
4362.33838,2608.88428,1
4362.762,2585.091,1
4362.88232,2690.40625,1
4363.127,2599.8728,1
4363.532,2748.25024,1
4363.533,2647.39551,1
4363.68,2651.75659,1
4363.753,2702.945,1
4363.985,2614.05859,1
4364.0376,2736.1582,1
4364.152,2677.60742,1
4364.236,2679.35669,1
4364.354,2673.13013,1
4364.651,2517.78369,1
4364.656,2759.928,1
4364.692,2778.99487,1
4364.85547,2493.34644,1
4365.02,2721.35278,1
4365.142,2664.78442,1
4365.585,2767.88062,1
4365.641,2695.95728,1
4366.00732,2724.75244,1
4366.138,2742.67261,1
4366.552,2588.75024,1
4366.81641,2662.921,1
4366.908,2539.75781,1
4367.075,2671.25146,1
4367.14,2748.90259,1
4367.365,2609.49756,1
4367.69629,2661.96533,1
4367.73145,2749.21924,1
4367.89648,2730.59033,1
4367.9585,2646.35718,1
4368.121,2550.571,1
4368.665,2732.687,1
4368.77344,2631.12085,1
4368.861,2815.476,1
4369.3374,2610.2915,1
4369.36768,2603.932,1
4369.65137,2576.4126,1
4370.009,2608.79272,1
4370.58545,2760.21143,1
4370.592,2772.31738,1
4370.64941,2654.63,1
4371.091,2477.65259,1
4371.573,2797.3938,1
4371.675,2588.45532,1
4372.49463,2680.80981,1
4372.634,2680.51221,1
4372.758,2715.2627,1
4373.26172,2846.05566,1
4373.442,2437.66626,1
4373.53271,2533.92651,1
4373.604,2664.22485,1
4373.60742,2798.462,1
4373.746,2605.1145,1
4373.961,2707.02563,1
4374.152,2709.08228,1
4374.241,2840.09,1
4374.526,2664.23584,1
4374.70166,2600.64819,1
4374.84961,2731.60034,1
4374.89551,2846.61279,1
4375.266,2694.36426,1
4375.359,2795.59985,1
4375.435,2738.67773,1
4375.819,2717.60986,1
4375.983,2659.23413,1
4376.149,2679.869,1
4376.686,2625.449,1
4376.72852,2644.68872,1
4377.215,2696.38574,1
4377.43164,2775.13965,1
4377.44873,2902.492,1
4377.78174,2867.0896,1
4377.836,2648.374,1
4378.048,2628.2207,1
4378.25537,2677.209,1
4378.43066,2601.67529,1
4378.49756,2734.03735,1
4378.566,2662.837,1
4378.5957,2627.22974,1
4379.11133,2700.8064,1
4379.172,2778.944,1
4379.182,2659.81982,1
4379.264,2785.40137,1
4379.272,2770.27734,1
4379.849,2687.46631,1
4380.079,2739.38062,1
4380.11,2608.23486,1
4380.282,2599.30713,1
4380.34,2683.934,1
4380.3457,2630.07422,1
4380.36,2747.60645,1
4380.50244,2777.77,1
4380.54736,2701.17651,1
4380.57275,2618.02832,1
4380.9375,2718.827,1
4381.003,2763.46338,1
4381.008,2698.252,1
4381.10449,2687.79663,1
4381.219,2709.2876,1
4381.495,2799.137,1
4381.524,2716.555,1
4381.61865,2664.534,1
4381.896,2694.93164,1
4382.00146,2705.0105,1
4382.17969,2695.875,1
4382.279,2704.91455,1
4382.3,2836.127,1
4382.479,2680.44775,1
4382.48242,2789.297,1
4382.61133,2660.04,1
4382.79443,2595.13062,1
4383.145,2627.839,1
4383.199,2880.02441,1
4383.23438,2663.38281,1
4383.431,2747.06934,1
4383.546,2670.2627,1
4383.576,2740.95,1
4384.02637,2663.93652,1
4384.0293,2735.73657,1
4384.08936,2628.12744,1
4384.29541,2684.9563,1
4384.43945,2618.28613,1
4384.512,2764.93262,1
4384.62061,2772.4353,1
4384.79346,2828.457,1
4385.346,2717.64038,1
4385.44873,2687.21021,1
