Ch1 Amplitude,Ch2 Amplitude,Cluster
4470.34,2490.30322,1
4627.288,2599.158,1
4631.609,2667.485,1
4647.202,2600.9248,1
4715.762,2688.542,1
4733.95752,2768.40845,1
4762.46729,2612.94165,1
4767.12939,2742.45947,1
4781.552,2756.71753,1
4783.787,2651.77686,1
4802.09863,2795.51978,1
4802.16943,2682.23315,1
4809.77539,2610.19946,1
4813.065,2712.91846,1
4813.937,2892.10815,1
4814.6543,2652.35962,1
4816.27539,2730.343,1
4826.12,2795.81421,1
4835.636,2862.208,1
4837.12842,2730.3457,1
4841.51,2795.22656,1
4842.4165,2644.27661,1
4843.42432,2842.55859,1
4843.43652,2834.29541,1
4844.80566,2774.30542,1
4847.316,2871.07178,1
4847.898,2744.47534,1
4848.81348,2788.83374,1
4849.07373,2831.77441,1
4853.356,2727.38379,1
4853.3667,2784.72974,1
4855.521,2747.01,1
4857.064,2807.89917,1
4857.966,2784.34619,1
4858.191,2632.09985,1
4859.44971,2708.85278,1
4860.335,2784.089,1
4863.32666,2718.498,1
4865.257,2855.031,1
4866.48145,2743.67773,1
4870.65771,2606.92822,1
4871.79346,2783.699,1
4872.35938,2645.14917,1
4872.515,2787.66943,1
4877.67627,2744.485,1
4878.431,2817.00366,1
4879.35,2832.21338,1
4879.66846,2757.27368,1
4883.288,2793.34448,1
4886.33252,2862.23315,1
4886.738,2849.53662,1
4888.066,2796.71362,1
4888.221,2915.133,1
4888.821,2728.85425,1
4889.16357,2896.04419,1
4891.85449,2795.3186,1
4892.526,2910.93433,1
4893.51758,2747.64648,1
4893.72461,2807.77759,1
4894.34766,2794.68677,1
4896.26074,2740.923,1
4896.857,2809.92017,1
4897.637,2720.47461,1
4898.22363,2804.52637,1
4898.506,2853.47583,1
4899.417,2890.61523,1
4901.651,2853.83,1
4901.83936,2839.30981,1
4901.94775,2723.181,1
4901.982,2789.70044,1
4902.826,2819.74438,1
4904.96875,2734.18628,1
4907.155,2723.1167,1
4907.89551,2748.33716,1
4908.5166,2760.57666,1
4909.73535,2837.70923,1
4910.17725,2815.5752,1
4910.473,2895.5127,1
4910.568,2854.985,1
4911.313,2729.7522,1
4912.91553,2822.70313,1
4913.69971,2830.00757,1
4914.064,2944.75366,1
4914.15137,2770.0647,1
4915.288,2889.56714,1
4915.437,2808.01733,1
4917.104,2676.97632,1
4918.25342,2793.98755,1
4918.83643,2741.4104,1
4918.94727,2924.13281,1
4919.34131,2785.49072,1
4921.373,2728.12866,1
4921.47168,2700.54639,1
4921.99658,2840.2373,1
4921.99951,2910.744,1
4924.091,2978.13159,1
4925.26758,2969.28174,1
4925.658,2643.84277,1
4925.70264,2771.93286,1
4925.743,2712.75171,1
4927.877,2714.90649,1
4928.09326,2669.052,1
4928.338,2870.86,1
4928.90039,2834.345,1
4929.847,2838.06177,1
4930.36,2925.24316,1
4930.47559,2600.21484,1
4930.497,2944.441,1
4930.84863,2740.31421,1
4930.868,2773.71729,1
4930.994,2738.07275,1
4931.49561,2881.1875,1
4931.513,2784.28979,1
4932.3457,2712.34644,1
4933.27,2769.527,1
4933.55029,2690.93555,1
4934.06055,2888.712,1
4934.594,2810.10059,1
4935.877,2742.327,1
4935.87842,2733.58838,1
4935.96,2794.9834,1
4936.015,2810.76831,1
4936.048,2616.03027,1
4936.204,2731.43335,1
4937.235,3017.61426,1
4937.56543,2800.488,1
4937.62842,2862.23242,1
4937.9917,2819.54688,1
4938.02344,2689.00952,1
4938.54346,2903.74023,1
4939.20947,2976.0874,1
4940.01953,2865.856,1
4940.132,2751.237,1
4940.431,2752.21753,1
4941.013,2807.07886,1
4941.559,2712.96362,1
4942.288,2708.44067,1
4942.373,2837.11548,1
4943.156,2773.40063,1
4943.744,2848.06055,1
4944.075,2814.917,1
4944.46,2862.67969,1
4944.472,2775.665,1
4944.696,2644.82324,1
