Ch1 Amplitude,Ch2 Amplitude,Cluster
4341.838,2554.88,1
4698.32568,2659.14526,1
4699.03662,2675.30225,1
4749.658,2556.50977,1
4776.61,2681.9,1
4798.223,2720.19629,1
4811.98926,3015.257,1
4817.405,2846.575,1
4817.529,2851.436,1
4818.715,2742.13745,1
4820.87842,2737.082,1
4821.25244,2831.84766,1
4823.56543,2791.02563,1
4827.3584,2767.16968,1
4827.583,2852.9104,1
4827.856,2733.77173,1
4830.837,2835.81128,1
4833.799,2910.02783,1
4834.93848,2884.87036,1
4835.22754,2946.237,1
4836.1665,2722.058,1
4846.052,2754.90015,1
4848.09668,2819.07227,1
4851.50635,2766.585,1
4852.79639,2768.8103,1
4854.577,2902.26514,1
4854.59,2859.13452,1
4859.08,2879.80933,1
4860.201,2791.83716,1
4860.407,2710.292,1
4861.902,2686.557,1
4864.66943,2642.2417,1
4867.12256,2771.95166,1
4868.92871,2717.35669,1
4870.78662,2959.55225,1
4871.02246,2980.73755,1
4871.71729,2924.539,1
4872.477,2724.00122,1
4874.312,2861.71338,1
4875.279,2721.64844,1
4876.997,2919.99927,1
4877.043,2925.521,1
4880.2417,2947.138,1
4881.05469,2700.36572,1
4881.17334,2863.197,1
4883.28955,2744.93628,1
4883.617,2740.25342,1
4883.8,2757.347,1
4884.604,2887.22388,1
4884.731,2888.44214,1
4887.76758,2769.46167,1
4888.347,2690.183,1
4890.67432,2873.78833,1
4891.41943,2826.66553,1
4892.393,2791.884,1
4893.083,2794.832,1
4893.8374,2878.99023,1
4898.40527,2797.52319,1
4899.726,2866.52637,1
4899.83057,2830.15356,1
4900.788,2790.603,1
4900.945,2841.92236,1
4901.06738,2832.674,1
4905.68652,2754.71,1
4906.785,2824.76929,1
4907.101,2766.60742,1
4907.628,2810.83276,1
4907.669,2828.08423,1
4908.67871,2855.63232,1
4909.7627,2709.301,1
4910.934,2818.88477,1
4911.298,2786.37,1
4911.68848,2791.479,1
4912.509,2775.5957,1
4914.057,2839.53564,1
4914.2793,2916.08569,1
4914.6084,2778.924,1
4915.169,2834.28125,1
4915.45654,2860.581,1
4915.48145,2764.972,1
4916.68555,2727.19653,1
4917.08154,2811.365,1
4917.1416,2867.86938,1
4918.04932,2964.54736,1
4918.191,2815.73315,1
4918.32373,2782.39868,1
4921.05957,2954.339,1
4921.938,2815.56445,1
4921.97656,2616.60327,1
4922.306,2824.84033,1
4922.394,2842.97632,1
4922.63525,2820.88037,1
4923.37061,2801.845,1
4924.04932,2790.97583,1
4925.276,2935.22241,1
4925.569,2858.348,1
4925.62061,2794.61279,1
4926.66943,2970.66431,1
4927.649,2696.157,1
4928.71338,2740.53516,1
4928.94238,2730.619,1
4929.153,2767.848,1
4929.88428,2872.514,1
4930.26758,2925.759,1
4930.685,2851.19849,1
4932.27148,2783.35938,1
4933.377,2768.56738,1
4933.73926,2774.784,1
4935.61133,2921.52466,1
4936.02246,2790.654,1
4936.12744,2767.862,1
4937.25342,2863.72827,1
4937.353,2891.90527,1
4937.863,2820.35083,1
4938.10547,2857.61719,1
4938.59131,2624.44043,1
4938.739,2951.72217,1
4939.17041,2834.00244,1
4939.516,2834.75952,1
4939.843,2856.49561,1
4939.92041,2792.9856,1
4940.876,2839.44263,1
4940.97461,2892.65381,1
4940.984,2939.1936,1
4941.297,3106.31641,1
4941.64063,2807.642,1
4942.36865,2901.63257,1
4942.8374,2755.00464,1
4942.9707,2890.78027,1
4943.34375,2902.26318,1
4943.54248,2934.986,1
4944.66,2856.41479,1
4945.832,2775.16724,1
4945.845,2771.07056,1
4945.89941,2723.31787,1
4946.06055,2737.40552,1
4946.301,2919.632,1
4947.116,2854.02661,1
4947.438,2734.17456,1
4948.21631,2850.32129,1
4948.4873,2809.82153,1
4948.525,2879.47681,1
4948.756,2908.37646,1
4949.429,2903.65454,1
4949.68262,2699.1145,1
4949.72754,2812.08667,1
4949.893,2762.86963,1
4951.256,2988.21216,1
4951.57031,2822.92432,1
4951.895,2838.37573,1
4951.96729,2928.65356,1
4952.084,2945.69556,1
4952.264,2840.005,1
4952.86475,2883.887,1
4952.88428,2726.61084,1
4952.96533,2757.91284,1
4953.27441,2908.93726,1
4954.16846,2955.22534,1
4954.667,2893.402,1
4954.90039,2871.35571,1
4955.239,2921.18677,1
4955.549,2744.39746,1
4955.813,2839.07886,1
4956.677,2811.913,1
4957.07568,2842.89648,1
4957.48145,2811.55933,1
4957.70557,2814.15747,1
4957.78027,2964.72534,1
4958.14648,2687.51636,1
4958.412,2962.83228,1
4958.487,2793.445,1
4958.76025,2836.71533,1
4959.1333,2867.79541,1
4960.07227,3027.18481,1
4960.11328,2939.27734,1
4960.212,2785.27954,1
4961.07471,2860.50171,1
4961.17627,2914.374,1
4961.229,2866.55371,1
4961.23242,2925.74683,1
4961.429,2953.60718,1
4961.92432,2853.74854,1
4962.20947,2826.31152,1
4962.358,2867.13257,1
4962.501,2976.47437,1
4962.88525,2924.04883,1
4963.13525,2926.60669,1
4963.14453,2897.42383,1
4963.439,2852.625,1
4963.44629,2690.16968,1
4963.7666,2912.76831,1
4964.06543,2802.851,1
4964.247,2846.93237,1
4965.324,2783.52637,1
4965.71875,2927.50146,1
4966.338,2902.89453,1
4966.52637,2890.63086,1
4967.12256,2751.26221,1
4967.67041,2936.29883,1
4967.82959,2949.18921,1
4968.313,2811.09277,1
4968.385,2733.42944,1
4968.398,2873.70386,1
4968.509,2751.46582,1
4968.587,2970.593,1
4968.62842,2788.581,1
4968.74,2891.89624,1
4969.895,2756.384,1
4969.952,2988.99487,1
4970.00146,2872.45972,1
4970.358,2808.85986,1
4970.656,3076.74,1
4971.15625,2770.05029,1
4971.433,2922.24438,1
4971.58838,2827.24341,1
4971.828,2894.904,1
4971.89941,2856.44922,1
4971.97363,2893.333,1
4972.033,2930.51538,1
4972.052,2939.63062,1
4972.256,2764.62573,1
4972.37256,2838.80444,1
4972.654,2880.86816,1
4972.796,2832.008,1
4972.81152,2760.32031,1
4972.862,2804.343,1
4972.898,2863.32886,1
4973.07373,2898.62036,1
4973.084,3009.59131,1
4973.13867,2966.29858,1
4973.42432,2781.29761,1
4973.47559,2739.79,1
4973.57,2738.07764,1
4973.84668,2977.02026,1
4973.929,2875.70142,1
4974.05,2890.53662,1
4974.091,2761.665,1
4974.206,2849.21753,1
4975.38232,2939.46045,1
4975.55957,2844.49219,1
4976.061,2920.18213,1
4976.075,2810.92065,1
4976.60449,2991.64917,1
4976.676,2807.72827,1
4976.904,2857.05127,1
4977.11035,2731.99316,1
