Ch1 Amplitude,Ch2 Amplitude,Cluster
3549.253,2084.278,1
4033.12378,2512.83228,1
4066.82446,2596.50073,1
4105.95654,2593.55054,1
4106.418,2714.77734,1
4114.7085,2614.75586,1
4117.603,2533.82568,1
4118.54248,2555.07886,1
4129.195,2592.626,1
4132.1123,2551.68677,1
4141.25732,2652.9082,1
4141.47461,2565.14136,1
4147.664,2624.82324,1
4151.56738,2711.56836,1
4166.43555,2616.35864,1
4166.93262,2500.90332,1
4169.55371,2649.37549,1
4170.55566,2631.91138,1
4171.864,2661.19067,1
4172.53564,2574.11743,1
4173.37939,2712.34424,1
4174.02344,2710.56421,1
4175.378,2561.44873,1
4176.417,2564.909,1
4176.76025,2679.77539,1
4179.31738,2661.41528,1
4180.31445,2630.11182,1
4182.927,2651.38062,1
4184.64551,2517.06958,1
4187.554,2764.88867,1
4188.957,2534.22217,1
4189.36035,2616.73853,1
4189.423,2495.60986,1
4189.486,2544.02148,1
4190.09668,2557.27881,1
4190.17041,2540.70264,1
4190.683,2561.03125,1
4191.04346,2454.34082,1
4191.63037,2638.62549,1
4191.943,2733.73145,1
4192.962,2499.01636,1
4193.51,2643.59253,1
4194.583,2750.55981,1
4194.856,2705.06958,1
4195.489,2521.32471,1
4196.657,2615.15552,1
4196.79,2637.1355,1
4196.844,2756.279,1
4196.941,2703.54028,1
4197.013,2633.19556,1
4197.072,2496.559,1
4201.743,2518.35,1
4202.03174,2459.72729,1
4204.546,2761.771,1
4204.676,2526.93433,1
4205.71729,2421.40186,1
4206.7666,2807.3833,1
4207.5835,2663.63745,1
4208.19629,2569.4043,1
4208.40674,2759.352,1
4209.87354,2576.627,1
4209.94629,2583.655,1
4210.27,2537.7937,1
4210.55225,2680.9834,1
4212.034,2653.866,1
4212.18066,2726.80737,1
4212.6665,2447.83765,1
4214.252,2532.518,1
4214.314,2708.66943,1
4215.6,2672.31348,1
4215.668,2772.41968,1
4216.28369,2648.851,1
4217.70264,2600.778,1
4217.976,2636.37,1
4220.33,2758.17578,1
4220.5415,2714.81421,1
4223.08,2684.91846,1
4223.3,2537.26636,1
4223.42529,2694.81982,1
4223.464,2620.92114,1
4223.987,2645.767,1
4224.9624,2628.18921,1
4225.047,2659.024,1
4225.463,2556.81445,1
4225.61133,2601.429,1
4225.701,2540.1582,1
4227.005,2620.238,1
4227.43262,2671.83618,1
4227.69,2537.77222,1
4228.40967,2583.69849,1
4228.53955,2619.57837,1
4228.949,2654.67944,1
4229.57861,2509.05933,1
4231.27344,2678.26025,1
4231.517,2478.94751,1
4231.996,2676.34863,1
4232.346,2620.80225,1
4232.42334,2513.42578,1
4232.50732,2490.665,1
4232.798,2722.66064,1
4233.00439,2636.80762,1
4233.631,2688.8418,1
4233.95,2602.27734,1
4234.438,2705.03833,1
4234.452,2578.32153,1
4234.995,2493.33569,1
4235.181,2612.65479,1
4235.375,2552.75244,1
4235.5835,2610.80176,1
4235.936,2599.842,1
4236.348,2695.86,1
4236.86,2749.58618,1
4237.65137,2575.82861,1
4237.77246,2574.733,1
4238.337,2631.40234,1
4238.50732,2573.64355,1
4239.04,2640.22827,1
4239.4,2623.53,1
4239.53857,2660.89282,1
4240.51855,2588.719,1
4241.17773,2685.295,1
4241.44727,2617.309,1
4242.446,2743.18848,1
4242.75537,2608.17,1
4242.88965,2551.73022,1
4243.262,2635.52881,1
4243.343,2587.896,1
4243.35449,2626.679,1
4243.92432,2567.57764,1
4243.97363,2700.94019,1
4245.49268,2569.271,1
4245.62354,2643.09546,1
4245.81738,2524.944,1
4246.70752,2764.15527,1
4246.925,2719.287,1
4247.128,2588.19458,1
4247.30127,2655.522,1
4247.59668,2521.96143,1
4248.07031,2629.55444,1
4248.153,2558.72339,1
4248.82471,2530.93481,1
4248.90771,2779.79346,1
4249.21729,2601.216,1
4249.339,2627.386,1
4249.40967,2666.62817,1
4249.80664,2590.45581,1
4249.887,2638.496,1
4251.32227,2698.4043,1
4252.2915,2714.3186,1
4252.47656,2532.447,1
4252.796,2698.85449,1
4252.835,2569.81616,1
4252.97754,2696.81836,1
4253.04932,2639.99219,1
4253.107,2572.88843,1
4253.516,2607.10571,1
4253.88672,2672.77783,1
4254.2627,2543.848,1
4254.3623,2750.8916,1
4254.469,2680.62573,1
4254.69971,2627.28955,1
4254.737,2657.88867,1
4254.87646,2562.12,1
4255.212,2650.282,1
4255.26855,2770.2666,1
4255.30029,2651.1106,1
4255.505,2678.22363,1
4256.097,2519.93115,1
4257.135,2533.51,1
4257.53,2567.59131,1
4257.53467,2596.11719,1
4257.71,2593.12622,1
4258.799,2688.43164,1
4258.966,2718.6748,1
4259.522,2490.97168,1
4259.727,2639.24219,1
4259.743,2651.96973,1
4259.881,2676.74146,1
4260.04053,2619.83228,1
4260.221,2842.179,1
4260.43457,2723.847,1
4260.44,2726.70728,1
4260.731,2558.94482,1
4260.83838,2635.51685,1
4260.976,2677.864,1
4261.376,2686.30444,1
4261.797,2652.622,1
4261.855,2542.01025,1
4262.217,2652.5,1
4262.49756,2525.86548,1
4262.499,2556.87866,1
4262.52344,2618.20825,1
4262.62158,2565.09082,1
4263.14355,2579.34937,1
4264.44727,2760.249,1
4264.541,2533.0542,1
4264.90625,2584.956,1
4265.31,2555.44849,1
4265.34,2690.66455,1
4265.478,2662.37915,1
4265.622,2700.47168,1
4265.93945,2669.56152,1
4266.011,2671.48438,1
4266.292,2629.60815,1
