Ch1 Amplitude,Ch2 Amplitude,Cluster
4136.45361,2456.40112,1
4306.883,2626.55615,1
4314.9,2519.44067,1
4323.22754,2715.60571,1
4325.94727,2566.28882,1
4326.544,2648.83545,1
4329.423,2562.27417,1
4331.702,2599.165,1
4345.812,2605.67773,1
4348.146,2606.77832,1
4348.44141,2592.32715,1
4355.69971,2671.65283,1
4358.47,2635.09668,1
4367.60547,2721.20825,1
4373.649,2653.1958,1
4374.6084,2679.68726,1
4380.997,2671.82275,1
4386.224,2664.537,1
4389.702,2559.61572,1
4391.51172,2575.057,1
4392.45752,2599.555,1
4392.489,2603.567,1
4395.57764,2608.36157,1
4396.827,2625.033,1
4400.87549,2579.878,1
4402.91943,2455.97,1
4403.49365,2523.71851,1
4404.97949,2591.94238,1
4411.55,2618.88354,1
4413.346,2497.05981,1
4414.831,2638.891,1
4417.58154,2641.10352,1
4418.5376,2682.36377,1
4419.24951,2554.27539,1
4419.805,2643.73926,1
4420.34766,2466.16138,1
4420.375,2774.286,1
4420.722,2521.00854,1
4422.27539,2569.84253,1
4423.537,2680.2666,1
4423.623,2597.12134,1
4424.43652,2505.20337,1
4425.66846,2639.46118,1
4425.87646,2628.73364,1
4426.057,2492.49146,1
4426.063,2557.83862,1
4426.304,2469.93823,1
4426.32,2639.42383,1
4430.01855,2721.35278,1
4430.47852,2612.146,1
4432.11133,2682.66064,1
4432.14648,2691.382,1
4432.162,2431.21118,1
4433.40771,2635.08228,1
4433.736,2679.53418,1
4434.81055,2685.267,1
4435.52344,2663.43213,1
4438.107,2603.52686,1
4439.103,2566.763,1
4440.456,2733.68359,1
4441.32,2458.616,1
4441.641,2490.84277,1
4441.69141,2675.025,1
4442.29541,2622.20728,1
4442.59668,2674.61328,1
4443.6333,2577.22754,1
4444.209,2644.82642,1
4446.38867,2537.25415,1
4446.45459,2442.88672,1
4447.30859,2758.45923,1
4447.32129,2612.16626,1
4448.12842,2560.63,1
4448.4,2533.16821,1
4449.03271,2569.19116,1
4449.047,2635.88379,1
4449.616,2654.045,1
4450.92,2586.65356,1
4450.92041,2496.46484,1
4451.87,2663.80859,1
4452.209,2606.75073,1
4452.639,2757.19727,1
4452.92529,2595.82031,1
4452.97949,2619.91577,1
4453.86572,2627.78467,1
4454.52539,2759.08716,1
4455.4707,2515.617,1
4455.69727,2549.263,1
4457.91943,2544.22363,1
4458.776,2705.64575,1
4459.56738,2631.917,1
4459.962,2567.817,1
4460.3584,2748.14185,1
4460.55,2546.86279,1
4460.64648,2694.78247,1
4460.704,2642.31519,1
4461.18945,2701.549,1
4461.22168,2542.25757,1
4461.542,2735.31079,1
4461.657,2590.909,1
4461.727,2518.31641,1
4461.90869,2560.924,1
4462.919,2607.72021,1
4463.56348,2606.77222,1
4463.65,2644.473,1
4463.969,2658.84229,1
4464.04834,2523.41626,1
4464.31836,2639.48877,1
4464.656,2677.89624,1
4465.061,2614.267,1
4465.67725,2628.00317,1
4466.08,2577.015,1
4466.121,2703.43066,1
4466.182,2674.999,1
4466.787,2501.926,1
4467.8335,2585.02417,1
4470.56348,2733.303,1
4470.779,2709.34351,1
4471.29,2646.93066,1
4472.27539,2597.91528,1
4472.29248,2741.323,1
4472.954,2595.748,1
4473.17725,2588.89233,1
4473.188,2641.19263,1
4473.46045,2664.05518,1
4473.522,2670.08081,1
4473.652,2837.966,1
4473.93359,2615.519,1
4474.082,2505.6355,1
4474.136,2609.26953,1
4474.8584,2682.51123,1
4475.69531,2435.82959,1
4475.789,2638.087,1
4475.887,2585.753,1
4476.21143,2527.675,1
4476.33447,2709.06152,1
4477.051,2672.94653,1
4477.27832,2528.52271,1
4477.334,2748.79565,1
4477.359,2609.86841,1
4477.38574,2641.55859,1
4477.522,2643.46582,1
4477.53174,2735.319,1
4478.26953,2607.10352,1
4478.373,2705.85132,1
4479.42139,2629.49658,1
4479.486,2587.63452,1
4479.54736,2645.598,1
4479.90674,2679.4668,1
4480.69141,2703.08521,1
4481.282,2451.42163,1
4481.47168,2658.587,1
4481.75928,2598.87744,1
4483.082,2654.347,1
4483.224,2554.691,1
4483.492,2576.49683,1
4483.921,2798.44751,1
4484.09033,2638.222,1
4484.116,2703.52417,1
4484.14648,2745.35059,1
4484.83,2578.70386,1
4484.851,2560.70068,1
4485.42871,2670.51538,1
4486.83936,2542.56274,1
4488.193,2658.85864,1
4488.38428,2800.09644,1
4488.478,2754.22363,1
4488.799,2651.55127,1
4489.05225,2688.89917,1
4489.23,2721.03149,1
4489.244,2709.91016,1
4489.42041,2600.24048,1
4489.61,2740.68774,1
4489.692,2618.2854,1
4489.835,2668.42871,1
4490.04639,2682.44238,1
4490.333,2639.43628,1
4490.772,2699.51685,1
4490.998,2633.27612,1
4491.152,2767.91064,1
4491.36035,2747.0647,1
4492.1084,2588.87256,1
4492.14844,2431.579,1
4492.4873,2455.24268,1
4492.64355,2563.669,1
4493.1665,2713.91138,1
4493.63428,2601.88452,1
4494.00342,2631.01074,1
4494.72559,2799.096,1
4494.74463,2693.05786,1
4494.90039,2625.38159,1
4494.982,2661.64771,1
4495.3335,2709.68018,1
4495.48975,2617.11572,1
4495.49072,2666.35229,1
4495.52148,2740.00684,1
4496.032,2464.76221,1
4496.49,2490.36377,1
4496.631,2746.92529,1
4496.65771,2745.65381,1
4497.36,2725.25439,1
4497.36963,2618.43457,1
4497.47949,2608.83643,1
4497.527,2671.30151,1
4497.728,2571.96948,1
4497.759,2522.852,1
4498.40771,2728.65674,1
4498.578,2662.99878,1
4498.83447,2716.62939,1
4498.949,2758.069,1
4499.031,2731.862,1
4499.03662,2754.35327,1
4499.45752,2620.58521,1
4499.61475,2576.66846,1
4499.994,2604.7937,1
4500.019,2555.33032,1
4500.04,2645.33545,1
4500.226,2408.56348,1
4500.37,2615.202,1
4500.53174,2647.44629,1
4500.814,2613.94971,1
4500.913,2589.71948,1
4501.009,2701.45313,1
4502.274,2573.66113,1
4502.46143,2553.461,1
4502.72363,2573.276,1
4502.82129,2697.85034,1
4502.8335,2590.99,1
4503.3584,2707.852,1
4503.374,2579.044,1
4503.63867,2506.37866,1
4503.64,2646.824,1
4503.82568,2687.79126,1
4504.492,2779.83643,1
4505.1084,2517.54663,1
4505.365,2754.854,1
4505.54639,2667.364,1
4505.90869,2583.3335,1
4506.587,2431.36572,1
4506.629,2578.786,1
4506.763,2484.10156,1
4507.006,2822.8,1
4507.14941,2617.66675,1
4507.30127,2814.02417,1
4507.37646,2747.00317,1
4507.6377,2687.72852,1
4507.693,2733.015,1
4508.05469,2736.85718,1
4508.348,2656.11353,1
4508.45264,2549.50586,1
4508.62744,2650.92676,1
4508.958,2637.702,1
4508.996,2636.28931,1
4509.325,2565.61719,1
4509.581,2683.353,1
4509.5957,2767.089,1
4510.16455,2679.717,1
4510.257,2645.354,1
4510.635,2726.79272,1
4510.6543,2654.55884,1
4510.931,2619.52612,1
4511.05127,2780.953,1
4511.18555,2582.38965,1
4512.26758,2547.68872,1
4512.295,2708.988,1
4512.30566,2678.15918,1
4512.76025,2912.44043,1
4513.95557,2666.54248,1
4513.97168,2664.654,1
4514.022,2594.065,1
4514.13574,2512.404,1
4514.15527,2694.6792,1
4514.32959,2735.09961,1
4514.37158,2517.31421,1
4514.448,2642.82471,1
4514.911,2615.219,1
4514.942,2578.46582,1
4515.19238,2680.351,1
4515.30273,2710.14917,1
4515.381,2736.627,1
4515.575,2703.698,1
4515.787,2626.36743,1
4515.94434,2724.80884,1
4516.40234,2578.463,1
4516.58,2441.26416,1
4516.81152,2598.182,1
4516.99,2686.24561,1
4517.032,2646.60449,1
4517.269,2724.05957,1
4517.304,2570.91919,1
4517.397,2699.64917,1
4517.4,2673.9165,1
4517.76563,2604.00537,1
4517.81,2712.51025,1
4518.112,2622.796,1
4518.194,2622.33447,1
4518.21143,2626.77246,1
4518.291,2869.92285,1
4518.333,2620.25366,1
4518.448,2620.05859,1
4518.48145,2781.34644,1
4519.228,2585.50537,1
4519.27344,2560.46948,1
4519.373,2609.11572,1
4519.47949,2526.89771,1
4519.657,2741.56934,1
4519.745,2635.108,1
4519.944,2787.35864,1
4519.949,2740.59424,1
4520.039,2626.73218,1
4520.335,2717.32959,1
4520.58545,2698.66748,1
4520.64258,2614.2998,1
4520.696,2591.3064,1
4520.874,2610.14844,1
4520.88428,2816.762,1
4521.052,2672.23926,1
4521.20654,2790.62939,1
4521.30762,2789.03613,1
4521.546,2721.14648,1
4521.797,2609.79126,1
4522.10938,2678.20068,1
4522.209,2630.247,1
4522.564,2578.812,1
4522.91553,2612.438,1
4523.073,2668.049,1
4523.10254,2538.84619,1
4523.163,2615.40552,1
4523.31543,2667.76221,1
4523.44727,2657.815,1
4523.45654,2696.407,1
4523.547,2722.60034,1
4523.87158,2782.54932,1
4523.896,2795.23828,1
4524.01465,2615.15845,1
4524.56836,2651.859,1
4524.616,2778.42163,1
4524.79834,2605.08252,1
4525.39355,2599.62769,1
4525.677,2773.79,1
4526.15527,2658.36328,1
4526.18652,2628.93262,1
4526.277,2550.84839,1
4526.326,2610.45581,1
4526.53174,2650.64575,1
4526.54834,2705.815,1
4526.77344,2680.52954,1
4527.111,2446.00757,1
4527.2793,2572.33154,1
4527.413,2707.73047,1
4527.4873,2684.38428,1
4527.641,2666.96655,1
4528,2646.37085,1
4528.36328,2614.77783,1
4528.552,2715.87769,1
4528.632,2704.49365,1
4529.109,2686.72144,1
4529.20752,2670.09839,1
4529.258,2599.539,1
4529.39941,2694.45972,1
4529.567,2622.76245,1
4529.77051,2817.857,1
4530.015,2530.27979,1
4530.05,2572.27246,1
4530.598,2672.62646,1
4530.85742,2702.165,1
4531.13525,2755.00928,1
4531.155,2700.04443,1
4531.21729,2669.74731,1
4531.50146,2765.90356,1
4531.54541,2712.329,1
4531.89844,2560.658,1
4532.05273,2601.01782,1
4532.21729,2577.67383,1
4532.23242,2734.61719,1
4532.28857,2693.01538,1
4532.86328,2689.02026,1
4533.09326,2522.96924,1
4533.20557,2609.36987,1
4533.296,2583.65625,1
4533.42041,2590.5332,1
4533.48535,2691.88086,1
4533.49854,2548.55933,1
4533.5,2645.3374,1
4533.52441,2681.25024,1
4533.587,2577.412,1
4533.63574,2705.03564,1
4533.6416,2639.35913,1
4533.657,2604.30566,1
4533.807,2741.70752,1
4533.852,2672.16968,1
4534.07568,2536.985,1
4534.216,2720.81128,1
4534.389,2644.26416,1
4534.82471,2656.1604,1
4534.937,2657.00244,1
4535.037,2628.16626,1
4535.064,2720.804,1
4535.651,2535.124,1
4535.694,2779.66235,1
4535.73242,2709.1543,1
4536.21826,2623.4502,1
4536.255,2620.97852,1
4536.59033,2851.28467,1
4536.91748,2733.82886,1
4537.11865,2632.84253,1
4537.166,2613.85571,1
4537.2334,2707.729,1
4537.23926,2765.53687,1
4537.2627,2718.47217,1
4537.42334,2610.57642,1
4537.437,2741.028,1
4537.63037,2697.40723,1
4537.67041,2822.75732,1
4537.70264,2756.20313,1
4537.78,2802.28955,1
4537.875,2868.294,1
4537.971,2712.362,1
4537.9873,2773.627,1
4538.298,2581.50171,1
4538.42,2542.96973,1
4538.59473,2734.31226,1
4538.7085,2666.215,1
4538.797,2641.27124,1
4538.797,2715.99023,1
4538.85742,2466.982,1
4539.012,2612.973,1
4539.028,2540.34351,1
4539.05469,2650.73071,1
4539.4126,2715.18921,1
4539.56445,2451.096,1
4539.58545,2618.86743,1
4540.051,2622.53784,1
4540.06152,2655.07227,1
4540.1167,2755.114,1
4540.13525,2654.90723,1
4540.4707,2659.76855,1
4540.6626,2489.05176,1
4540.703,2616.96362,1
4540.91162,2833.074,1
4540.991,2658.17676,1
4541.069,2565.66919,1
4541.45654,2590.69727,1
4541.57,2756.551,1
4541.82373,2474.95313,1
4541.9043,2769.722,1
4542.087,2693.47144,1
4542.151,2698.5354,1
4542.25635,2731.062,1
4542.47754,2665.34326,1
4542.70557,2662.168,1
4543.393,2655.33618,1
4543.39453,2502.801,1
4543.60547,2704.62451,1
4543.627,2627.23047,1
4543.735,2606.15527,1
4543.944,2553.574,1
4543.98535,2699.19043,1
4544.14355,2626.93262,1
4544.1875,2586.04443,1
4544.259,2631.57178,1
4544.387,2735.36768,1
4544.403,2732.90454,1
4544.415,2576.57056,1
4544.417,2619.82959,1
4544.448,2499.01636,1
4544.47,2611.55737,1
4544.70361,2650.17676,1
4544.7417,2548.58862,1
4544.76758,2747.9314,1
4544.95361,2601.22876,1
4545.00244,2690.0376,1
4545.007,2718.58447,1
4545.694,2530.74829,1
4545.91943,2813.19214,1
4546.11572,2602.68384,1
4546.123,2668.44,1
4546.137,2739.549,1
4546.175,2618.9104,1
4546.40869,2750.843,1
4546.68066,2593.52539,1
4546.74,2742.675,1
4546.972,2603.52832,1
4547.041,2675.83276,1
4547.12549,2540.50635,1
4547.628,2652.79419,1
4547.6333,2716.53955,1
4547.68164,2739.152,1
4547.70752,2673.066,1
4547.728,2764.87671,1
4547.767,2672.41,1
4547.788,2783.31836,1
4548.21973,2647.0918,1
4548.29736,2662.29785,1
4548.78467,2682.53,1
4548.82129,2740.76416,1
4548.95068,2615.608,1
4548.99,2724.11182,1
4548.99854,2680.004,1
4549.21143,2736.13159,1
4549.326,2641.99219,1
4549.37842,2706.54175,1
4549.50439,2610.74243,1
4549.6167,2693.22925,1
4549.711,2644.846,1
4549.92627,2661.97925,1
4549.942,2605.12939,1
4549.95,2540.652,1
4550.018,2577.36914,1
4550.257,2542.103,1
4550.26465,2543.50317,1
4550.364,2717.00415,1
4550.378,2630.46655,1
4550.41455,2887.04663,1
4550.5957,2752.08569,1
4550.69531,2613.07446,1
4550.782,2678.80078,1
4550.79346,2681.30322,1
4550.86328,2611.309,1
4550.872,2565.791,1
4550.967,2616.39917,1
4550.96973,2733.77563,1
4551.07227,2541.3186,1
4551.41,2715.323,1
4551.444,2612.14136,1
4551.486,2641.60913,1
4551.61,2638.73462,1
4551.84766,2670.79785,1
4552.058,2584.355,1
4552.06152,2671.86475,1
4552.78,2676.37158,1
4553.21631,2642.87964,1
4553.51074,2665.39453,1
4553.60449,2705.64429,1
4553.69336,2636.55347,1
4553.7085,2781.381,1
4553.71436,2620.311,1
