Ch1 Amplitude,Ch2 Amplitude,Cluster
4189.515,2688.65063,1
4193.21631,2450.72559,1
4216.17432,2422.119,1
4220.73145,2473.97656,1
4231.572,2481.68237,1
4235.834,2483.41,1
4239.123,2533.84229,1
4243.369,2446.49976,1
4254.2207,2509.35767,1
4267.73047,2472.13037,1
4268.325,2429.00122,1
4271.96,2591.148,1
4275.0293,2543.89941,1
4275.131,2446.43384,1
4275.93555,2621.304,1
4276.67432,2598.54077,1
4278.59961,2610.89258,1
4279.233,2618.01,1
4283.45068,2538.387,1
4283.789,2483.7334,1
4285.382,2519.21533,1
4285.77734,2582.363,1
4285.99365,2417.38062,1
4286.866,2511.2605,1
4292.121,2569.56177,1
4292.37256,2762.95142,1
4294.018,2640.482,1
4297.1167,2760.23022,1
4298.83936,2641.2395,1
4299.96143,2611.80444,1
4300.34326,2613.91455,1
4302.119,2580.17749,1
4304.21826,2479.146,1
4304.82129,2666.21021,1
4309.957,2491.06885,1
4311.7666,2523.048,1
4312.53271,2456.88916,1
4316.63574,2456.35547,1
4317.48438,2672.6748,1
4317.856,2601.23633,1
4318.24561,2562.13257,1
4321.69531,2489.32642,1
4325.975,2394.65283,1
4328.406,2597.00732,1
4328.46826,2678.502,1
4329.232,2550.53662,1
4329.809,2407.59619,1
4332.82861,2661.59351,1
4333.672,2514.64355,1
4333.868,2642.85425,1
4333.95947,2525.53,1
4334.69434,2585.02783,1
4335.508,2557.81543,1
4336.13428,2660.27417,1
4336.56152,2559.02124,1
4336.82861,2562.09668,1
4338.97,2550.79785,1
4339.387,2513.21338,1
4339.68652,2617.777,1
4339.724,2620.5376,1
4340.89453,2576.59058,1
4341.077,2609.59937,1
4341.76465,2521.86816,1
4342.01172,2474.63745,1
4342.937,2542.57324,1
4344.159,2402.769,1
4345.22461,2582.50171,1
4346.49,2561.49463,1
4346.923,2776.5813,1
4347.413,2447.65063,1
4350.07861,2497.96484,1
4350.13232,2719.04858,1
4350.2583,2567.18823,1
4350.3916,2518.9165,1
4350.43066,2635.548,1
4351.72168,2517.944,1
4352.2666,2522.83765,1
4353.25,2561.75244,1
4353.518,2600.431,1
4353.734,2543.78,1
4355.179,2582.34937,1
4356.493,2590.98682,1
4357.29443,2429.25122,1
4357.36865,2596.63184,1
4357.77148,2510.01929,1
4357.79248,2521.48242,1
4358.63867,2565.81226,1
4359.83447,2542.70776,1
4360.31641,2539.44214,1
4360.488,2566.13184,1
4361.685,2469.69482,1
4362.099,2623.743,1
4362.9834,2428.37451,1
4364.045,2651.86182,1
4365.18457,2455.59546,1
4365.233,2703.279,1
4365.87549,2542.46851,1
4367.981,2596.72583,1
4368.24268,2591.3147,1
4369.411,2775.92041,1
4369.84375,2447.71973,1
4370.429,2587.8374,1
4370.5127,2553.80884,1
4370.58643,2514.44287,1
4370.60449,2432.881,1
4370.655,2704.103,1
4371.3623,2626.56543,1
4371.45166,2667.56714,1
4373.78174,2618.48315,1
4374.566,2684.9165,1
4374.631,2699.03735,1
4374.724,2606.568,1
4375.18848,2545.256,1
4376.361,2632.1875,1
4376.37744,2673.33,1
4377.11035,2473.065,1
4377.14551,2702.95483,1
4377.286,2547.48242,1
4377.479,2578.51563,1
4378.095,2575.491,1
4378.10742,2509.575,1
4378.14551,2756.979,1
4378.35938,2641.78564,1
4378.36768,2526.82935,1
4378.447,2610.1145,1
4379.06348,2660.94,1
4379.523,2519.62769,1
4380.157,2505.764,1
4380.184,2682.96875,1
4380.4165,2566.7,1
4380.978,2681.69849,1
4380.984,2550.34448,1
4380.995,2621.19849,1
