Ch1 Amplitude,Ch2 Amplitude,Cluster
3810.77783,2394.89063,1
4050.80469,2442.27979,1
4061.66235,2531.07617,1
4063.57739,2592.98022,1
4071.134,2515.09937,1
4073.87451,2493.66187,1
4078.85278,2459.33862,1
4081.33057,2476.96484,1
4083.645,2519.704,1
4084.528,2622.39819,1
4085.60547,2474.57959,1
4086.81079,2482.48975,1
4092.06226,2530.69067,1
4092.88672,2430.02979,1
4095.12329,2471.068,1
4095.15674,2512.81787,1
4100.447,2691.55444,1
4100.96436,2504.08618,1
4105.46875,2611.03564,1
4106.32275,2427.15283,1
4106.685,2500.14429,1
4109.80029,2492.64722,1
4110.82568,2666.493,1
4114.072,2614.77759,1
4114.152,2617.67651,1
4116.101,2431.35669,1
4116.47852,2612.8772,1
4117.481,2533.92725,1
4118.44531,2619.6438,1
4118.807,2623.21582,1
4119.301,2459.37036,1
4119.42627,2733.444,1
4120.019,2521.89453,1
4120.239,2670.83032,1
4120.31738,2569.93555,1
4120.627,2539.84546,1
4121.399,2502.09351,1
4121.83447,2589.205,1
4122.16943,2620.66,1
4122.329,2700.36182,1
4122.79,2592.285,1
4123.44727,2556.9978,1
4123.48975,2442.31519,1
4126.16748,2559.635,1
4126.76074,2619.592,1
4126.819,2676.03687,1
4126.982,2648.3147,1
4127.238,2597.62769,1
4127.94971,2683.79688,1
4128.783,2731.36,1
4129.17,2677.216,1
4129.41748,2589.51245,1
4129.456,2726.54468,1
4130.07568,2527.012,1
4130.95752,2542.219,1
4131.525,2677.60327,1
4131.851,2535.423,1
4134.02,2589.5127,1
4134.91846,2497.486,1
4136.078,2458.59033,1
4136.87939,2659.16528,1
4137.10742,2631.408,1
4138.51758,2509.05737,1
4138.73145,2707.76123,1
4138.791,2713.05371,1
4139.12,2567.90137,1
4139.21826,2462.35352,1
4140.198,2562.555,1
4141.814,2597.322,1
4142.12061,2548.417,1
4144.02344,2607.1394,1
4144.031,2644.01,1
4144.98145,2569.93262,1
4146.24561,2496.37744,1
4147.48047,2560.482,1
4148.01172,2604.7146,1
4148.31641,2575.394,1
4148.598,2610.50586,1
4148.895,2561.93677,1
4151.20068,2475.222,1
4151.61328,2579.015,1
4152.234,2507.83179,1
4152.76367,2596.66138,1
4153.568,2664.80273,1
4153.86768,2549.90845,1
4154.601,2590.08862,1
4154.63,2677.06372,1
4154.774,2644.157,1
4155.941,2496.67822,1
4155.99072,2673.786,1
4156.347,2542.698,1
4157.84229,2497.205,1
4158.02734,2687.532,1
4158.23242,2693.442,1
4158.3584,2553.13672,1
4158.415,2616.67651,1
4159.6167,2616.74365,1
4159.89844,2633.9856,1
4160.89746,2510.615,1
4160.969,2566.2334,1
4161.0293,2523.196,1
4161.5083,2653.86426,1
4162.314,2572.8562,1
4162.90137,2503.58887,1
4163.146,2505.7478,1
4163.47852,2556.23047,1
4163.755,2744.259,1
4163.96436,2594.965,1
4164.44043,2534.00342,1
4166.642,2680.06079,1
4166.75146,2622.671,1
4166.912,2633.89771,1
4167.211,2687.2998,1
4167.851,2472.641,1
4168.223,2433.97876,1
4168.39648,2752.59619,1
4168.553,2711.98022,1
4169.21436,2581.845,1
4169.72168,2733.90137,1
4169.961,2368.179,1
4170.126,2696.806,1
4170.795,2620.741,1
4170.89258,2588.47681,1
4171.18555,2770.01343,1
4171.401,2628.60913,1
4171.524,2434.71387,1
4172.092,2655.08472,1
4172.099,2544.629,1
4172.446,2659.00928,1
4173.184,2616.7793,1
4173.67432,2518.43579,1
4173.94971,2629.24219,1
4174.08447,2738.84351,1
4174.09229,2523.345,1
4174.419,2517.08325,1
4175.067,2510.82983,1
4176.852,2548.87622,1
4176.88867,2553.957,1
4176.99463,2687.60083,1
4177.019,2493.55347,1
4177.49365,2678.73486,1
4177.77051,2739.25171,1
4178.00049,2635.84863,1
4178.507,2572.92749,1
4178.79,2629.222,1
4178.88672,2588.19458,1
4178.89355,2721.74487,1
4179.25439,2717.05371,1
4179.4873,2599.901,1
4179.79932,2570.06079,1
4180.589,2677.08618,1
4180.6167,2500.81519,1
4181.083,2869.74341,1
4181.73975,2687.948,1
4181.91064,2478.989,1
4182.669,2690.84253,1
4182.735,2633.875,1
4183.6875,2653.25732,1
4184.11865,2632.165,1
4184.612,2538.43286,1
4184.613,2650.292,1
4184.82568,2562.089,1
4185.41943,2519.86987,1
4185.56055,2804.52417,1
4186.576,2710.28369,1
4186.965,2704.10571,1
4187.12842,2454.38745,1
4187.497,2739.60327,1
4187.65967,2514.713,1
4187.835,2595.23755,1
4187.91162,2454.00854,1
4188.40869,2639.56177,1
4188.63,2495.189,1
4188.74072,2679.33667,1
4188.88135,2674.33447,1
4189.2207,2592.265,1
4189.26367,2623.7478,1
4189.766,2729.03247,1
4189.85645,2579.79639,1
4190.413,2588.20825,1
4190.42236,2518.37,1
4190.65527,2685.25049,1
4190.71,2596.32861,1
4190.82764,2560.22583,1
4190.88525,2664.83057,1
4191.244,2632.01172,1
4191.24854,2744.17749,1
4191.29639,2537.864,1
4191.30127,2674.56934,1
4192.06,2746.0437,1
4192.334,2773.38257,1
4192.4043,2641.88916,1
4192.53662,2666.63721,1
4192.981,2651.4458,1
4193.1626,2609.30713,1
4193.165,2739.32764,1
4193.3623,2632.19775,1
4193.38867,2587.075,1
4193.409,2763.29541,1
4194.16748,2763.86255,1
4194.235,2546.60034,1
4194.489,2638.14355,1
4194.53271,2570.50928,1
4194.53564,2673.553,1
4194.62549,2543.125,1
4194.687,2614.19385,1
4194.81445,2650.28076,1
4195.53271,2771.472,1
4195.71143,2602.54761,1
4196.064,2673.794,1
4196.19,2564.13013,1
4196.38,2545.27539,1
4196.47949,2639.34888,1
4197.13232,2471.541,1
4197.325,2698.70313,1
4198.44629,2536.794,1
4198.619,2642.37549,1
4199.215,2646.13965,1
4199.66846,2765.28564,1
4200.10254,2613.15454,1
4200.35254,2641.331,1
4200.49658,2625.03857,1
4201.525,2481.808,1
4201.735,2615.534,1
4201.92334,2614.9624,1
4202.04736,2617.11255,1
4202.32568,2457.706,1
4202.34473,2538.44873,1
4202.41,2442.277,1
4202.763,2749.55371,1
4202.773,2621.3396,1
4202.88135,2568.716,1
4202.88232,2781.572,1
4202.95557,2638.2312,1
4203.126,2543.123,1
4203.627,2613.65356,1
4203.66064,2701.99072,1
4203.68555,2673.89844,1
4204.01758,2617.72,1
4204.21338,2570.74585,1
4204.426,2680.623,1
4204.441,2697.79028,1
4204.659,2510.95947,1
4204.743,2502.666,1
4204.93652,2569.244,1
4205.37256,2685.89526,1
4205.51758,2679.78833,1
4205.56445,2513.61328,1
4206.063,2751.39917,1
4206.75244,2662.55933,1
4206.87451,2580.181,1
4207.22168,2756.41333,1
4207.39355,2570.73926,1
4207.42334,2637.235,1
4207.711,2578,1
4207.81934,2788.86621,1
4207.873,2611.40918,1
4207.944,2541.76,1
4208.139,2621.058,1
4208.2876,2692.3855,1
4208.33154,2732.745,1
4208.337,2660.63,1
4208.343,2656.73755,1
4208.92529,2572.683,1
4209.097,2678.822,1
4209.69238,2629.02832,1
4209.70361,2633.26245,1
4209.782,2590.64185,1
4209.784,2707.75171,1
4209.875,2549.05786,1
4209.878,2520.61646,1
4210.00439,2573.76978,1
4210.39,2615.86743,1
4210.404,2734.939,1
4210.42041,2665.16577,1
4210.42236,2466.5022,1
4210.46631,2578.49316,1
4210.79639,2688.43018,1
4210.9707,2541.957,1
4211.02344,2591.23535,1
4211.362,2596.452,1
4211.62646,2623.31641,1
4211.653,2555.73242,1
4211.67,2610.05981,1
4211.67627,2689.59277,1
4211.7627,2733.478,1
4212.199,2722.35718,1
4212.43164,2611.27979,1
4212.51025,2677.86377,1
4212.6626,2728.9834,1
4212.75146,2421.34717,1
4212.854,2736.10156,1
4213.05,2524.66724,1
4213.145,2601.38574,1
4213.14648,2561.281,1
4213.52734,2721.65479,1
4213.742,2715.6604,1
4213.959,2754.778,1
4213.98926,2724.70776,1
4214.181,2644.65234,1
4214.217,2481.904,1
4214.41064,2562.64917,1
4214.57031,2845.94849,1
4214.755,2793.58765,1
4214.79639,2710.57617,1
4215.064,2648.84937,1
4215.2085,2600.01221,1
4215.29053,2828.08862,1
4215.426,2621.42456,1
4215.835,2619.28931,1
4216.0874,2726.831,1
4216.128,2687.47876,1
