Ch1 Amplitude,Ch2 Amplitude,Cluster
4124.269,2498.19,1
4173.48633,2613.338,1
4233.21533,2761.52563,1
4233.49756,2612.13257,1
4235.74463,2626.63721,1
4239.56348,2642.34668,1
4244.8335,2693.70532,1
4248.75342,2604.32129,1
4255.468,2693.29224,1
4255.66553,2684.47925,1
4257.573,2676.89819,1
4261.859,2692.74365,1
4266.80957,2633.93115,1
4269.764,2617.88232,1
4272.528,2740.73682,1
4272.882,2548.498,1
4273.27148,2491.0686,1
4275.33838,2730.37378,1
4275.54932,2757.604,1
4278.58252,2660.88062,1
4279.01172,2647.10864,1
4282.31348,2875.90259,1
4282.866,2658.70117,1
4282.92773,2737.13086,1
4286.90674,2745.30371,1
4289.46143,2610.833,1
4290.325,2665.21753,1
4300.60742,2644.84985,1
4302.183,2789.23535,1
4303.545,2530.80371,1
4303.722,2667.21265,1
4303.874,2665.96777,1
4306.22949,2535.893,1
4306.236,2788.63013,1
4306.68945,2612.89063,1
4306.83643,2715.309,1
4307.551,2647.02271,1
4308.099,2696.86157,1
4309.17236,2634.114,1
4309.496,2684.84058,1
4309.899,2636.41968,1
4310.21143,2636.559,1
4310.77246,2531.30884,1
4310.80762,2641.78125,1
4311.59668,2671.14673,1
4312.70166,2612.42676,1
4313.794,2723.38135,1
4315.11768,2725.50635,1
4315.28564,2618.115,1
4315.54932,2622.50415,1
4316.083,2817.522,1
4317.10156,2671.89648,1
4317.56,2658.872,1
4317.61133,2551.67285,1
4317.699,2783.14868,1
4318.0166,2686.821,1
4318.37451,2690.54028,1
4318.40332,2612.409,1
4319.176,2541.692,1
4319.35449,2736.62842,1
4319.92432,2649.89844,1
4320.19873,2558.99756,1
4320.60254,2732.663,1
4321.30957,2746.37329,1
4321.54346,2692.44482,1
4322.542,2618.77368,1
4323.147,2719.46338,1
4323.661,2778.30225,1
4324.67871,2708.34668,1
4324.718,2739.69263,1
4325.459,2664.84,1
4325.70166,2574.21582,1
4325.757,2733.67578,1
4325.916,2691.9873,1
4326.508,2667.30957,1
4327.68,2753.55322,1
4328.3374,2855.47485,1
4328.811,2555.102,1
4329.38037,2655.04834,1
4329.808,2829.297,1
4330.389,2621.88672,1
4330.956,2657.306,1
4331.129,2745.03857,1
4331.21826,2713.46924,1
4331.32129,2698.24243,1
4332.666,2665.08057,1
4333.09863,2751.72168,1
4333.335,2754.96387,1
4333.707,2747.02783,1
4333.78271,2566.8584,1
4334.559,2690.046,1
4334.713,2561.91,1
4335.10645,2688.1438,1
4335.875,2674.83545,1
4336.602,2565.243,1
4336.72656,2576.84058,1
4336.74561,2545.60229,1
4337.324,2626.48267,1
4338.24,2596.61987,1
4338.717,2695.65967,1
4340.22266,2772.62134,1
4340.566,2714.6687,1
4340.85059,2759.268,1
4341.454,2700.40479,1
4341.56152,2670.21851,1
4342.85645,2623.718,1
4343.37061,2766.48926,1
4343.736,2784.99023,1
4344.15625,2811.30859,1
4344.63135,2733.71045,1
4344.724,2650.84448,1
4345.888,2659.328,1
4345.99365,2660.54517,1
4346.28125,2810.22876,1
4347.058,2717.31055,1
4347.70459,2709.88013,1
4347.85938,2714.74,1
4348.42,2560.40039,1
4348.756,2697.63086,1
4348.857,2606.1936,1
4349.004,2609.90063,1
4349.013,2782.41724,1
4349.56934,2779.75244,1
4349.91064,2822.07324,1
4349.911,2639.286,1
4350.03369,2678.32471,1
4350.07373,2512.63281,1
4350.48535,2742.066,1
4350.48535,2713.06738,1
4350.669,2622.46,1
4350.735,2621.72632,1
4351.011,2646.75928,1
4351.19,2680.43286,1
4351.19971,2632.34814,1
4351.361,2782.42749,1
4351.467,2658.01343,1
4351.617,2792.84326,1
4351.84961,2694.21045,1
4352.07568,2824.39014,1
4352.89258,2751.15845,1
4353.07,2713.628,1
4353.56055,2679.51221,1
4353.566,2740.10913,1
4353.93457,2775.193,1
4354.41455,2678.03979,1
4354.5293,2691.054,1
4354.615,2738.39941,1
4354.75635,2745.50562,1
4354.806,2664.169,1
4355.1123,2676.23779,1
4355.256,2748.138,1
4355.529,2641.80176,1
4355.591,2741.58472,1
4355.62256,2655.33057,1
4355.6377,2735.97583,1
4355.649,2662.60767,1
4356.57861,2690.42017,1
4356.61,2635.16138,1
4357.3,2702.67529,1
4357.78857,2629.74487,1
4358.151,2654.35815,1
4358.977,2596.304,1
4359.68066,2577.85059,1
4359.865,2438.629,1
4359.921,2720.06836,1
4360.158,2704.82983,1
4360.162,2632.35425,1
4360.282,2807.34863,1
4361.02832,2730.36816,1
4361.61035,2754.13159,1
4362.131,2634.10034,1
4362.46436,2693.87817,1
4362.77734,2630.04541,1
4362.8623,2704.86987,1
4362.907,2832.392,1
4362.91064,2594.83472,1
4363.65674,2778.38965,1
4364.118,2705.33,1
4364.56348,2729.52734,1
4364.70264,2661.61548,1
4365.04443,2739.28149,1
4365.05762,2682.11816,1
4365.066,2775.08154,1
4365.702,2794.6853,1
4366.45557,2696.59619,1
4366.465,2826.749,1
4366.57,2558.95239,1
4366.73535,2756.69043,1
4367.05273,2636.1582,1
4367.19531,2645.48657,1
4367.20361,2556.61157,1
4368.002,2907.732,1
4368.029,2577.2146,1
4368.03564,2822.054,1
4368.608,2531.1853,1
4368.612,2809.428,1
4369.023,2760.047,1
4369.041,2561.583,1
4369.616,2623.35767,1
4369.623,2680.31226,1
4369.705,2708.89258,1
4370.11963,2776.01221,1
4370.12451,2458.279,1
4370.236,2614.384,1
4371.01074,2814.926,1
4371.0127,2689.7085,1
4371.12744,2689.7417,1
4371.21338,2707.90845,1
4371.695,2695.33179,1
4372.44775,2650.36279,1
4372.929,2682.13428,1
4373.078,2590.824,1
4373.28857,2741.40576,1
4373.61963,2783.602,1
4373.63232,2696.50464,1
4373.788,2730.71973,1
4373.929,2769.33276,1
4374.60547,2755.7124,1
4374.79541,2683.1062,1
4374.935,2530.554,1
4374.952,2759.91772,1
4374.98,2664.69,1
4375.15137,2709.09717,1
4375.407,2690.56714,1
4375.483,2626.235,1
4375.586,2652.64038,1
4376.223,2761.19238,1
4376.406,2797.7522,1
4376.436,2647.1272,1
4376.507,2603.34424,1
4376.73242,2720.3728,1
4376.94,2610.01978,1
4377.301,2689.477,1
4377.72949,2696.78027,1
4377.73145,2660.47,1
4377.77637,2667.63721,1
4378.242,2747.31787,1
4378.243,2792.773,1
4378.435,2840.69653,1
4378.52051,2690.12622,1
4378.53467,2793.066,1
4379.038,2719.53784,1
4379.043,2686.64819,1
4379.392,2820.30054,1
4379.58252,2768.972,1
4379.666,2691.75879,1
4379.748,2608.93457,1
4380.25732,2749.586,1
4380.418,2641.458,1
4380.62842,2714.216,1
4380.77344,2657.384,1
4380.79932,2568.65381,1
4381.13,2606.70825,1
4381.60742,2630.58423,1
4381.76367,2706.83667,1
4382.13037,2647.77979,1
4382.519,2624.25024,1
4383.042,2802.269,1
4383.215,2671.773,1
4383.43262,2684.3772,1
4383.667,2647.73145,1
4383.676,2584.596,1
4384.82031,2516.62671,1
4384.98,2900.85645,1
4385.282,2652.07373,1
4385.52734,2669.89819,1
4385.537,2797.17383,1
4385.822,2611.346,1
4385.82861,2665.271,1
4385.91553,2574.70166,1
4386.21826,2840.18237,1
4386.277,2701.42041,1
4386.40771,2793.47119,1
4386.79736,2764.45825,1
4387.067,2866.1853,1
4387.17432,2595.44238,1
4387.26172,2694.90137,1
4387.92139,2812.9187,1
4388.03125,2576.89355,1
4388.2085,2783.41528,1
4388.47949,2741.54663,1
4389.33252,2636.98169,1
4389.401,2859.22534,1
4389.486,2860.593,1
4389.64844,2631.24756,1
4389.691,2665.27637,1
4389.70361,2656.93848,1
4389.76172,2838.15845,1
4389.85742,2732.28833,1
4390.2085,2828.03955,1
4390.348,2711.76343,1
4390.368,2888.00171,1
4390.44,2577.8186,1
4390.54639,2793.47754,1
4390.777,2609.41113,1
4390.783,2670.2146,1
4390.94434,2821.05884,1
4390.98633,2738.80713,1
4391.00732,2817.74951,1
4391.172,2845.03467,1
4391.19141,2631.84888,1
4391.32959,2674.27344,1
4391.40527,2854.48267,1
4391.446,2716.64722,1
4391.706,2649.60327,1
4391.867,2792.0708,1
4391.895,2592.03687,1
4392.02539,2735.12573,1
4392.28662,2706.72949,1
4392.31543,2835.48755,1
4392.54834,2487.90015,1
4392.67773,2721.031,1
4392.70557,2587.05859,1
4392.734,2894.03882,1
4392.904,2680.72583,1
4392.95459,2740.163,1
4393.184,2638.43457,1
4393.32031,2723.40674,1
4393.408,2682.689,1
4393.54932,2609.07446,1
4393.598,2797.71167,1
4393.61963,2539.6814,1
4393.90039,2904.4646,1
4393.915,2751.38,1
4393.95264,2724.46753,1
4394.08,2809.92163,1
4394.35645,2746.853,1
4394.393,2715.53247,1
4394.64453,2715.23242,1
4394.68555,2576.9856,1
4394.753,2489.16968,1
4395.00439,2678.7124,1
4395.0127,2730.026,1
4395.01465,2607.97583,1
4395.412,2630.70557,1
4395.43555,2602.35474,1
4395.49463,2646.291,1
4395.59229,2560.493,1
4395.71143,2640.311,1
4395.75439,2650.36768,1
4395.7876,2621.53735,1
4395.97,2711.63037,1
4396.065,2536.13232,1
4396.12939,2702.324,1
4396.239,2713.12256,1
4396.521,2729.28882,1
4396.7793,2753.53857,1
4397.178,2723.92334,1
4397.28271,2674.597,1
4397.442,2702.91284,1
4397.526,2817.91675,1
4397.5415,2551.191,1
4397.598,2698.97461,1
4397.683,2823.07031,1
4397.90771,2608.97021,1
4397.92969,2736.56543,1
4397.99756,2868.43237,1
4398.164,2655.131,1
4398.30469,2675.10986,1
4398.598,2656.43774,1
4398.63525,2769.325,1
4398.83,2743.37036,1
4399.129,2617.92285,1
4399.17236,2721.25415,1
4399.27051,2589.67188,1
4399.43945,2639.2063,1
4399.53857,2744.111,1
4399.8374,2737.91455,1
4399.94043,2859.06763,1
4400.205,2681.447,1
4400.52637,2630.15479,1
4400.6377,2860.40063,1
4400.678,2624.98413,1
4400.71,2684.62427,1
