Ch1 Amplitude,Ch2 Amplitude,Cluster
3673.705,2834.4248,1
3679.001,3051.98242,1
3688.15942,2929.20459,1
3698.09961,2803.62573,1
3699.25171,2899.73169,1
3701.47827,2838.48657,1
3707.15674,2949.48633,1
3707.848,2977.32544,1
3712.68921,2950.54346,1
3716.11646,2926.80542,1
3723.43945,2927.10913,1
3727.799,2826.32227,1
3730.86743,2991.42261,1
3736.55542,2864.171,1
3740.509,3014.73486,1
3742.276,2925.491,1
3744.21069,2759.37573,1
3745.95337,2872.107,1
3746.32983,2882.38672,1
3747.14331,2868.80835,1
3747.28687,2769.914,1
3749.23486,2873.64,1
3752.01563,2983.8772,1
3752.18848,2859.6875,1
3755.10181,3013.65283,1
3756.72461,2901.726,1
3764.15942,2989.59229,1
3764.73315,2947.94263,1
3765.19043,2895.032,1
3766.53174,3005.45264,1
3766.62744,3056.142,1
3771.43579,2926.01123,1
3772.317,2863.40674,1
3772.55835,2959.46313,1
3773.134,2943.35352,1
3773.34351,2843.31519,1
3774.272,2946.33887,1
3775.89844,2911.36865,1
3777.53979,3006.14673,1
3778.02856,2885.87061,1
3778.31982,3006.68457,1
3778.39429,2965.42749,1
3778.87744,3028.977,1
3780.18823,2903.58716,1
3781.88916,2928.52441,1
3782.162,3051.565,1
3782.73218,3003.094,1
3783.40918,2978.94629,1
3784.62866,2833.53223,1
3786.46021,2916.75928,1
3787.72974,2904.3916,1
3787.81616,2936.37622,1
3788.543,3122.742,1
3791.31152,2946.148,1
3791.37744,2816.3064,1
3792.426,2875.71436,1
3792.47534,2969.16821,1
3793.42554,3000.24854,1
3794.52,2882.465,1
3794.89648,2920.5293,1
3795.14868,2947.90039,1
3795.249,3160.6,1
3795.323,2959.852,1
3795.8584,2868.48853,1
3796.88257,2987.38379,1
3797.06543,2989.597,1
3797.5625,2852.93286,1
3799.03418,2998.113,1
3799.29688,3027.35181,1
3799.857,3026.26538,1
3800.834,3043.102,1
3801.13257,2783.02173,1
3801.236,2848.68262,1
3803.13574,2903.05957,1
3803.41577,2928.73071,1
3804.07935,2843.10669,1
3804.5022,3014.82275,1
3804.841,3091.8562,1
3806.09253,3065.09937,1
3806.849,2892.34546,1
3806.90283,2931.65112,1
3806.94019,2936.28638,1
3807.27515,2921.117,1
3807.35645,2892.54,1
3808.19214,2898.34741,1
3808.382,3122.56567,1
3809.56787,2934.0166,1
3810.077,2903.85938,1
3810.79077,3052.64038,1
