Ch1 Amplitude,Ch2 Amplitude,Cluster
2996.46143,2406.63257,1
3310.14746,2723.686,1
3359.33521,2857.65112,1
3361.3,2680.071,1
3362.794,2735.049,1
3378.43286,2647.239,1
3383.65039,2835.51343,1
3387.013,2724.493,1
3388.34448,2751.93481,1
3391.40845,2841.999,1
3394.113,2851.25024,1
3397.8042,2656.89063,1
3401.42188,2898.67529,1
3405.89771,2787.43726,1
3407.62,2747.61743,1
3409.63257,2772.565,1
3412.07275,2787.16138,1
3412.28931,2884.10742,1
3412.63721,2925.055,1
3414.2666,2875.42725,1
3414.89038,2761.83472,1
3415.46362,2799.163,1
3416.72388,2879.79858,1
3419.15747,2741.1687,1
3419.581,2855.06543,1
3419.85229,3050.70337,1
3420.44385,2759.46045,1
3422.905,2882.44238,1
3423.15,3049.27832,1
3423.455,2639.8728,1
3424.724,2811.69922,1
3425.62939,2673.66,1
3425.7334,2813.967,1
3428.32959,2698.89478,1
3428.68726,2813.189,1
3429.31,2843.108,1
3430.07422,2771.49683,1
3430.4436,2839.52222,1
3431.03247,2774.842,1
3432.31665,2778.294,1
3432.91016,2780.91821,1
3434.49365,2715.46753,1
3435.045,2775.1167,1
3435.08765,2910.74146,1
3435.52148,2859.88745,1
3436.7417,2747.408,1
3437.33252,2862.90674,1
3437.49023,2842.94287,1
3438.096,2821.30762,1
3439.88428,2761.58887,1
3442.33984,2729.65039,1
3442.6,2789.57275,1
3444.195,2838.0918,1
3444.421,2749.61,1
3444.49243,2831.565,1
3444.79639,2900.80737,1
3445.01074,2683.307,1
3445.496,2923.95728,1
3445.54834,2814.768,1
3446.85425,2874.22827,1
3446.97314,2852.963,1
3447.30054,2775.52832,1
3447.52612,2699.91235,1
3447.70557,2794.32446,1
3447.896,2953.228,1
3448.61572,2996.66382,1
3448.97681,2790.357,1
3449.33374,2853.133,1
3449.34741,2801.642,1
3449.80469,2867.48633,1
3449.87769,2716.37573,1
3450.51636,2806.798,1
3451.98364,2889.59155,1
3452.09326,2715.903,1
3452.385,2781.02051,1
3452.6145,2758.32935,1
3454.577,2871.7373,1
3454.67969,2719.497,1
3454.69458,2673.55615,1
3454.708,3019.91553,1
3455.65625,3004.93018,1
3455.86914,2735.08862,1
3456.78955,2853.17236,1
3457.51685,2776.12427,1
3457.671,2822.40039,1
3457.728,3019.88135,1
3458.17871,2970.546,1
3458.25146,2771.47363,1
3458.40161,2797.49683,1
3459.932,2870.545,1
3460.43652,2761.454,1
3460.66113,2809.06885,1
3460.90454,2749.51685,1
3460.941,2730.3606,1
3461.27979,2805.622,1
3461.36475,2788.02979,1
3461.80518,2825.51,1
3462.08667,2913.33521,1
3462.08813,2681.072,1
3462.84521,2799.06519,1
3463.551,2949.585,1
3464.27515,2769.77954,1
3464.39966,2864.667,1
3464.41675,2695.87573,1
3464.43481,2870.46631,1
3464.737,2851.202,1
3465.10327,2757.51172,1
3465.30029,2767.044,1
3465.91382,3016.616,1
3465.95459,2707.72534,1
3466.02954,2815.59888,1
3466.69434,2720.35767,1
3466.93555,2755.811,1
3467.27856,2822.218,1
3467.47021,2855.49634,1
3467.6084,2860.54688,1
3467.981,2845.95483,1
3469.11035,2917.624,1
3469.15332,2725.77661,1
3469.24219,2819.83228,1
3469.94531,2870.20044,1
3470.31787,2831.602,1
3470.322,2752.571,1
3470.5127,2759.76172,1
3470.84,2687.959,1
3470.99585,2824.70581,1
3471.50317,2799.967,1
3471.64648,2970.047,1
3471.651,2816.634,1
3472.81274,2836.15112,1
3472.89624,2642.43042,1
3473.31787,2764.604,1
3473.978,2739.103,1
3474.99072,2816.55737,1
3475.016,2999.29,1
3475.70435,2768.40381,1
3475.72876,2667.97241,1
3476.7627,2847.96777,1
3476.868,2887.66357,1
3478.33057,2707.39014,1
3478.62646,2906.02246,1
3479.27368,2845.54224,1
3479.30322,2872.977,1
3479.53125,2842.34058,1
3479.619,2722.01953,1
3479.89624,2689.02563,1
3479.90454,2816.87866,1
3480.12769,2720.2002,1
3480.37451,2748.27319,1
3480.5144,2894.13965,1
3480.73926,2664.71558,1
3481.09473,2766.32275,1
3481.22021,2722.41455,1
3481.22217,2810.39087,1
3481.69482,2791.84424,1
3481.724,2802.01855,1
3482.22681,2893.968,1
3482.36475,2787.60352,1
3482.55347,2775.90186,1
3482.69556,3051.09155,1
3482.98169,2762.087,1
3483.26538,2943.99219,1
3483.38525,2737.01465,1
3483.78833,2656.27344,1
3483.95776,2950.02832,1
3484.12817,2806.55249,1
3484.93042,2758.67334,1
3485.29736,2872.72339,1
3486.29785,2715.85034,1
3486.3623,2947.81934,1
3486.45972,2817.88257,1
3486.47754,2862.079,1
3486.56616,2914.16626,1
3486.621,2792.78784,1
3486.68457,2862.30713,1
3486.9375,2874.802,1
3487.545,2666.30078,1
3488.263,2753.6604,1
3488.45483,2669.669,1
3488.75513,2888.35254,1
3488.9707,2778.904,1
3489.14673,2723.757,1
3489.19556,2905.70874,1
3489.487,2773.4978,1
3489.87158,2811.90674,1
3490.49121,2912.92383,1
3490.60547,2859.855,1
3490.60815,2920.61719,1
3490.75342,2869.23438,1
3491.4978,2772.283,1
3491.67383,2805.31934,1
3491.82666,2937.286,1
3491.87646,2962.77783,1
3491.97778,3080.93,1
3492.468,2670.49854,1
3492.52417,2771.616,1
3492.6665,2786.73584,1
3492.852,2867.00684,1
3493.11157,2831.3833,1
3493.24731,2697.52417,1
3493.2832,2876.821,1
3493.43921,2874.754,1
3493.50684,2759.58276,1
3493.612,2889.8457,1
3493.93726,2991.25366,1
3494.15576,2777.47681,1
3494.48877,2942.462,1
3494.534,2828.19556,1
3494.74365,2925.7832,1
3494.82568,2839.91162,1
3495.70142,2821.3064,1
3496.43872,2865.30469,1
3496.45776,2665.72559,1
3496.769,2936.34619,1
3497.138,2859.20435,1
3497.21436,2825.458,1
3497.23267,2896.13647,1
3497.42334,2860.37085,1
3497.61035,2756.519,1
3498.295,2850.367,1
3498.49658,2802.84863,1
3498.90869,2769.96313,1
3498.96362,2761.30249,1
3499.40527,2995.431,1
3499.47266,2850.03955,1
3499.79614,2956.76123,1
3499.8125,2785.52515,1
3500.02124,2787.53418,1
3500.05029,2855.81226,1
3500.15479,2666.12061,1
3500.72559,2717.24072,1
3501.36,2978.908,1
3501.63159,2956.63037,1
3501.67432,2742.08057,1
3501.83667,2820.643,1
3502.39551,2855.09937,1
3502.446,2888.14087,1
3502.45532,2853.48242,1
3503.102,2957.79956,1
3503.18726,2899.39478,1
3503.31372,2719.859,1
3503.478,2711.49243,1
3503.68652,2893.568,1
3503.71582,2867.37769,1
3503.856,2722.82715,1
3504.103,2842.78613,1
3504.20239,2779.63379,1
3504.24487,2979.26,1
3504.29175,2814.80371,1
3504.46216,2742.036,1
3504.58765,2809.21777,1
3504.78149,2965.893,1
3504.8916,2865.807,1
3505.261,2826.666,1
3505.441,2896.42358,1
3505.61572,2721.3606,1
3505.65552,2868.94653,1
3505.75122,2917.5647,1
3506.08081,2717.55859,1
3506.17017,2844.83154,1
3506.22388,2758.344,1
3506.384,2893.91772,1
3506.385,2926.87134,1
3506.49976,2867.57349,1
3506.745,2786.21753,1
3506.91919,3013.09277,1
3507.02661,2818.57666,1
3507.72314,2792.38452,1
3507.74634,2771.85034,1
3507.85352,2806.83,1
3507.97144,2809.97876,1
3508.22583,3031.29321,1
3508.29517,2873.123,1
3508.33838,2842.58936,1
3508.64722,2799.4082,1
3508.65381,2663.954,1
3508.741,2814.588,1
3508.90576,2753.60522,1
3509.088,2894.42065,1
3509.54028,2857.89648,1
3509.56421,2850.25269,1
3510.10352,2902.56567,1
3510.18652,2827.094,1
3510.30273,2814.39355,1
3510.39038,2972.33252,1
3510.74072,2801.032,1
3510.76831,2893.2854,1
3510.86914,2853.366,1
3511.22949,2835.19629,1
3511.45972,2805.87451,1
3511.57275,2960.945,1
3511.65845,2842.48145,1
3511.71362,2715.8186,1
3511.74438,2700.20386,1
3511.81323,2793.328,1
3511.85938,2785.71875,1
3511.96948,2786.56128,1
3512.31787,2941.54321,1
3512.33325,2861.07373,1
3512.45679,2961.68237,1
3512.64063,2997.28271,1
3512.90454,2763.46118,1
3513.05615,2707.74756,1
3513.43042,2789.951,1
3513.49634,2798.0022,1
3513.57568,2942.03076,1
3513.69067,2988.67114,1
3513.69824,2874.52173,1
3513.763,2937.57129,1
3513.79443,3028.82983,1
3513.85767,2903.138,1
3513.882,2708.22388,1
3513.941,2786.18555,1
3514.014,2768.19287,1
3514.16748,2898.80444,1
3514.3772,2767.108,1
3514.45239,2802.78638,1
3515.314,2717.35449,1
3515.42456,2891.75879,1
3515.4624,2978.45972,1
3515.53662,2740.84521,1
3515.60083,2825.05786,1
3515.67822,2907.57251,1
3515.765,2756.98877,1
3515.77222,2865.35,1
3515.8728,2873.54639,1
3516.307,2647.29028,1
3516.57446,2891.87524,1
3516.7666,2900.87964,1
3516.8374,2889.37061,1
3517.1936,2769.99829,1
3517.93848,2949.5127,1
3518.30884,2890.4292,1
3518.347,2813.85156,1
3518.482,2912.34937,1
3518.58813,2786.11426,1
3518.599,2817.09424,1
3518.60352,2753.71387,1
3518.666,2798.42,1
3518.969,2848.10229,1
3519.383,2685.553,1
3519.57861,2760.63916,1
3520.03418,2850.83423,1
3520.14331,2792.60669,1
3520.26318,2838.583,1
3520.55859,2751.9624,1
3520.803,2788.33276,1
3521.2207,2866.80786,1
3521.29785,2814.11157,1
3521.30542,2889.46143,1
3521.30786,2849.69653,1
3521.40112,3037.55029,1
3521.54785,2994.76172,1
3521.55835,2929.75415,1
3521.82227,2834.355,1
3521.84155,2959.42676,1
3522.07227,2873.38745,1
3522.18872,2818.019,1
3522.29639,2881.75757,1
3522.32324,2795.42773,1
3522.57129,2833.34082,1
3522.70142,2761.95923,1
3523.00635,2902.75928,1
3523.12451,2806.27222,1
3523.16919,2887.62671,1
3523.35327,2766.80371,1
3523.96069,2749.093,1
3524.059,2849.27563,1
3524.17944,2641.48242,1
3524.29517,2877.874,1
3524.36743,2752.7002,1
3524.39087,2868.72485,1
3524.41479,3110.867,1
3524.67969,2977.534,1
3524.726,2846.618,1
3525.03247,2872.83838,1
3525.31836,2892.27466,1
3525.36621,2923.17017,1
3525.4082,2928.15186,1
3525.54785,2813.60352,1
3525.641,2821.8313,1
3525.756,2790.36084,1
3525.88184,2980.75024,1
3525.91675,2845.43359,1
3525.98926,2987.71338,1
3526.05518,2949.049,1
3526.07568,2829.11914,1
3526.376,2805.35083,1
3526.43921,2875.24463,1
3526.574,2804.3938,1
3526.6062,2741.43579,1
3526.61743,2685.297,1
3526.6626,2824.38525,1
3526.722,2753.19946,1
3526.74463,2859.65967,1
3526.77173,2873.01465,1
3526.92456,2810.991,1
3527.02515,2872.84839,1
3527.16455,2841.08521,1
3527.27271,2727.51929,1
3527.49121,2904.73853,1
3527.868,2756.118,1
3527.895,2809.91724,1
3527.918,3039.057,1
3527.942,2839.246,1
3527.94653,2868.5437,1
3528.19019,2946.98682,1
3528.41138,2959.032,1
3528.52124,2871.482,1
3528.52344,2899.2373,1
3528.59,2901.064,1
3528.65845,2927.60864,1
3528.79834,2949.031,1
3528.81665,2760.55273,1
3528.82422,2877.85156,1
3528.98462,2821.37744,1
3528.99634,2912.51953,1
3529.43774,2854.348,1
3529.56665,2830.7002,1
3529.62329,2858.701,1
3529.65625,2854.94238,1
3529.68726,2877.90625,1
3529.7876,2762.85474,1
3530.11328,2907.09253,1
3530.359,2873.00952,1
3530.377,2744.587,1
3530.50732,2719.42822,1
3530.51514,2860.279,1
3530.57178,2899.09717,1
3530.61475,2790.29126,1
3530.64575,2869.58545,1
3530.98438,2860.49219,1
3531.3252,2943.15845,1
3531.3938,2851.7124,1
3531.45239,2910.01343,1
3531.61621,2998.443,1
3531.75073,2828.074,1
3532.03052,2742.91772,1
3532.187,2826.717,1
3532.32349,2863.731,1
3532.38135,2779.02979,1
3532.49316,2790.192,1
3532.74658,2820.70166,1
3532.84131,2873.751,1
3532.84741,2659.43481,1
3533.084,2986.849,1
3533.09033,2882.4314,1
3533.25073,2845.93555,1
3533.44287,2803.817,1
3533.56421,2845.86035,1
3533.69287,2724.54175,1
3533.80347,2932.0127,1
3533.88623,2848.63452,1
3534.0564,2960.27222,1
3534.38916,2739.854,1
3534.403,3011.03467,1
3534.647,3006.95972,1
3534.74316,2766.16577,1
3534.76025,2823.65063,1
3534.77954,2855.49951,1
3534.865,2992.90259,1
3535.16138,2779.77563,1
3535.32,2993.3335,1
3535.44922,2798.93237,1
3535.68335,3041.23242,1
3535.71216,2805.55884,1
3535.87134,2930.60156,1
3535.87939,2824.07861,1
3536.01367,2883.29272,1
3536.01831,2681.66431,1
3536.05273,3075.69971,1
3536.127,2856.39014,1
3536.28613,2856.05542,1
3536.292,2896.28564,1
