Ch1 Amplitude,Ch2 Amplitude,Cluster
407.201538,1872.76233,1
1125.57849,1596.242,1
2747.09253,2311.58252,1
2848.759,2349.88428,1
2890.399,2593.78369,1
2895.56543,2458.52759,1
2937.38184,2407.784,1
2942.2063,2537.08765,1
2946.1145,2390.31836,1
2954.21484,2534.12671,1
2963.33936,2453.09058,1
2971.90454,2593.16772,1
2974.3,2464.55737,1
2993.963,2662.45923,1
3002.03857,2565.45044,1
3006.365,2641.71045,1
3010.122,2461.6333,1
3042.567,2503.72461,1
3053.59521,2315.85815,1
3056.63037,2455.6272,1
3072.79858,2668.95361,1
3079.94678,2614.16748,1
3083.03247,2635.75635,1
3088.74878,2640.654,1
3092.347,2454.178,1
3098.72388,2708.80054,1
3103.551,2820.325,1
3105.189,2698.129,1
3109.33521,2659.674,1
3118.219,2703.819,1
3119.225,2913.76953,1
3131.80273,2809.51123,1
3136.89038,2652.783,1
3142.41943,2594.3667,1
3143.821,2764.443,1
3145.019,2680.82642,1
3145.58,2728.96655,1
3145.60352,2781.05737,1
3148.13672,2762.20117,1
3149.54761,2755.76,1
3152.85327,2709.54224,1
3153.14136,2714.16626,1
3155.96826,2825.83325,1
3157.21313,2938.06323,1
3158.30054,2814.69385,1
3158.355,2696.75562,1
3158.84033,2798.47,1
3160.10767,2742.60913,1
3160.999,2729.22925,1
3161.556,2778.07715,1
3163.83569,2762.93579,1
3163.91162,2680.36743,1
3167.09229,2679.35059,1
3167.32227,2686.47876,1
3167.325,2769.1958,1
3168.36426,2751.589,1
3170.74243,2634.24121,1
3172.42188,2739.209,1
3172.567,2873.26123,1
3172.999,2682.87915,1
3173.32959,2721.57568,1
3173.44946,2760.221,1
3175.232,2653.38867,1
3177.58032,2553.96484,1
3178.10522,2722.18066,1
3178.674,2667.19849,1
3179.50342,2660.45313,1
3180.31982,2704.25171,1
3180.68042,2725.8208,1
3180.924,2813.96338,1
3181.02344,2755.97241,1
3181.29834,2805.0354,1
3181.627,2660.66284,1
3182.265,2727.805,1
3182.86353,2819.28564,1
3183.32153,2628.713,1
3183.40161,2823.00464,1
3184.00854,2639.95557,1
3184.07178,2601.60229,1
3184.65332,2703.96948,1
3185.45752,2744.7063,1
3185.54028,2821.83,1
3188.083,2750.152,1
3188.24146,2740.352,1
3188.30957,2722.40381,1
3189.0625,2689.64844,1
3189.71777,2661.41016,1
3189.75366,2616.511,1
3191.33228,2638.64429,1
3191.78442,2691.031,1
3191.885,2739.19922,1
3192.73535,2675.93237,1
3193.08887,2881.814,1
3194.26733,2733.51074,1
3194.99756,2837.21069,1
3195.65161,2623.0105,1
3195.77319,2660.45923,1
3196.02661,2680.55225,1
3196.49585,2765.24,1
3196.55029,2762.29614,1
3196.5647,2826.101,1
3196.77954,2735.99658,1
3197.21924,2686.91138,1
3197.83276,2760.39282,1
3198.06982,2733.60742,1
3198.382,2635.00366,1
3198.43,2824.128,1
3198.73438,2762.32324,1
3199.09058,2811.262,1
3199.68066,2689.42334,1
3199.72632,2670.54736,1
3200.36377,2771.31616,1
3200.538,2683.69751,1
3200.60156,2801.05444,1
3200.65942,2645.281,1
3201.22534,2724.655,1
3201.58521,2738.81885,1
3201.80933,2646.08228,1
3203.10278,2718.07031,1
3204.497,2681.71875,1
3205.46436,2612.51,1
3205.558,2660.61768,1
3205.67969,2742.73682,1
3205.767,2692.26221,1
3206.204,2695.54346,1
3206.45874,2798.95435,1
3206.516,2748.87036,1
3206.953,2723.78955,1
3207.2417,2747.881,1
3207.75439,2808.87915,1
3207.75757,2676.24878,1
3208.19824,2804.03833,1
3208.30518,2563.357,1
3209.27881,2723.997,1
3209.78174,2756.72632,1
3209.90674,2731.05273,1
3209.913,2926.42236,1
3209.92358,2775.12964,1
3210.1272,2716.7605,1
3210.26343,2804.745,1
3210.38,2537.54541,1
3210.46655,2847.86133,1
3210.553,2869.23682,1
3210.9,2771.39063,1
3210.90576,2639.136,1
3212.09546,2765.89453,1
3212.17114,2809.132,1
3212.22119,2810.58936,1
3212.30322,2683.58667,1
3212.654,2732.972,1
3212.67627,2728.113,1
3213.178,2768.92139,1
3214.58838,2799.481,1
3214.65454,2712.21484,1
3215.35938,2781.6604,1
3215.42578,2784.23218,1
3215.79541,2678.26855,1
3216.005,2739.31958,1
3216.16431,2894.92383,1
3216.234,2785.63867,1
3216.383,2752.69751,1
3217.0542,2743.03174,1
3217.34619,2696.398,1
3217.34668,2877.95923,1
3217.42383,2735.175,1
3217.821,2700.54517,1
3218.073,2856.92822,1
3218.13281,2779.707,1
3218.14868,2713.33643,1
3218.22852,2836.32935,1
3218.25171,2838.6748,1
3218.265,2706.45313,1
3218.341,2784.755,1
3218.98413,2752.64673,1
3220.03662,2804.72534,1
3220.06885,2617.06152,1
3220.3667,2670.52075,1
3220.56055,2691.3147,1
3220.66553,2769.086,1
3221.16138,2724.06763,1
3221.48242,2754.06274,1
3221.62061,2683.15186,1
3221.74048,2622.59766,1
3222.39136,2659.964,1
3222.72266,2646.222,1
3222.75464,2667.15015,1
3222.7876,2809.09717,1
3222.90356,2733.01416,1
3223.038,2774.93677,1
3223.038,2671.4585,1
3223.61768,2753.95068,1
3223.79858,2752.90527,1
3223.85742,2759.15015,1
3224.09888,2721.522,1
3224.10059,2748.09888,1
3224.10254,2725.07544,1
3224.18433,2754.859,1
3224.372,2760.45239,1
3224.413,2790.34766,1
3224.56885,2906.84717,1
3224.827,2716.018,1
3224.97485,2917.51855,1
3225.20752,2752.28638,1
3225.23047,2757.455,1
3225.25732,2728.875,1
3225.39087,2792.11035,1
3225.46753,2873.30151,1
3225.65967,2712.32544,1
3225.805,2858.09961,1
3226.17,2736.21313,1
3226.298,2796.95264,1
3226.47852,2794.10425,1
3226.61646,2683.50977,1
3226.66943,2728.883,1
3227.02148,2756.62061,1
3227.09668,2624.5813,1
3227.16479,2704.46118,1
3227.18,2686.15552,1
3227.21045,2796.42285,1
3229.07153,2631.79028,1
3229.197,2825.024,1
3229.23022,2680.9707,1
3229.51563,2711.62354,1
3230.26685,2769.385,1
3230.53247,2755.73828,1
3230.60645,2778.598,1
3230.83545,2729.92236,1
3231.118,2763.25024,1
3231.59888,2775.47266,1
